项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
出行定位,347705,wherecom candy 定位糖,筹资成功,10000,354370,823,17,99.00,36,193,8,否,预计筹资结束后30天内,16,0,1,1014,399,广东深圳,已经结束
出行定位,352072,MYNT 小觅 智能防丢器,筹资成功,10000,366820,2000,10,79.00,67,73,137,是,预计筹资结束后30天内,26,0,1,2238,1563,海外美国,已经结束
出行定位,346853,酷车宝Carcore，驾驶从沟通开始，开启汽车移动互联生活！,筹资成功,10000,226000,234,4,299.00,11,45,0,否,预计筹资结束后30天内,13,0,1,450,200,福建厦门,已经结束
出行定位,340530,AutoBot智能迹录仪	,筹资成功,10000,212903,561,6,268.00,39,98,9,否,预计筹资结束后60天内,8,0,1,566,50,北京朝阳区,已经结束
出行定位,337852,MIVIPOWER-智能生活 随心.来电,筹资成功,10000,202380,508,9,18.00,34,86,5,是,预计筹资结束后15天内,3,1,1,603,20,上海徐汇区,已经结束
出行定位,347229,全新nut智能寻物防丢贴,筹资成功,10000,168450,1022,3,69.00,64,95,37,否,NOTFOUND,14,0,1,1383,25,北京东城区,已经结束
出行定位,342324,Air Story智能车载空气净化终端（感恩点名活动）,筹资成功,10000,166763,223,6,399.00,20,19,2,否,预计筹资结束后30天内,4,1,1,237,10,浙江杭州,已经结束
出行定位,318262,SmartWallit智能钱夹 - 让您不再丢钱包,筹资成功,1000,101092,318,25,10.00,30,157,3,是,预计筹资结束后30天内,1,1,2,352,63,上海徐汇区,已经结束
出行定位,347067,iMeetX——智能防丢+社交利器 您的个人广播电台,筹资成功,10000,99944,781,10,29.00,39,111,26,否,预计筹资结束后30天内,5,0,1,886,100,北京朝阳区,已经结束
出行定位,351863,智驾小V  智能车载手机伴侣,筹资成功,10000,78604,433,0,0.00,51,55,10,是,NOTFOUND,8,0,1,524,NOTFOUND,广东深圳,已经结束
出行定位,337827,咕咚智能码表 -- 骑行利器、骑乐无穷！,筹资成功,10000,76778,317,5,99.00,15,93,1,否,预计筹资结束后30天内,2,0,1,335,50,四川成都,已经结束
出行定位,338256," 小智—智能车升级套件",筹资成功,10000,67459,180,5,299.00,17,61,1,否,预计筹资结束后30天内,2,2,1,181,48,北京海淀区,已经结束
出行定位,346678,Racing车中有我™汽车安全盒子,筹资成功,10000,54979,267,5,199.00,12,45,2,是,预计筹资结束后30天内,1,0,1,271,50,浙江杭州,已经结束
出行定位,340967,Pug，儿童老人智能GPS定位+APP实时查询系统,筹资成功,10000,49793,191,8,169.00,24,38,2,是,预计筹资结束后50天内,1,0,1,207,30,上海长宁区,已经结束
出行定位,348838,智能定位追踪魔卡，可打电话，不用下载APP，微信操控,筹资成功,10000,46920,308,7,10.00,35,77,6,否,预计筹资结束后10天内,2,0,1,401,48,广东深圳,已经结束
出行定位,345692,城市漫步 守护星009 GPS定位+云健康智能手表,筹资成功,10000,43572,133,4,288.00,18,57,0,否,预计筹资结束后15天内,2,0,1,143,58,广东深圳,已经结束
出行定位,320861,小玄宠物卫士(Petalways)宠物 定位 追踪 穿戴设备,筹资成功,25000,27240,80,8,10.00,33,14,3,否,预计筹资结束后20天内,0,1,1,91,51,江苏南京,已经结束
出行定位,333776,Safe Call一款可以提高驾驶安全的设备,筹资成功,10000,25548,189,7,10.00,16,36,1,是,预计筹资结束后18天内,0,0,1,201,10,广东深圳,已经结束
出行定位,330708,MJOLNIR 雷神之多功能安全锤,筹资成功,10000,22338,119,4,79.00,22,30,2,否,预计筹资结束后15天内,4,0,2,135,20,北京海淀区,已经结束
出行定位,320816,多用途定位器--“找找”让我们不再失去彼此！,筹资成功,20000,21850,23,6,10.00,24,48,3,是,预计筹资结束后10天内,1,0,1,23,5,河南郑州,已经结束
出行定位,337627,MEC--业界首创多功能蓝牙伴侣,筹资成功,10000,15440,57,5,249.00,20,10,0,否,预计筹资结束后30天内,1,0,1,60,50,上海闵行区,已经结束
出行定位,360350,菲星微单八合一电子狗行车记录仪,筹资成功,10000,11936,17,3,398.00,55,1,19,否,预计筹资结束后15天内,63,0,1,27,10,广东广州,已经结束
出行定位,330301,Smart Finder智能手机的智能配件，从此不再丢三落四,筹资成功,10000,11184,57,5,99.00,17,25,0,否,预计筹资结束后5天内,0,0,1,76,50,北京昌平区,已经结束
出行定位,317522,行车宝(探测版) - 无线车载语音装备,筹资成功,5000,8950,35,6,10.00,14,49,1,是,预计筹资结束后1天内,0,2,1,39,10,山东济南,已经结束
出行定位,342253,智能蓝牙防丢器，轻松定位,筹资失败,10000,6098,48,7,98.00,3,11,0,否,预计筹资结束后30天内,0,0,1,51,17,上海浦东新区,已经结束
出行定位,306519,I2Link蓝牙防丢器,筹资成功,3000,4500,28,4,100.00,7,32,1,是,预计筹资结束后30天内,1,0,2,28,22,上海长宁区,已经结束
出行定位,360152,汽车眼,筹资失败,300000,1879,19,9,10.00,71,3,59,否,预计筹资结束后45天内,100,0,1,19,18,NOTFOUND,已经结束
