项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
家居生活,350354,魔力贴magic Touch  便携按摩贴片 &amp; 按摩仪,筹资成功,10000,3463214,2098,3,30.00,70,363,225,否,NOTFOUND,87,0,1,3200,96,北京朝阳区,已经结束
家居生活,347466,Smart Plug 2：小K 2代全能插座,筹资成功,10000,5397580,4485,59,19.00,46,1324,41,否,预计筹资结束后30天内,205,0,2,15146,476,浙江杭州,已经结束
家居生活,336784,Cuptime智能水杯,筹资成功,10000,1715688,2900,5,249.00,67,648,57,否,预计筹资结束后30天内,101,0,2,3513,2000,广东深圳,已经结束
家居生活,337763,Smart Plug:世界最小的无线WIFI智能插座,筹资成功,1000,1709442,1846,35,10.00,50,293,8,否,预计筹资结束后30天内,205,0,2,3748,300,浙江杭州,已经结束
家居生活,347210,微插座-全球首款微信控制智能插座,筹资成功,10000,1035897,2194,3,219.00,48,85,24,是,NOTFOUND,33,0,1,2903,5,广东深圳,已经结束
家居生活,334676,BroadLink 智能插座 SP2,筹资成功,50000,642022,455,2,179.00,49,154,9,否,NOTFOUND,27,1,3,676,0,浙江杭州,已经结束
家居生活,361503,da Vinci 1.0 Pro 3D打印机,筹资成功,100000,454319,82,4,4499.00,56,3,81,否,预计筹资结束后10天内,179,0,1,81,16,江苏苏州,已经结束
家居生活,339308,LifeSmart智控家居组合,筹资成功,10000,397842,389,12,49.00,14,44,0,是,预计筹资结束后15天内,20,3,1,564,50,浙江杭州,已经结束
家居生活,342629,Acbird WiFi智能煲,筹资成功,10000,394726,173,13,398.00,25,52,3,是,预计筹资结束后30天内,11,0,1,211,9,上海浦东新区,已经结束
家居生活,349316,丁盯智能门磁 强迫症、健忘症的福音,筹资成功,10000,390709,918,4,179.00,59,105,75,是,预计筹资结束后0天内,28,1,1,1375,130,北京海淀区,已经结束
家居生活,330138,iKair家庭环境管家 - 全方位智能环境监测,筹资成功,10000,344343,690,7,99.00,57,174,13,是,预计筹资结束后30天内,13,2,1,766,20,北京海淀区,已经结束
家居生活,348980,AirProce艾泊斯－最聪明的专业级空气净化器,筹资成功,10000,291056,83,6,2688.00,18,69,0,否,预计筹资结束后30天内,6,0,1,84,10,上海浦东新区,已经结束
家居生活,344171,Spotmau P1 全智能桌面空气净化器,筹资成功,10000,283003,464,6,259.00,17,47,0,否,预计筹资结束后30天内,3,0,1,497,30,广东深圳,已经结束
家居生活,348844,赫马厨房安全卫士—即插即用的家用烟气报警器,筹资成功,10000,264519,1289,24,10.00,35,316,10,否,预计筹资结束后30天内,6,0,2,2278,596,浙江杭州,已经结束
家居生活,343965,“Shield 宝儿”智能体温计,筹资成功,20000,262134,538,20,98.00,13,53,2,是,预计筹资结束后30天内,3,0,1,585,200,广东深圳,已经结束
