项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
影音娱乐,351537,电鳗Wi-Fi迷你音响,筹资成功,10000,1217358,853,1,699.00,45,321,17,否,NOTFOUND,32,0,1,1856,0,NOTFOUND,已经结束
影音娱乐,351628,GEEK智能吉他—全球第一把智能电吉他,筹资成功,10000,453945,209,11,1399.00,58,98,41,是,预计筹资结束后30天内,25,0,1,215,5,北京朝阳区,已经结束
影音娱乐,344944,Ghost 智能空中机器人,筹资成功,10000,374087,100,7,2299.00,15,37,0,是,预计筹资结束后30天内,12,0,1,103,30,广东广州,已经结束
影音娱乐,340000,Allone之后，再无遥控器,筹资成功,10000,357280,677,16,10.00,15,73,1,否,预计筹资结束后15天内,19,0,1,923,10,广东深圳,已经结束
影音娱乐,349966,神画X1—全球第一款影像触控的随身智能影院,筹资成功,10000,351447,1086,5,1699.00,18,220,3,否,预计筹资结束后30天内,18,0,1,1151,999,广东深圳,已经结束
影音娱乐,344955,The ONE 壹枱智能钢琴,筹资成功,10000,239940,60,1,3999.00,11,36,1,是,预计筹资结束后7天内,9,0,1,60,60,北京朝阳区,已经结束
影音娱乐,346403,小智超级音箱——全球首款可以语音操控的智能音箱,筹资成功,10000,234368,375,17,299.00,12,58,3,是,预计筹资结束后60天内,5,0,1,409,10,上海浦东新区,已经结束
影音娱乐,348837,悦Pod——首款自主播放的网络音乐盒,筹资成功,10000,221732,1270,16,99.00,13,102,3,否,预计筹资结束后30天内,193,6,2,1547,990,北京朝阳区,已经结束
影音娱乐,348296,萌奇笔-全球第一支可吸颜色的触控笔！,筹资成功,10000,174761,200,9,399.00,20,97,2,是,预计筹资结束后30天内,5,0,1,237,100,广东深圳,已经结束
影音娱乐,351799,独角兽迷你四旋翼 第一视角全方案飞行器,筹资成功,10000,167363,902,8,10.00,50,76,12,是,预计筹资结束后30天内,211,2,2,924,854,NOTFOUND,已经结束
影音娱乐,342962,PP GUN－世界第一款移动射击游戏设备,筹资成功,50000,106104,197,12,78.00,28,54,3,是,预计筹资结束后60天内,4,0,1,211,30,广东深圳,已经结束
影音娱乐,320375,优享 | 无限听：唤醒你的音箱，让音乐Wi-Fi起来,筹资成功,20000,89345,274,8,10.00,19,126,0,是,预计筹资结束后30天内,2,4,1,305,11,浙江杭州,已经结束
