项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
智能穿戴,347937,Cling智能穿戴—24小时全自动监测心率、体温、睡眠和运动,筹资成功,10000,846634,338,11,598.00,25,325,3,否,预计筹资结束后45天内,31,0,1,403,98,上海浦东新区,已经结束
智能穿戴,343357," CCWATCH  - 小秘",筹资成功,10000,420739,289,26,88.00,14,69,1,否,预计筹资结束后10天内,3,1,1,392,8,广东深圳,已经结束
智能穿戴,323513,bong智能手环—抓住你的运动时刻,筹资成功,20000,279690,460,5,290.00,51,263,12,是,预计筹资结束后40天内,10,0,1,490,10,浙江杭州,已经结束
智能穿戴,325480,Lovefit Air 人人都该拥有的智能手表,筹资成功,10000,384979,2266,14,59.00,46,421,30,否,预计筹资结束后30天内,9,0,1,2657,50,江苏南京,已经结束
智能穿戴,331846,Lemon社区化智能体重计,筹资成功,10000,171759,974,5,69.00,34,111,3,否,预计筹资结束后30天内,101,0,2,1060,648,广东深圳,已经结束
智能穿戴,330984,Betwine智能配饰 - 久坐提醒，爱的养成,筹资成功,10000,225250,665,9,160.00,44,173,10,否,预计筹资结束后40天内,0,0,1,764,50,海外日本,已经结束
智能穿戴,346549,FOOGEEZ智能手环,筹资成功,10000,152720,368,8,199.00,9,92,0,是,预计筹资结束后30天内,4,0,1,404,100,广东深圳,已经结束
智能穿戴,343939,创玄眼镜：国内首款安卓智能眼镜,筹资成功,30000,123830,159,6,499.00,34,103,10,是,预计筹资结束后60天内,26,0,1,170,10,广东深圳,已经结束
智能穿戴,342101,UNOVA钢铁侠运动智能手表—全球第一款安卓4.4智能手表,筹资成功,10000,119442,132,5,599.00,30,40,2,否,预计筹资结束后15天内,4,0,1,158,10,中国广东,已经结束
智能穿戴,348089,儿童智能安全定位手表,筹资成功,10000,117800,477,6,108.00,39,92,17,否,预计筹资结束后20天内,9,0,1,537,50,广东深圳,已经结束
智能穿戴,337991,SmartWallit Pro---钱包好助手，手机好伴侣,筹资成功,10000,107769,494,19,99.00,34,68,4,是,预计筹资结束后30天内,1,1,2,577,30,上海徐汇区,已经结束
智能穿戴,360772,镜哥哥AR智能眼镜,筹资成功,100000,115398,233,5,9.00,70,13,118,是,预计筹资结束后60天内,526,0,1,272,187,广东深圳,已经结束
智能穿戴,348926,LISA孕表—首款时尚美妈必备的数胎动，塑形孕表。,筹资成功,10000,103609,40,7,409.00,2,36,0,是,预计筹资结束后30天内,2,0,1,104,30,北京海淀区,已经结束
智能穿戴,343947,Coofit时尚智能手环 保持积极健康的生活习惯,筹资成功,10000,100357,441,9,99.00,52,60,10,否,预计筹资结束后1天内,1,3,1,523,405,广东深圳,已经结束
智能穿戴,340669,长颈鹿朋友--智能徽章 身姿提醒设备,筹资成功,10000,101666,585,8,89.00,21,62,5,否,预计筹资结束后30天内,3,0,1,654,100,北京海淀区,已经结束
智能穿戴,338434,Hi-Watch 智能健康云手表,筹资成功,10000,96756,117,8,99.00,20,50,1,否,预计筹资结束后45天内,1,0,1,124,6,广东深圳,已经结束
智能穿戴,331320,全球首款多维度检测睡眠的健康手环,筹资成功,20000,80014,175,4,359.00,25,72,1,否,预计筹资结束后20天内,0,6,1,186,80,广东深圳,已经结束
智能穿戴,348950,EZON智能运动表G2-随时、随地、随心、随意玩转GPS,筹资成功,10000,61498,102,4,599.00,12,78,1,否,预计筹资结束后30天内,0,0,1,102,100,NOTFOUND,已经结束
智能穿戴,330397,Vigo：让你时刻保持清醒的贴心伴侣,筹资成功,10000,60772,160,11,10.00,51,49,10,是,预计筹资结束后10天内,7,1,1,160,42,海外美国,已经结束
智能穿戴,332383,FitCute 智能体脂秤（智能脂肪秤，智能秤，蓝牙秤）,筹资成功,20000,56753,242,7,30.00,28,115,2,是,预计筹资结束后30天内,3,1,1,251,3,上海闵行区,已经结束
智能穿戴,333529,微蜜Kiss-肌肤水分智能检测仪,筹资成功,10000,55905,399,6,79.00,13,48,0,否,预计筹资结束后30天内,0,0,1,448,200,北京海淀区,已经结束
智能穿戴,323728,唯动智能手环--能带给你微动力的智能手环，一切只是开始..,筹资成功,50000,50293,191,5,29.00,18,155,0,否,预计筹资结束后20天内,1,0,1,217,10,中国广东,已经结束
智能穿戴,347078,Wi-Watch S1威米心率监测 运动测量云分析智能手表,筹资成功,10000,47947,86,6,299.00,4,24,0,是,预计筹资结束后30天内,0,1,1,123,50,广东深圳,已经结束
智能穿戴,343297,Sideby.me-无胸带连续心率监测户外手表,筹资成功,10000,35012,66,4,499.00,23,42,1,否,预计筹资结束后30天内,0,0,1,68,50,广东深圳,已经结束
智能穿戴,344771,全球首款儿童成长手环，长高高·体记忆儿童成长手环,筹资成功,10000,33233,142,3,199.00,7,49,0,否,预计筹资结束后7天内,1,0,1,167,167,北京朝阳区,已经结束
智能穿戴,359554,魅动火烈鸟智能情趣按摩器：科技让情趣更美好！,筹资成功,10000,31393,263,4,169.00,61,10,48,是,预计筹资结束后10天内,342,1,1,305,129,上海闵行区,已经结束
智能穿戴,343453,HILIVE-GPS导航全智能运动手表,筹资成功,10000,26708,26,6,880.00,6,30,0,否,预计筹资结束后15天内,1,0,1,29,18,广东深圳,已经结束
智能穿戴,340667,e陪伴老人智能关爱仪- 关爱老人，心e陪伴,筹资成功,10000,19952,66,5,199.00,17,16,0,否,预计筹资结束后45天内,0,0,1,68,10,北京海淀区,已经结束
智能穿戴,314822,光的三次方,筹资成功,10000,20660,17,5,20.00,15,104,3,是,预计筹资结束后10天内,1,0,1,18,3,北京海淀区,已经结束
智能穿戴,346211,时尚智能手环,筹资失败,25000,19682,89,12,169.00,9,32,0,否,预计筹资结束后10天内,1,0,1,93,10,广东深圳,已经结束
智能穿戴,360932,路加夫L+F新型汽车智能液晶滤光屏,筹资失败,60000,19597,126,6,399.00,74,1,47,否,预计筹资结束后18天内,167,0,1,131,86,浙江金华,已经结束
智能穿戴,362177,Hahabot：全球首款具备3D视觉家用机器人,筹资失败,50000,12442,137,2,9.00,60,1,33,否,预计筹资结束后120天内,224,1,1,140,138,广东深圳,已经结束
智能穿戴,359806,獨角獸X第一視角飛行系統﹣世界上最快的FPV穿越機,筹资失败,100000,7641,146,7,99.00,66,2,37,是,预计筹资结束后30天内,211,2,2,147,144,NOTFOUND,已经结束
智能穿戴,338669,GD智能包---让手机永不断电，让爱包永不丢失,筹资失败,10000,6791,59,4,69.00,8,29,1,否,预计筹资结束后40天内,1,0,1,59,55,北京朝阳区,已经结束
智能穿戴,341385,KOSHIRO —— 蓝牙健康智能手环,筹资失败,10000,6377,32,5,189.00,4,5,0,否,预计筹资结束后30天内,1,3,1,33,19,北京朝阳区,已经结束
智能穿戴,359666,呵护宝-婴幼儿智能体温监护仪,筹资成功,5000,5850,57,6,2.00,53,4,15,否,预计筹资结束后30天内,97,0,1,65,32,广东深圳,已经结束
智能穿戴,360591,安心宝无线辐射检测仪 | 献给准爸爸,筹资失败,20000,4815,46,7,49.00,52,2,16,是,预计筹资结束后40天内,76,1,1,52,25,广东深圳,已经结束
智能穿戴,341465,icools智能鞋——保障安全出行、引领健康生活,筹资失败,50000,3990,10,5,399.00,16,9,0,否,预计筹资结束后45天内,1,0,1,10,10,河南郑州,已经结束
智能穿戴,346785,阿巴町NFC智能配饰——科技与时尚并存,筹资失败,1000000,2360,31,12,58.00,3,7,0,是,预计筹资结束后60天内,2,0,1,35,10,广东深圳,已经结束
智能穿戴,342085,HMW—蓝牙免提通话手镯,筹资失败,11800,1652,14,6,118.00,7,6,0,否,预计筹资结束后15天内,0,0,1,14,14,广东深圳,已经结束
智能穿戴,359598,步客，能支付的智能腕带,筹资失败,100000,1014,6,5,169.00,50,1,47,否,预计筹资结束后20天内,57,1,1,6,6,福建,已经结束
智能穿戴,359610,Mybreath净化背包-给不了你蓝天白云，至少还你健康呼吸,筹资失败,100000,599,5,4,50.00,57,3,22,是,预计筹资结束后90天内,27,2,2,5,4,广东深圳,已经结束
智能穿戴,359764,“云智能”戒烟 多功能烟盒移动电源【马丁雅各布】,筹资失败,50000,494,42,7,68.00,57,1,11,是,预计筹资结束后20天内,61,0,1,39,34,北京丰台区,已经结束
