项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
通讯数码,359682,MEMOBIRD 咕咕热敏打印机,筹资成功,100000,623941,2174,4,199.00,58,6,290,否,预计筹资结束后45天内,2526,0,1,2569,397,福建厦门,已经结束
通讯数码,344702,VID微动桌面酷动体感仪,筹资成功,10000,626121,1770,10,199.00,46,307,17,是,预计筹资结束后30天内,81,0,1,1899,200,天津南开区,已经结束
通讯数码,352592,星空果—融合通信智能硬件,筹资成功,10000,566758,1369,11,129.00,48,125,194,是,预计筹资结束后30天内,66,0,1,1801,895,广东深圳,已经结束
通讯数码,347910,遥控宝3S与智能监控,筹资成功,10000,318611,307,22,110.00,10,49,1,否,预计筹资结束后20天内,10,1,5,448,30,广东广州,已经结束
通讯数码,336815,快按钮--安卓手机的智能快捷键,筹资成功,10000,208579,2254,9,10.00,25,208,4,是,预计筹资结束后30天内,3,1,1,2432,100,上海静安区,已经结束
通讯数码,351491,zsun wifi读卡器,筹资成功,10000,311119,1755,18,49.00,56,499,119,否,预计筹资结束后30天内,23,0,3,2344,1025,广东深圳,已经结束
通讯数码,331222,Gcord 极线智能话机,筹资成功,10000,181760,330,4,384.00,16,60,1,否,预计筹资结束后30天内,13,3,1,365,128,广东深圳,已经结束
通讯数码,337196,"极速M1000-X成册扫描仪--不拆装订,速度全球第一",筹资成功,100000,126660,64,5,10.00,23,41,3,是,预计筹资结束后1天内,7,2,1,70,46,辽宁大连,已经结束
通讯数码,346052,zsun 全新苹果盘——苹果扩容专家,筹资成功,10000,124585,320,9,299.00,13,57,0,否,预计筹资结束后15天内,23,0,3,365,100,广东深圳,已经结束
通讯数码,341696,远程卫士-最智能的安全守护卫士,筹资成功,10000,107238,84,18,10.00,23,18,1,是,预计筹资结束后30天内,1,1,1,99,1,广东深圳,已经结束
通讯数码,331442,熙康BUDDY蓝牙智能腕表——智能手机的完美伴侣,筹资成功,20000,103580,94,5,398.00,11,50,0,否,预计筹资结束后30天内,1,0,1,111,10,北京海淀区,已经结束
通讯数码,331829,智器Z Watch Lite 智能手表,筹资成功,50000,106480,191,5,10.00,24,71,2,是,预计筹资结束后20天内,4,0,1,216,37,安徽合肥,已经结束
通讯数码,343477,NOTFOUND,NOTFOUND,NOTFOUND,NOTFOUND,NOTFOUND,0,0.00,0,0,0,否,NOTFOUND,NOTFOUND,NOTFOUND,NOTFOUND,0,NOTFOUND,NOTFOUND,已经结束
通讯数码,341254,"随身拍, 智能, 轻巧, 可穿戴",筹资成功,10000,77063,234,11,10.00,21,49,0,否,预计筹资结束后15天内,3,1,2,307,95,广东深圳,已经结束
通讯数码,331613,eyo手环--全球首款可通话的触控智能手环,筹资成功,10000,71290,244,4,199.00,37,174,5,否,预计筹资结束后20天内,0,0,1,257,50,广东深圳,已经结束
通讯数码,338051,炯炯侠E2 ：国内首款人体图像识别的智能摄像机,筹资成功,10000,68711,214,7,199.00,21,51,1,否,预计筹资结束后30天内,0,1,1,287,199,北京海淀区,已经结束
通讯数码,333126,过年回家的必备神器！支持bake 团队,筹资成功,10000,60606,323,8,125.00,28,124,5,否,预计筹资结束后30天内,3,2,1,340,30,中国上海,已经结束
通讯数码,323490,E Ink电纸手机 阅读不用电 不伤眼 户外阅读清晰可见,筹资成功,30000,58522,223,7,20.00,17,154,3,是,预计筹资结束后15天内,4,0,1,231,153,广东广州,已经结束
通讯数码,321550,GalaCard 智能名片：2014社交达人必备神器！,筹资成功,10000,46492,136,6,99.00,20,33,1,否,预计筹资结束后30天内,1,1,1,218,100,广东深圳,已经结束
通讯数码,348615,相片宝全球第一款超级智能云相框，还是一个会报警的相框哦！,筹资成功,10000,54410,179,9,10.00,21,109,1,否,预计筹资结束后40天内,1,0,1,194,38,北京海淀区,已经结束
通讯数码,343890,WeCoach，人工智能的运动捕捉器，你的专属私人教练,筹资成功,30000,45659,187,4,149.00,25,22,3,否,预计筹资结束后30天内,1,0,1,192,50,浙江杭州,已经结束
通讯数码,340541,Chat bar 手机平板语音增强 聊天小助手,筹资成功,1000,35666,271,10,19.00,15,50,0,是,预计筹资结束后30天内,4,0,1,304,10,广东深圳,已经结束
通讯数码,359790,扩号，不是所有iPhone都是双卡神器,筹资成功,30000,31671,301,9,49.00,62,10,200,否,预计筹资结束后45天内,543,0,1,309,50,广东深圳,已经结束
通讯数码,318747,想要什么？画什么 ！ — — 鸦鸦 3D 打印笔,筹资成功,3000,31230,110,5,10.00,13,68,1,是,预计筹资结束后7天内,3,4,1,154,10,北京西城区,已经结束
通讯数码,343591,锐力云DVR-智能IP监控器，拥有她，让世界尽在你眼中。,筹资成功,10000,23172,90,12,10.00,4,21,0,否,预计筹资结束后20天内,0,0,1,99,30,广东深圳,已经结束
