项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
饮食文化,366556,五福临门，砖属茶人——白沙溪五福熊猫茯砖茶,筹资成功,10000,10060,11,5,338.00,63,3,11,否,预计筹资结束后7天内,26,0,1,11,5,上海黄浦区,已经结束
饮食文化,367671,为温润女人心而来——慕蓉仁家红糯米甜酒汁,筹资成功,80000,84588,44,5,30.00,77,1,27,是,预计筹资结束后7天内,73,0,1,84,14,广西南宁,已经结束
饮食文化,367604,MS Sugar，就是要全方位宠爱自己！,筹资失败,500000,832,24,8,2.00,68,1,30,否,预计筹资结束后30天内,32,0,1,28,20,NOTFOUND,已经结束
饮食文化,366491,古法现碾五常米，一份来自黑土地的献礼,筹资成功,3,3,1,3,0.00,3,1,0,否,预计筹资结束后1000天内,10,6,5,3,1,北京西城区,已经结束
饮食文化,366533,技术测试,筹资失败,20,3,6,1,0.00,3,1,0,否,预计筹资结束后15天内,9,2,1,3,3,NOTFOUND,已经结束
饮食文化,366497,古法现碾五常米，一份来自黑土地的献礼,筹资成功,2,2,3,2,0.00,3,1,0,否,预计筹资结束后30天内,10,6,5,2,1,北京西城区,已经结束
饮食文化,366519,古法现碾五常米，一份来自黑土地的献礼,筹资成功,2,2,2,2,0.00,3,1,0,否,预计筹资结束后15天内,693,124,3,2,1,北京朝阳区,已经结束
饮食文化,366520,古法现碾五常米，一份来自黑土地的献礼,筹资成功,2,2,1,2,0.00,3,1,0,否,预计筹资结束后15天内,10,6,5,2,1,北京西城区,已经结束
饮食文化,366532,项目测试,筹资失败,3,2,5,3,0.00,3,1,0,否,预计筹资结束后15天内,6,4,1,2,0,NOTFOUND,已经结束
饮食文化,366489,古法现碾五常米，一份来自黑土地的献礼,筹资失败,2,0,0,2,0.00,5,1,0,否,预计筹资结束后100天内,10,6,5,0,0,北京西城区,已经结束
饮食文化,367570,王茅烧坊5年窖藏酒,筹资失败,10000,0,0,7,159.00,22,1,0,否,预计筹资结束后30天内,2,0,1,0,0,NOTFOUND,已经结束
