项目类型,众筹状态,项目编号,项目名称,目标金额,实际筹资额,项目支持人数
影像,已成功,18570,为了你我的电影梦，也为关注幕后配音员---学生微电影《幕后》,5000,5130,55
影像,已成功,16542,《七·体》国内首部密室逃生题材4K短片,5000,6710,41
影像,已成功,17588,外婆递给你的《蜂糖牛奶》，你可记得它的滋味？,10000,16780,71
影像,已成功,15353,用相机记录下你的青涩年华,6000,679,9
影像,已成功,17571,宇宙纪录片三部曲——中国原创纪录片,20000,29720,62
影像,已成功,18045,为了你我的电影梦，也为关爱老人---学生短片《棋》的成长,5000,5590,44
影像,已成功,15289,"《太空探索》国际宣传片----我们的征途,星辰大海！",20000,51420,293
影像,已成功,15035,无二之旅&追梦：我深知生活不止于此—新西兰打工旅行故事集,42000,44726,252
影像,已成功,14394,《东邪西毒》——众筹重映，在中间影院重温岁月光影,1200,1640,41
影像,已成功,14176,请和我去耿达看看——四川地震灾后重建实访录,2000,2210,42
影像,已成功,14172,小明系列动画短片第一季,500000,81580,17
影像,已成功,14174,跟王涛欧巴一起翻转巴西世界杯,100000,38067,63
影像,已成功,14043,大电影《包》筹款，好电影需要你的支持。,160000,0,0
影像,已成功,13370,《一首摇滚上月球》社会创新周X特别放映,20125,8413,57
影像,已成功,12705,为文艺而拍：舞蹈实验短片《诗Shi》,10000,11558,121
影像,已成功,13216,电影《夏虫》 别再为自己的不勇敢找太多借口。,6300,1040,28
影像,已成功,13312,10万独立IP播放量——汉服微电影《碎玉》筹拍,10000,1655,13
影像,已成功,13376,同志电影《张先生和张先生》筹款，让我们一起记录基情的时代,300000,301938,"1,058"
影像,已成功,12994,星座爱情系列短片—摩羯篇,5000,6300,14
影像,已成功,13148,纪录蜂农逐花历程， 回报原生态的现采好蜜,15000,20603,116
影像,已成功,12640,公益中华礼仪宣传MV——《礼仪之邦》MV后期制作宣发筹资,20000,44709,282
影像,已成功,12342,爱是承诺并兑现——10-20个家庭，人与动物不离不弃影展,6000,6000,34
影像,已成功,12395,实验同志短片《贵圈好乱》,76000,85348,155
影像,已成功,11822,湖南小伙免费给全国贫困家庭拍摄全家福,10000,10592,29
影像,已成功,13092,一起做个针孔照相机玩吧,10000,12020,46
影像,已成功,11077,天真蓝，为你拍摄最美的证件照,1200,1381,16
影像,已成功,11231,正奔跑的青春：Running Man与你一起留下青春的记忆,10000,10302,222
影像,已成功,11126,毕业摄影展,1000,1125,30
影像,已成功,13120,我的instagram手机摄影展,1000,1110,22
影像,已成功,13157,京郊废墟拍摄计划,10000,11290,24
影像,已成功,13091,那一年我在上海,10000,10600,53
影像,已成功,13133,与你在江南遇见影像计划,10000,10800,93
影像,已成功,12170,神探夏洛克·手绘明信片团购,1000,1170,39
影像,已成功,10990,独立科幻电影——《彩虹城》,10000,10600,17
影像,已成功,10910,阿菜的环球社会创新采访——纪录片《改变世界的青年人》,125000,164240,428
影像,已成功,649,留下一份最美好的回忆——苏州《十梓街》微电影,150,180,3
影像,已成功,13177,光影涂鸦,8000,9450,127
影像,已成功,13121,我的母校在那里,50000,53600,268
影像,已成功,13161,飞屋环游记婚礼摄影,1111,10000,1
影像,已成功,302,明信片制作——“撒花客”摄影工作室原创,1000,1038,18
影像,已成功,546,独立摄影展——邀您成为首批model,6000,8785,43
影像,已成功,103,关于旅行的电影——《一年旅行梦》实验影片拍摄,5000,7090,119
影像,已成功,48,乐队、赛车与公益——两个16岁女生镜头里的世界,1000,1425,16
影像,已成功,104,感人的微电影——《天使之城》,20000,20400,23
