项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
其他,73602,中华练字王众筹项目,6,49,5,0,1
其他,73002,尚驰律动按摩保健床垫,6,4498,19,0,1
其他,72933,睿卡非洲鼓艺术教室,7,298,11,3,2
其他,74505,玛萨玛索真银纤维防臭抗菌袜,5,68,20,0,2
其他,74792,迪士尼钞形金银纪念版,6,199,7,0,1
其他,74616,一支预防近视眼的笔,10,5,22,0,1
其他,73934,Bangli声波电动牙刷,9,38,18,0,1
其他,74252,可以缓解颈椎疼痛的记忆枕,9,38,27,0,1
其他,74598,放亮双眼，创新型蒸汽眼罩,6,59,19,0,1
其他,74637,您随叫随到的洁牙小护士,9,19,21,0,1
其他,71606,show-ya塑形仪,5,365,13,3,1
其他,72243,鸿木斋始创海南黄花梨药合香,15,15,12,0,2
其他,73717,麻生希真人互动VR飞机杯,8,188,22,25,8
其他,73369,智能儿童学习启蒙触摸熊,6,118,22,0,1
其他,73000,男欢女爱震动棒，一起高潮吧,7,168,20,25,8
其他,73720,机器人性伴侣，懂您的另一半,8,298,25,25,8
其他,74842,健康猫运动生活馆14号馆,10,1,24,0,20
其他,74843,健康猫运动生活馆21号馆,10,1,24,0,20
其他,74573,健康猫运动生活馆25号馆,9,1,25,0,20
其他,74529,抵御倒春寒！体贴你的鹅绒被,7,108,17,0,2
其他,72746,藓为人知·木制懒人花器,15,98,7,0,1
其他,73551,悦己爱人•全程养护健康文胸,6,148,14,0,1
其他,74406,植钰坊一款可以“吃”的面膜,7,78,63,0,1
其他,74570,生活本该优雅，复古固体香水,9,52,12,0,1
其他,74144,去静电洗护套装，秀发不再乱,10,38,22,3,1
其他,74404,雪肤智能美面仪,4,599,14,0,1
其他,73816,乳胶天梦塑形床垫,10,126,20,7,1
其他,74254,湖北卫视《你就是奇迹》,4,49,6,0,1
其他,73530,龟兔智能滚筒式骑行台,5,428,11,0,1
其他,75247,健康猫运动生活馆武汉南湖馆,10,1,24,0,20
其他,72211,健康猫运动生活馆23号馆,9,1,21,0,20
其他,69611,加哇随身空气净化卫士,6,298,26,10,1
其他,75121,零压力靠垫◆缓解腰部不适,9,99,25,0,0
其他,72964,兔卫士儿童防丢徽章,6,99,10,1,1
其他,73856,BESBET儿童安全座椅,4,998,16,0,1
其他,74869,钱皇优等品蚕丝被 祼睡上瘾,6,79,18,0,1
其他,74829,新鲜生姜洗发素，一洗了然,6,39,14,0,0
其他,74929,健康猫运动生活馆武汉洪山馆,10,1,25,0,20
其他,73839,艾丝丽娜 逆年塑颜精华套组,6,118,5,0,1
其他,73871,我莱喜无水洗衣精华液,7,28,20,0,1
其他,75154,百年匠心，全手工梅桩壶  ,6,99,20,1,2
其他,74561,血压血糖脉率体温一体机,7,699,24,0,1
其他,73820,步步紧 扭转情趣震动飞机杯,7,79,51,0,3
其他,73745,兔哇实体娃娃 男用飞机杯,7,35,17,11,6
其他,74921,富硒抹茶 清颜愈肤卸妆面膜,7,99,14,0,0
其他,74807,165度可躺的安全座椅,5,498,12,0,1
其他,74153,孕妈必备孕期科普漫画图书,9,49,5,1,1
其他,71479,哎呀动物岛多功能儿童手工盒,5,98,23,20,1
其他,74659,DOW勇士勋章比赛,3,299,15,0,5
其他,73747,上海光影车间艺术电影院,6,49,7,0,1
其他,73961,14年，为更好的护肤新体验,11,298,20,1,1
其他,74058,温佩倪·多功能四季床具,4,379,6,0,2
其他,70971,UA活动年卡,4,99,16,1,1
其他,73933,冠达星儿童城堡衣橱,5,159,11,0,1
其他,74309,除臭利器——空气魔芳,4,69,9,0,0
其他,72537,天空无霾智能空气制造机,8,899,19,0,1
其他,73088,原舍手作旅行醋香皂,9,39,6,0,1
其他,74525,双重牙齿美白贴 笑容更自信,6,88,15,0,2
其他,74563,高端瑜伽私教在线预约平台,6,69,7,0,1
其他,74766,做作文化招募手作爱好者,9,11,6,1,1
其他,72422,无人机培训不计成本只为情怀,5,4888,11,0,1
其他,74711,艺盛电能积木·科学早教神器,8,78,13,10,1
其他,73406,珠江恺撒堡之夜吴牧野音乐会,9,180,6,0,1
其他,73975,星空下的圆舞曲.梦特娇,6,299,22,0,7
其他,73842,桐乡手作，雪君蚕丝被,8,498,7,0,1
其他,73291,锗能量锁脂内衣,5,198,15,3,1
其他,73617,自由呼吸舒适无痕内衣,9,69,21,2,4
其他,73510,宇航服材料的婴儿调温睡袋,4,398,13,0,4
其他,73614,贝塔咖啡北京铟立方招募朋友,5,499,16,9,29
其他,73441,tudor男士电动剃须刀,16,39,21,0,1
其他,73243,荃璟超浓缩环保洗衣片,6,58,25,0,1
其他,72793,带你走进英伦复古风·梦特娇,6,299,18,0,7
其他,72943,天然抗菌无鼻夹儿童口罩,8,28,19,0,1
其他,73004,爱康康本草消毒液让呼吸更纯,5,74,36,1,1
其他,72874,欧赫曼新一代孕妇托腹带,9,178,13,0,1
其他,73198,编程猫让孩子用游戏玩懂数学,4,99,7,0,2
其他,72880,绿色果蔬®食材洗净剂,5,68,13,0,1
其他,72864,贝贝卡西侧翼保护安全座椅,5,558,1,0,1
其他,73115,云饮NADO儿童水杯,9,399,27,0,1
其他,73137,gambei佳安贝儿童座椅,5,799,9,0,1
其他,72697,小蛮腰母婴空气净化器,10,998,9,1,2
其他,73226,九代视力健康笔,5,78,13,0,1
其他,73011,宝宝拍儿童智能相机,5,439,7,1,1
其他,72978,天意宝围兜，让妈妈们懒起来,8,8,21,10,1
其他,72652,便携式去农残果蔬净化器,5,299,36,1,1
其他,73097,十度良品酵素加湿器,5,19,28,0,1
其他,72324,云景全屋空气净化新风一体机,9,4999,30,0,1
其他,72592,活到30无为 幸好有你还在,8,99,5,1,1
其他,72562,百变婴儿车，带娃兜风神器,7,1680,23,4,2
其他,72394,暖冬黑科技4D陶瓷科技内衣,7,199,8,0,2
其他,72512,能净化空气的神奇养生枕头,7,219,5,0,1
其他,72250,冰刃·钛晶新材料陶瓷厨刀 ,8,99,8,0,1
其他,72528,匠人精神 钻技聚能UU锅,7,385,23,2,1
其他,72345,杜邦U+空气净化器,7,999,37,0,1
其他,72358,耐康长效抗菌袜子,6,78,3,1,4
其他,72276,陪宝宝长大的儿童安全座椅,6,399,13,4,1
其他,72317,新一代穿戴式微型空气净化器,5,98,10,0,3
其他,72495,RevoMax儿童保温杯,6,139,18,0,1
其他,72628,众创实战派,6,99,13,0,1
其他,72565,优彼思维训练电脑,9,1888,6,0,1
其他,72219,酷蛙智能净水器,7,1919,20,0,1
其他,71886,海上绮梦 光影传说,4,200,12,0,1
其他,72601,奥运冠军刘璇的美丽秘密,6,19,9,0,1
其他,71896,随时随地赛车对决实现年少梦,10,339,20,0,1
其他,72161,德国大马士革厨师刀,5,399,16,0,6
其他,71845,一辈子，爱上拥抱的温度,6,999,5,0,1
其他,72127,爱子科技婴儿保,10,69,17,0,1
其他,72183,"  猫太子新型坐姿矫正器",6,88,22,0,1
其他,71745,索纳斯二代变频电动牙刷 ,12,16,38,0,2
其他,71979,Healthme体检神器,8,298,11,0,1
其他,71712,康颈椅，会动的椅子,10,529,17,2,1
其他,71696,悦肤Pro 智能肌肤管家,5,199,19,1,1
其他,71846,蓝氧水冲洗除菌机,6,3000,30,0,1
其他,72186,4年，一枚海参成为一片面膜,13,49,21,0,1
其他,71928,“画暖家”石墨烯取暖画,6,980,14,2,1
其他,71392,十二月的罗曼司圣诞爵士现场,7,8,16,0,1
其他,71218,佛家之礼，砗磲贝壳围棋子,7,15,22,0,2
其他,71756,loveumom安全座椅,15,499,19,0,1
其他,71563,一碗米饭就够了,7,99,24,0,1
其他,71516,慢慢做好一把伞,4,299,24,0,3
