项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
出版,73556,《果蔬乐悠悠》手帐及其周边,4,28,5,0,1
出版,74254,湖北卫视《你就是奇迹》,4,49,6,0,1
出版,72070,潮汕书画艺术馆 山水画众筹,4,5,6,0,1
出版,72843,历历在木让眷眷往昔更有温度,6,89,9,19,1
出版,73859,筑梦澳新 留学申请,5,1,12,0,1
出版,72341,唐卡涂色绘本 尘世静心神器,6,99,29,10,1
出版,72863,中考实验满分冲刺直播课程,6,168,13,0,1
出版,72823,《全家共学〈弟子规〉》笔记,5,128,10,0,1
出版,72737,藏一片好茶，陪自己慢慢变老,12,39,8,143,2
出版,72922,《新诗百年诗抄》手稿本,3,28,6,0,1
出版,74153,孕妈必备孕期科普漫画图书,9,49,5,1,1
出版,73602,中华练字王众筹项目,6,49,5,0,1
出版,73736,《教爸妈玩转手机》,4,39,10,0,1
出版,73719,破解P2P产业链金融,5,38,4,0,1
出版,73824,带着心经去旅行,7,158,8,3,1
出版,73198,编程猫让孩子用游戏玩懂数学,4,99,7,0,2
出版,71542,千年古法柴烧琉璃-唐木,8,998,10,2,1
出版,71364,星战双语小说与限量手办众筹,8,25,20,0,1
出版,70950,无价的春联,7,99,14,0,1
出版,72086,时尚新娘9周年珍藏本,3,39,22,0,1
出版,69658,熊猫A啦AR++魔法立体书,5,228,10,0,1
出版,69900,宝宝专属定制图书,6,59,5,0,1
出版,72087,《富连成京剧脸谱集》新年礼,6,58,6,0,1
出版,70078,硬笔字帖革命风暴,7,19,6,0,1
出版,70998,给孩子的文学艺术启蒙书,5,58,25,0,1
出版,70894,《重新定义营销》营销人宝典,8,58,13,0,1
出版,70336,2016中国设计红星奖年鉴,4,298,21,0,2
出版,70601,金融、商务人士必备笔记本,6,118,25,0,1
出版,70015,北斗企鹅科幻剧：遗落的南境,4,39,7,0,7
出版,69986,十年积淀精华典藏-斯飞日历,4,98,10,7,1
出版,70220,小说《王家大院》倾情大众筹,7,48,15,0,1
出版,68805,【顺历】2017黄历记事本,6,26,30,5,1
出版,71415,创业者，你需要一本好书,7,39,13,3,1
出版,67945,2017未读月相历礼盒套装,6,48,10,4,3
出版,67801,宝宝成长纪念册,5,108,23,0,1
出版,69024,仙剑奇侠传官方漫画豪华版,4,70,6,0,1
出版,67668,孙宇晨：财富自由革命之路,5,159,5,0,7
出版,67797,混沌研习社音频课程,6,159,4,0,7
出版,69588,芝麻带你一起玩科学！,7,39,8,0,7
出版,67285,《超级网红战略》网红的秘籍,6,30,24,0,1
出版,68241,魔法涂涂看世界之航海历险记,6,198,3,0,2
出版,68737,东风来-中国韵味涂色绘本,5,40,8,52,1
出版,68028,名家有一套，经典必读电子书,3,10,8,0,2
出版,69601,一套，爽购！经典电子书套装,7,6,17,0,2
出版,66961,从你的全世界路过服饰产品,6,46,15,0,2
出版,65312,黄景瑜《泽海鲸鱼》限量写真,1,215,10,0,4
出版,68242,华图新公社申论诊断产品众筹,6,99,18,4,1
出版,69632,走遍全球《美国国家公园》,6,78,18,1,1
出版,65154,加油向未来 炫酷的科学读本,8,69,17,1,1
出版,65566,黄景瑜《泽海鲸鱼》限量写真,3,199,10,0,4
出版,68868,时间的朋友2016跨年演讲,7,99,8,0,1
出版,66522,企鹅手绣经典系列-刺绣书,8,214,11,4,3
出版,66763,Tubo系列原创公仔,10,33,10,0,1
出版,65450,黄景瑜《泽海鲸鱼》限量写真,1,199,11,0,4
出版,66166,在思密达星遇见你,6,69,14,6,1
出版,65695,黄景瑜《泽海鲸鱼》限量写真,2,199,13,0,4
出版,66966,读《白茶时间》，品一盏茶香,8,69,11,143,2
出版,65228,《从零到英雄》创业秘诀,8,39,6,0,1
出版,65788,艾问顶级创客之不死法则,6,199,6,2,1
出版,66163,清凉福地翰墨香之《心经》,6,1000,51,3,1
出版,59812,开启AR亲子体感玩具新时代,7,88,16,0,2
