项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
娱乐,74573,健康猫运动生活馆25号馆,9,1,25,0,20
娱乐,73997,LANZZO首款镜面旅行箱,4,2299,15,0,1
娱乐,74836,1秒搭建 超好玩的春游帐篷,20,59,31,0,1
娱乐,72718,MiniCity轻松玩英语,8,148,40,0,2
娱乐,72211,健康猫运动生活馆23号馆,9,1,21,0,20
娱乐,74678,下棋，还是天然的好！,7,15,16,0,2
娱乐,74803,健康猫运动生活馆20号馆,9,1,25,0,20
娱乐,74077,YOOTH静音智能声学钢琴,4,1380,10,0,1
娱乐,74254,湖北卫视《你就是奇迹》,4,49,6,0,1
娱乐,74843,健康猫运动生活馆21号馆,10,1,24,0,20
娱乐,67110,隐居千岛湖源头的民宿,7,388,25,0,1
娱乐,74842,健康猫运动生活馆14号馆,10,1,24,0,20
娱乐,73860,能飞·西安无人机培训见面惠,11,10,20,0,2
娱乐,73530,龟兔智能滚筒式骑行台,5,428,11,0,1
娱乐,72933,睿卡非洲鼓艺术教室,7,298,11,3,2
娱乐,74667,清舟梦想电影《我们这十年》,6,11,29,133,1
娱乐,73417,《鬼吹灯》腾讯视频VIP,24,1,3,0,1
娱乐,73859,筑梦澳新 留学申请,5,1,12,0,1
娱乐,74929,健康猫运动生活馆武汉洪山馆,10,1,25,0,20
娱乐,73169,凤凰山情人节浪漫之旅,4,99,7,0,1
娱乐,73406,珠江恺撒堡之夜吴牧野音乐会,9,180,6,0,1
娱乐,75247,健康猫运动生活馆武汉南湖馆,10,1,24,0,20
娱乐,69949,“暗源”机甲模型加兵人手办,7,229,35,0,1
娱乐,74659,DOW勇士勋章比赛,3,299,15,0,5
娱乐,71224,驴得水官方限量版睡服,9,88,14,0,1
娱乐,73956,创新手游生灵怒诚邀天使玩家,6,1,4,1,1
娱乐,73747,上海光影车间艺术电影院,6,49,7,0,1
娱乐,72592,活到30无为 幸好有你还在,8,99,5,1,1
娱乐,70034,《财智时代》财商游戏,4,299,14,1,1
娱乐,74065,《碧血剑》手游共圆明朝之梦,13,18,12,0,0
娱乐,71886,海上绮梦 光影传说,4,200,12,0,1
娱乐,72086,时尚新娘9周年珍藏本,3,39,22,0,1
娱乐,71698,取舍民宿，西湖畔的好色之途,7,68,29,0,1
