项目类型,项目编号,话题数,关注数
科技,73830,308,(1万)
科技,74791,35,(1千)
科技,74252,97,(2千)
科技,73836,198,(9千)
科技,75084,57,(1千)
科技,74885,143,(2千)
科技,73717,235,(1千)
科技,73711,46,(366)
科技,75218,10,(247)
科技,75051,159,(703)
科技,72855,77,(1千)
科技,74769,228,(1万)
科技,74687,24,(1千)
科技,75029,87,(2千)
科技,73834,157,(2千)
科技,73801,43,(969)
科技,72971,21,(748)
科技,74872,84,(1千)
科技,73917,159,(1千)
科技,74708,62,(414)
科技,74617,149,(3千)
科技,74502,14,(324)
科技,74269,37,(1千)
科技,73585,54,(1千)
科技,73840,21,(676)
科技,75057,20,(3千)
科技,74637,39,(701)
科技,72305,116,(2千)
科技,74627,100,(2千)
科技,73887,48,(427)
科技,74571,26,(444)
科技,73550,50,(1千)
科技,75034,29,(2千)
科技,74662,41,(264)
科技,70066,92,(991)
科技,74827,39,(3千)
科技,73784,162,(3千)
科技,74399,34,(1千)
科技,74186,19,(258)
科技,73806,26,(569)
科技,73480,21,(337)
科技,74558,27,(239)
科技,74047,89,(1千)
科技,75162,6,(1千)
科技,69611,55,(258)
科技,67738,21,(2千)
科技,74199,136,(697)
科技,74567,85,(2千)
科技,74314,31,(588)
科技,75031,24,(2千)
科技,74079,95,(677)
科技,73889,32,(751)
科技,72098,9,(250)
科技,74772,68,(2千)
科技,74562,10,(197)
科技,74763,28,(724)
科技,75000,11,(3千)
科技,74264,41,(1千)
科技,74731,47,(183)
科技,74697,87,(1千)
科技,74588,20,(262)
科技,74411,55,(2万)
科技,72162,31,(560)
科技,73856,18,(676)
科技,70688,57,(2千)
科技,74037,36,(287)
科技,72719,9,(114)
科技,74370,5,(141)
科技,74848,53,(151)
科技,72102,13,(330)
科技,71606,51,(1千)
科技,74789,36,(159)
科技,74476,77,(2千)
科技,73098,17,(177)
科技,74915,784,(3千)
科技,74404,72,(1千)
科技,74811,58,(1千)
科技,73924,25,(4千)
科技,72698,27,(372)
科技,72638,59,(504)
科技,74927,17,(87)
科技,73511,10,(139)
科技,74812,26,(2千)
科技,74471,79,(2千)
科技,74561,31,(4千)
科技,74377,26,(1千)
科技,74695,2,(27)
科技,74357,16,(160)
科技,74335,79,(340)
科技,74043,35,(1千)
科技,74201,9,(140)
科技,73875,66,(177)
科技,73868,73,(617)
科技,73876,73,(232)
科技,73845,28,(216)
科技,73732,80,(1千)
科技,73675,39,(1千)
科技,73541,19,(143)
科技,73438,132,(2千)
科技,73242,26,(641)
科技,72597,45,(209)
科技,73165,16,(152)
科技,72442,10,(131)
科技,72028,48,(551)
科技,71924,27,(157)
科技,71728,10,(112)
科技,74080,13,(215)
科技,75291,4,(6千)
科技,75249,1,(30)
科技,75258,16,(505)
科技,75229,2,(1千)
科技,75065,1,(41)
科技,74995,11,(55)
科技,74998,14,(62)
科技,74934,11,(81)
科技,74974,TimoutError,(56)
科技,74909,4,(51)
科技,74859,52,(805)
科技,74821,47,(2千)
科技,74813,4,(49)
科技,74934,11,(82)
科技,75065,1,(43)
科技,74998,14,(62)
科技,74909,4,(51)
科技,74995,11,(56)
科技,74859,52,(806)
科技,74821,47,(2千)
科技,74758,38,(216)
科技,74752,52,(1千)
科技,74974,TimoutError,(56)
科技,74475,27,(1千)
科技,74671,21,(100)
科技,74321,15,(73)
科技,74353,7,(50)
科技,74250,26,(2千)
科技,73930,108,(918)
科技,73860,42,(209)
科技,73814,13,TimoutError
科技,73770,109,(2千)
科技,73918,TimoutError,(14)
科技,73700,54,(1千)
