项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
美食,73120,新疆阿克苏大枣,6,29,4,0,2
美食,73703,可以喝的北纬30°匠心鲜橙,9,11,19,0,1
美食,74801,王者荣归之武夷大红袍,7,168,11,0,11
美食,75001,一座城 一道味——莲花血鸭,7,38,24,0,1
美食,73764,寻蜜之旅-沂蒙正宗蜂巢蜜,6,59,16,1,6
美食,73650,手工小麻花-追寻源味,8,17,13,1,6
美食,74373,邹大喜酸辣萝卜皮好鲜好爽,12,11,16,18,4
美食,74306,洪门秘制蟹黄咸鸭蛋松花蛋,12,48,6,0,1
美食,74609,NB能量果汁，神秘力量,10,17,21,0,1
美食,73708,“功夫桃”黄桃罐头,10,1,11,3,1
美食,73755,千斤大坛分装，茅台镇6年窖,8,99,7,0,2
美食,74816,茅台镇5年坤沙内测礼盒老酒,10,89,10,2,4
美食,73759,春谷黄小米-惊喜你的味蕾,8,15,17,1,6
美食,74313,好陈皮遇到老普洱,11,39,18,0,4
美食,74972,麻辣海鲜新鲜有料好吃到爆,8,59,16,0,4
美食,74937,一罐封存了春天的油菜花蜂蜜,10,36,12,0,1
美食,73293,会宁苦荞茶,5,25,6,0,2
美食,73303,云南哈尼梯田红米,6,99,4,0,1
美食,73087,阿克苏薄皮核桃,5,66,4,0,2
美食,72534,奉节脐橙肚子美橙,5,69,6,0,1
美食,73029,欣禧源葡萄酒,6,68,10,0,1
美食,72804,超过日本福冈草莓的国产品质,15,58,8,0,1
美食,73787,不是所有蜜汁肉脯都叫味巴哥,6,49,17,0,1
美食,74543,怕上火就喝金丝皇菊,7,58,7,0,1
美食,74614,苗小妖轻咖啡，温和不刺激胃,9,30,7,0,3
美食,74413,生如夏花-灿若火红,8,98,22,2,2
美食,73430,一碗米饭，安住日常,4,138,30,12,1
美食,74298,甜美红颜，东港99草莓,7,99,14,0,1
美食,73818,中英街柬埔寨茉莉香米,6,88,11,0,1
美食,73300,会宁五谷杂粮,5,58,5,0,2
美食,74316,你从未了解的羌酒大师,9,99,27,2,1
美食,73155,亿健有机茶,5,138,15,0,1
美食,74607,仙草之首 臻品石斛,5,268,6,0,2
美食,74666,百年传承 回味经典丝袜奶茶,6,88,20,0,1
美食,74216,"	 泰和乌鸡扶贫众筹",4,178,30,1,1
美食,74536,内蒙草原羊肉 革命老区扶贫,9,99,10,0,1
美食,75073,几乎没人知道的古法液体红糖,6,28,11,0,1
美食,74324,一份瓜蒌子 颗颗血汗情,6,19,16,0,2
美食,74755,一百年，只为一杯咖啡,6,49,8,0,2
美食,75015,长寿村草莓干，纯“脆”好吃,8,13,22,1,6
美食,74288,凤凰茶的味道,8,69,23,15,1
美食,74782,九朵玫瑰玫瑰花茶喝出美丽,7,28,27,0,1
美食,73493,雪域高原牦牛肉,8,109,25,0,1
美食,74686,大三湘天然有机山茶油,5,299,25,0,1
美食,75003,贝享天成儿童辅食油,8,38,21,0,0
美食,73041,花肆花果清酒概念新品首发,8,98,31,0,1
美食,75056,尝一口兰花与茶的“初恋”,6,161,19,0,7
美食,73627,年味首选，雨润生态土黑猪,8,199,12,3,1
美食,73283,朱苦拉咖啡,6,49,7,0,2
美食,73583,橘园土鸡，为爱众筹,6,49,18,0,1
美食,73273,电商扶贫 小榨鲜胚玉米油,8,38,8,0,1
美食,73931,十年磨一剑-普洱老茶头,8,75,14,0,4
美食,73912,一坛封存六年的坤沙老酒。,7,88,9,0,2
美食,73823,茅台镇3年坤沙老酒整箱礼盒,8,119,10,0,7
美食,73557,山沟养黑猪  年猪福到家,6,77,14,0,1
美食,73783,一枝花松露缘自中国松露之乡,7,168,9,0,1
美食,73568,恩施天然富硒米公益众筹,6,58,6,0,2
美食,73705,寒地黑土，红谷小米,5,45,10,0,1
美食,73601,老酒师的口粮纯3年坤沙老酒,8,79,10,0,7
美食,73282,贵州梵净山-品茶农手工黑茶,6,78,15,2,1
美食,73301,古法手工酿酒—红曲养生黄酒,7,48,35,0,1
美食,73302,御君眉有机茶.菩提树下,7,299,12,5,1
美食,72180,茅台镇5年坤沙老酒贺岁礼盒,14,88,9,2,4
美食,72349,喝菜  可以喝的沙拉,6,128,23,0,1
美食,73010,轻食新主张，好吃的水果玉米,6,49,17,1,1
美食,72682,塔牌手冬酿10年老原浆黄酒,8,279,9,0,1
美食,72491,最强大脑王昱珩养眼之谜,7,78,37,0,2
美食,72777,綦江老四川 中华老字号,10,22,15,0,1
美食,72921,一滴来自张家界的油,8,99,14,0,1
美食,72858,我来自丹麦，润民年猪福到家,5,198,31,0,1
美食,72513,“野上瘾”高山野放茶,8,39,11,2,1
美食,73219,大美锡林郭勒，致纯毛登牧场,10,20,26,0,1
美食,72668,家族秘传茅台镇十年私藏老酒,10,139,21,0,1
美食,72604,黑茶有厚度的年货,7,49,16,60,1
美食,73093,茅台集团全家福,9,99,15,0,1
美食,72684,茶酒 颠覆传统 煮茶酿酒,10,368,10,2,1
美食,72992,五常“真”米|鸭稻米！,8,36,9,0,1
美食,72771,九年深耕高品生态橙顺丰鲜达,11,86,9,0,1
美食,71563,一碗米饭就够了,7,99,24,0,1
美食,71880,井冈山茶油，健康长寿油,8,78,14,0,1
美食,71551,小仙炖木糖醇鲜炖燕窝,6,149,22,0,1
美食,71539,皇家贡品柿饼，纯手工制作,6,22,22,1,6
美食,71685,瑧馔藏茶西蜀雅贡,6,990,16,0,1
美食,71397,江西老表的米熏肉,10,39,18,18,4
美食,71533,鹿晗愿望季梦想限量版礼盒,6,128,13,0,1
美食,71519,老酒藏六年——纯酒糟窖藏,8,96,8,0,2
美食,71391,天然手工熬制的暖起来姜暖茶,7,48,21,0,1
美食,71742,好茶暖人心，凤凰单丛茶,8,188,28,0,8
美食,71485,一盒来自远方的美食Ⅱ,10,128,12,4,2
美食,71962,北京小茅台 天安门酒,7,30,12,24,1
美食,72176,随身法国菜——咪吖白玉香螺,7,48,20,19,1
美食,71938,时间再久 不如”莓“酒,9,98,14,15,2
美食,72046,一杯茶一世人~武夷大红袍,6,49,12,3,1
美食,71723,黑茶始祖  金花茯茶,7,68,25,73,1
美食,71199,桐木关金骏眉之“鸡”祥如意,10,49,16,0,11
美食,71166,茅台镇窖藏酱酒-230种香,7,199,27,0,1
美食,71073,原生有机 丝路红“雪枣”,9,98,9,0,1
美食,70872,老树野生黑枣，小时候的味道,7,14,21,1,6
美食,70920,一杯茶，沏十国风情,8,118,16,0,1
美食,70878,小青柑老白茶,5,39,28,0,2
美食,71010,花生君与瓜子小姐,10,39,29,0,1
美食,71075,怕上火  喝金丝皇菊,6,58,15,5,1
美食,70968,寸村 暖心年节什锦礼盒,9,146,39,0,4
美食,71014,【秋梨膏】秋梨冰糖柴火熬制,5,59,14,0,2
美食,71068,普洱茶界新宠【生晒小青柑】,10,49,17,0,2
美食,70904,来发糖衣炮弹 送给爱你的人,6,58,17,0,1
美食,71039,太极禅普洱让您品尝健康快乐,6,69,14,0,2
美食,71072,晋善晋美收藏酒,5,128,15,0,1
美食,70951,尧之稻，还原稻米最初的味道,7,5,21,1,1
美食,70888,花糯红曲黄酒，好看更好喝,7,98,22,1,1
美食,70548,四川农家腊肠六斤猪肉一斤肠,8,29,19,0,4
美食,70144,中国年——礼应[有鲤],8,69,14,0,1
美食,70521,千年古种--非转基因田埂豆,7,38,25,0,1
美食,70347,奶奶家的豆腐乳,9,18,21,18,4
美食,70746,人头马首席酿酒师特选限量版,3,2000,19,0,1
美食,70705,八享时 每日坚果众筹,5,46,5,0,1
美食,70715,做一粒有信仰的米,5,25,16,3,1
美食,70147,“液体黄金”纯天然亚麻籽油,8,50,9,0,1
美食,70629,品鉴微缩陈仓30年封藏老茶,7,360,44,2,2
美食,70399,XO酱，甄选海洋的味道,7,68,21,0,1
美食,70590,黄袍山茶油众筹,5,150,15,0,1
美食,70627,私人定制茅台镇纯坤天然竹酒,8,69,10,0,6
美食,70810,酿酒师的口粮酒 茅台镇老酒,8,79,10,0,6
美食,70514,来自澳洲的美人牛排,5,139,15,3,1
美食,70550,年味·年猪 宁乡花猪贺新年,9,168,25,6,1
美食,70127,天然溶洞洞酿洞藏酒,15,6,34,5,1
美食,69784,山东三优红富士苹果脆甜上市,6,29,13,0,4
美食,69651,在冬日里回味乡甜-清江椪柑,5,35,20,0,1
美食,70037,金品宣威火腿一头猪只取6斤,9,99,10,0,6
美食,69853,一杯讲真话的普洱茶,10,89,32,0,7
美食,69707,我的茶园，我的大师茶,8,39,6,0,1
美食,70098,源味盒作社之侗族花米饭,5,56,6,0,1
美食,69779,一款值得你珍藏的佳酿,6,128,8,0,2
美食,69888,潮汕牛肉丸—正宗不做作,6,63,14,0,1
美食,69840,醉蚕精致黑桑果酒,5,288,19,4,1
美食,69691,闽南头水紫菜：鲜美珍贵,8,18,18,0,1
美食,69634,北大硕士与他的野生林秋木耳,7,50,6,0,1
美食,70092,杰克丹尼150周年纪念版,7,288,19,1,3
美食,70085,X-Max运动型泡腾片,6,23,24,1,1
美食,69876,吴觉农千家寨百年古树茶,6,108,19,2,1
美食,70096,为您甄选来自世界的优质坚果,8,23,23,0,1
美食,69803,精选葡萄牙55瓶好酒,6,299,19,0,1
美食,69607,陈妍希邀妳做MS漂亮合伙人,16,9,20,0,1
美食,69226,天然氧吧岱崮地貌蜂巢蜜,6,69,15,0,4
美食,69000,长白山·原香榛果,6,49,8,0,1
美食,69111,武夷山茶王争霸赛 获奖茶王,4,2000,13,0,1
美食,69483,百年梁平柚,7,99,21,0,1
美食,69317,做中国人的百宝箱,7,28,29,0,1
