项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
设计,72243,鸿木斋始创海南黄花梨药合香,15,15,12,0,2
设计,74252,可以缓解颈椎疼痛的记忆枕,9,38,27,0,1
设计,74981,纯亚麻定制西装，享臻致生活,6,69,12,5,5
设计,73415,妙不言马桶防溅膜,6,49,13,31,1
设计,74852,吕家窑柴烧-独一无二的紫砂,10,58,57,0,2
设计,73803,真丝令超爽裤,4,158,5,0,1
设计,74777,匠心传承，手工精品紫砂壶,10,188,15,0,1
设计,74836,1秒搭建 超好玩的春游帐篷,20,59,31,0,1
设计,73954,真正原铁 非遗手工铸铁茶壶,14,49,30,0,2
设计,73667,一双黑科技抗污小白鞋,31,149,19,1,3
设计,74844,会变形的电脑椅-黑白调,7,39,21,0,1
设计,74898,坐姿护腰 随时随地久坐不累,8,99,19,6,3
设计,74505,玛萨玛索真银纤维防臭抗菌袜,5,68,20,0,2
设计,73512,五行·天观 收藏级旧瓷茶盏,8,88,15,0,1
设计,74390,让你倍有面的型男智能双肩包,8,45,22,0,1
设计,74489,和田玉石来运转龙凤玉佩,11,20,34,0,1
设计,74773,鼻烟壶的夏天,12,38,20,48,3
设计,74851,匠心说·你与木的故事,9,68,13,0,2
设计,73757,非遗大师，传承龙窑柴烧建盏,10,368,13,0,2
设计,74337,独具匠心：新骏士防刮旅行箱,9,18,11,0,2
设计,73094,如也壶，时尚雅致的紫砂壶,9,48,13,0,4
设计,74570,生活本该优雅，复古固体香水,9,52,12,0,1
设计,74606,“双面人”前后两穿卫衣,8,158,35,0,3
设计,74342," 【锦鸡】潮州生肖手拉壶",7,88,24,0,1
设计,74792,迪士尼钞形金银纪念版,6,199,7,0,1
设计,73987,DC运动多功能双肩包,5,188,23,0,1
设计,73145,幻点椅,4,228,6,0,1
设计,74598,放亮双眼，创新型蒸汽眼罩,6,59,19,0,1
设计,74401,属于你的真正紫砂老料壶,26,199,21,0,2
设计,72242,黄杨木雕佛禅车摆玩偶,10,46,12,0,2
设计,74783,福禄寿喜财窑变釉「五福壶」,10,68,42,0,4
设计,73369,智能儿童学习启蒙触摸熊,6,118,22,0,1
设计,72341,唐卡涂色绘本 尘世静心神器,6,99,29,10,1
设计,72070,潮汕书画艺术馆 山水画众筹,4,5,6,0,1
设计,73993,创意万年历多功能收纳盒,7,48,19,0,2
设计,74046,民国绿-大彬如意-宜兴紫砂,9,128,17,0,3
设计,73958,汝醉|千年汝瓷遇上古法酿酒,5,268,22,3,1
设计,73955,榉木沙滩椅,9,328,25,0,1
设计,73427,传世孤品 千年绝唱荥经黑砂,10,58,19,132,2
设计,73843,能放进口袋的防水超轻背包,7,179,15,0,1
设计,74051,简约棉麻 · 原生态睡眠,4,379,6,0,2
设计,73234,【波·渡】黑檀整木精雕茶盘,7,288,26,0,3
设计,74615,古法•手工制香,8,98,18,0,1
设计,74055,微胶囊智能调温衬衫,5,299,28,0,1
设计,74406,植钰坊一款可以“吃”的面膜,7,78,63,0,1
设计,74008,减压神器·便携硅胶火罐,8,99,15,6,2
设计,73832,宜兴原矿紫砂壶 锤目纹茶器,10,99,20,1,8
设计,73205,多坐坐，这把凳子很方,10,199,31,0,1
