项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
公益,68148,悦读故事--送贫困小学孩子一本书,筹集结束,15000,1290,38,4,15.00,19,39,是,项目结束后60天发送回报,1,6,四川省成都市,2016-01-27 00:00,21081,40,14
公益,68920,聚集大家的力量，修车不再挨宰的时候到啦！,筹集结束,5000,48,10,3,3.00,33,10,是,项目结束后5天发送回报,0,1,NOTFOUND,2016-05-12 00:00,9250,15,61
公益,68657,专属孩子们的流动图书馆,筹集结束,20000,1080,5,4,20.00,19,5,否,项目结束后7天发送回报,2,1,广东省茂名市,2016-05-04 00:00,10664,6,9
公益,68304,六衣计划——为四川省南充市仪陇县孩子送冬衣,筹集结束,5004,12,2,4,6.00,14,2,否,项目结束后30天发送回报,1,1,四川省成都市,2015-12-19 00:00,9675,5,1
公益,66782,“杯”暖人心----大山儿童饮水现状改善计划,筹集成功,3500,5637.9,162,7,5.00,38,167,否,项目结束后3天发送回报,5,1,江西省南昌市,2015-06-19 00:00,69996,147,20
公益,64578,用蓝宝石寻找公益光芒，众筹温暖寒冬麻风村,筹集结束,12000,156,4,6,10.00,28,6,是,项目结束后15天发送回报,1,1,山东省济南市,2015-01-07 00:00,29588,10,10
公益,62922,春晖志愿者，众筹去上海取经啦！,筹集结束,1000,881.8,46,3,60.00,20,46,否,不确定,0,1,NOTFOUND,2014-08-26 00:00,40475,52,29
公益,60215,温暖水杯-学童饮水健康关怀行动,筹集结束,3900,1897.1,19,4,15.00,23,26,否,项目结束后7天发送回报,0,1,NOTFOUND,2014-09-16 00:00,108085,25,87
公益,62096,“惊蛰”图书馆——在山中建一所现代化图书馆,筹集成功,4000,4027,34,9,20.00,28,41,是,项目结束后30天发送回报,6,1,NOTFOUND,2014-08-03 00:00,80061,35,68
公益,60726,帮移植出仓的宇凡宝宝筹集抗排异费！,筹集结束,50000,2300,23,10,0.00,12,24,否,不确定,1,1,NOTFOUND,2014-06-24 00:00,141999,26,453
公益,60297,爱是点滴的汇聚——赞助“上壤塘乡小学”绘本妈妈公益故事馆的倡议,筹集结束,2000,485,8,7,0.00,42,10,是,不确定,1,6,四川省成都市,2014-05-25 00:00,98067,9,77
公益,59990,又是一年春来到，邀你共建蒲公英乡村图书馆 !,筹集成功,69027.34,70227.34,50,7,0.00,42,54,否,不确定,0,1,NOTFOUND,2014-05-18 00:00,202669,50,125
公益,60030,朗格汉斯血液病转成白血病---救救凡淇！一个命运多舛的宝宝！,筹集结束,30000,3060,88,6,0.00,10,89,否,不确定,3,1,NOTFOUND,2014-04-14 00:00,184753,89,5
公益,60004,紧急救助已挺过20小时不间断肿瘤切除手术的豪豪，点亮他“想要活下去”的希望,筹集结束,300000,1240,29,8,0.00,15,31,是,不确定,0,1,NOTFOUND,2014-03-30 00:00,110048,29,NOTFOUND
公益,59676,妈妈去哪儿--给孤儿、单亲家庭孩子送新年礼物（公益“绘本孩子流动图书馆”春节到金堂）,筹集成功,2000,2020,3,6,0.00,18,6,是,不确定,1,6,四川省成都市,2014-02-09 00:00,44593,3,1
公益,59876,一岁重症肺炎宝贝黄浩渴望得到大家爱心资助,筹集结束,300000,1310,12,18,0.00,19,12,否,不确定,0,1,NOTFOUND,2014-04-26 00:00,36582,12,2
公益,59847,拯救患有罕见噬血细胞综合症的2岁宝宝蔡芷轩，给他一个活下去的机会,筹集结束,30000,5020,80,8,0.00,16,90,否,不确定,2,1,NOTFOUND,2014-03-08 00:00,184350,80,1
公益,59821,生命垂危白血病患者汪洪菊：我想活下去，希望得到您的帮助,筹集结束,100000,100,1,5,0.00,15,4,否,不确定,0,1,NOTFOUND,2014-02-18 00:00,33340,1,NOTFOUND
公益,59813,帮助广西重度地中海贫血一岁半婴儿筹备明年5月份手术费用，自筹八万，缺口十二万,筹集结束,50000,4630,133,6,0.00,11,138,否,不确定,0,1,NOTFOUND,2014-04-03 00:00,360437,133,NOTFOUND
公益,59835,挽救噬血细胞综合征患者黄仁君,筹集结束,30000,550,8,5,0.00,23,10,否,不确定,0,1,NOTFOUND,2013-12-30 00:00,46194,8,1
公益,59791,10月大婴儿5进重症室，90后父母为救儿子愿付出一切,筹集结束,80000,1600,20,8,0.00,26,21,否,不确定,0,1,NOTFOUND,2014-01-16 00:00,273881,21,2
公益,59774,拯救6个月小涵涵，让她拥有活下去的机会,筹集成功,200000,242448.35,164,6,0.00,15,188,否,不确定,1,1,NOTFOUND,2014-01-30 00:00,260558,169,14
公益,59769,救助白血病藏族小少年——贡呷邓珠,筹集结束,100000,80000,343,7,0.00,19,345,否,不确定,0,1,NOTFOUND,2014-01-07 00:00,139773,343,2
公益,59739,支持8岁小女孩莫艳媚， 让患白血病的小艳媚活下去,筹集成功,100000,100000,757,5,0.00,19,760,否,不确定,0,1,NOTFOUND,2013-12-29 00:00,224673,758,1
公益,59666,中国劳务输出第一县的留守儿童完成2014年的382个心愿,筹集成功,9999,10110,42,7,0.00,27,55,否,项目结束后30天发送回报,1,6,四川省成都市,2013-12-30 00:00,279992,42,2
