项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
其他,69218,零元中国行——“有些事情现在不做，一辈子都不会做了”,筹集成功,5000,5000,45,5,10.00,32,47,是,项目结束后15天发送回报,3,1,广东省广州市,2016-09-04 00:00,158317,49,170
其他,69185,目恬C型蒸汽眼罩：给双眼一次静谧的旅行,筹集成功,5000,5058,33,4,19.80,27,36,否,项目结束后15天发送回报,0,1,NOTFOUND,2016-07-15 00:00,133924,37,112
其他,68230,营养领域20年的累积，她用所有报答生活,筹集结束,50000,1712,23,6,168.00,34,24,是,项目结束后15天发送回报,1,1,上海市市辖区,2016-01-07 00:00,222620,42,184
其他,67791,青春燃烧——东南大学力魔车队,筹集成功,20750,32667.8,22,7,9.00,21,27,否,项目结束后10天发送回报,2,1,江苏省南京市,2015-09-22 00:00,69938,41,85
其他,67599,START·V立营进阶工作坊——益启行,筹集成功,2406,3785,93,6,5.00,22,95,否,项目结束后30天发送回报,0,1,广东省广州市,2015-08-25 00:00,29128,100,6
其他,67841,把电影院搬回家，真正的私人家庭影院！,筹集结束,100000,11000,2,5,10.00,24,2,否,项目结束后90天发送回报,3,1,江苏省无锡市,2015-11-05 00:00,18389,13,38
其他,69130,“大漠之路”穿越三大无人区——南疆旅拍招募梦想者,筹集成功,35000,35299,26,6,100.00,16,27,否,项目结束后60天发送回报,0,1,NOTFOUND,2016-07-05 00:00,73217,20,50
其他,69084,艺术与实用的完美融合--正宗西北农家传统手工刺绣荞皮枕芯,筹集结束,2000,0,0,5,99.00,20,0,否,项目结束后7天发送回报,0,4,NOTFOUND,2016-06-17 00:00,8642,1,2
其他,68759,青山绿水间 听牛语,筹集结束,200000,0,0,5,100.00,18,0,否,项目结束后60天发送回报,0,1,辽宁省锦州市,2016-04-08 00:00,10140,2,12
其他,67876,游创艺术照，一个不一样的艺术照相馆,筹集结束,100000,0,0,6,10.00,19,0,否,项目结束后15天发送回报,0,1,山东省青岛市,2015-10-01 00:00,10267,NOTFOUND,NOTFOUND
其他,67468,帝鼠OS物联网营销系统,筹集结束,15031,0,0,3,9.90,16,0,否,项目结束后60天发送回报,0,1,浙江省杭州市,2015-10-12 00:00,11231,2,2
其他,67554,朝圣西藏，寻佛之旅,筹集结束,45000,0,0,7,30.00,33,0,否,项目结束后30天发送回报,0,1,NOTFOUND,2015-09-04 00:00,11358,1,2
其他,67411,因为有你，所以吾行 - 杭州吾行画室,筹集结束,150000,225,12,6,20.00,52,12,否,项目结束后1天发送回报,1,1,浙江省杭州市,2015-09-16 00:00,16698,14,NOTFOUND
其他,67191,90后创业者的环游中国梦,筹集成功,2000,2008,32,4,30.00,59,33,否,项目结束后60天发送回报,0,1,上海市市辖区,2015-08-11 00:00,19930,34,3
