项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
出版,68086,读书 or 玩手机电脑？《图说媒介故事》让您孩子正确使用媒介,筹集结束,20000,3620,23,7,8.00,10,24,否,不确定,0,1,广东省广州市,2015-12-18 00:00,19857,27,10
出版,69063,长篇小说《女囚》众筹出版,筹集结束,20000,300,6,3,50.00,10,6,否,不确定,1,1,山西省晋中市,2016-07-25 00:00,12756,7,6
出版,68532,文学的力量,筹集成功,10000,10240,176,8,5.00,13,186,否,不确定,2,1,北京市,2016-03-12 00:00,36733,126,53
出版,68314,《琅琊榜》手绘明信片,筹集结束,2000,0,0,2,5.00,12,0,否,项目结束后30天发送回报,0,1,湖北省武汉市,2016-01-07 00:00,9536,2,1
出版,68223,赫赫始祖何处寻 百家姓氏立东方《中华家文化系列丛书》众筹首发,筹集结束,60000,76,2,6,18.00,15,2,否,项目结束后30天发送回报,0,1,北京市市辖区,2016-01-10 00:00,11246,8,5
出版,68101,跨越15个省15000里，留下你最美的150个记忆，我们等你,筹集成功,18000,18101.1,153,6,29.90,45,165,是,项目结束后99天发送回报,2,1,NOTFOUND,2015-12-13 00:00,71365,133,102
出版,65922,《风轻云淡》出版预售众筹—80、90后的青春主旋律,筹集结束,10000,0,0,5,36.00,17,3,否,项目结束后50天发送回报,0,1,湖北省武汉市,2015-05-30 00:00,15366,3,2
出版,65762,脑洞大开：“青少年大百科微阅读”系列丛书众筹出版,筹集成功,10000,10135,40,10,15.00,31,45,否,项目结束后45天发送回报,0,1,北京市市辖区,2015-05-22 00:00,72362,54,110
出版,63942,宇宙益智拼图—科幻小说《宇宙通鉴》周边“神奇的地图”,筹集结束,3000,172,4,7,39.00,22,4,否,项目结束后6天发送回报,2,1,NOTFOUND,2014-12-05 00:00,20429,11,19
出版,63993,【你来写历史】让历史活起来，跟历史名家余世存老师一起出书！,筹集结束,20000,152,8,7,10.00,26,19,否,项目结束后60天发送回报,0,1,NOTFOUND,2015-02-03 00:00,105132,12,38
