项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
动漫,68693,天津悦丰第七届ACG动漫嘉年华（谜之夏日祭）,筹集成功,3000,3118,13,9,2.00,24,15,否,项目结束后10天发送回报,0,1,天津市市辖区,2016-04-02 00:00,51087,34,126
动漫,68998,3D动画电影《第九只兔子之冒险岛》-梦想不在远方,筹集结束,200000,0,0,6,10.00,13,1,否,项目结束后60天发送回报,0,1,广东省广州市,2016-07-02 00:00,7779,1,NOTFOUND
动漫,68868,撮合一段姻缘，续梦国产动漫,筹集结束,10000,4768.42,72,6,6.00,16,77,是,项目结束后20天发送回报,0,1,NOTFOUND,2016-05-01 00:00,101918,67,267
动漫,68793,首届杭州宅电舍动漫文化展,筹集成功,3000,3000,29,6,2.00,15,30,否,项目结束后3天发送回报,0,1,浙江省杭州市,2016-04-01 00:00,10039,18,16
动漫,68116,NOTFOUND,筹集结束,3999,380,8,5,39.00,29,8,否,项目结束后15天发送回报,1,1,上海市市辖区,2015-12-12 00:00,11940,9,10
动漫,68054,新蜂动漫嘉年华,筹集结束,20000,0,0,7,3.00,10,0,否,项目结束后10天发送回报,0,1,山东省淄博市,2015-12-22 00:00,9472,2,10
动漫,65774,梨小八，原创动漫主题产品开发,筹集结束,8888,0,0,4,10.00,28,1,否,项目结束后45天发送回报,0,1,安徽省滁州市,2015-05-22 00:00,13053,3,3
动漫,65677,金陵十二衩·萌萌的明信片,筹集结束,5000,45,4,3,15.00,26,5,否,项目结束后30天发送回报,1,1,NOTFOUND,2015-05-11 00:00,14922,8,15
动漫,64739,3D打印，彩绘趣味串珠手串饰品,筹集结束,5000,0,0,4,150.00,27,1,否,不确定,1,2,吉林省长春市,2015-01-24 00:00,16211,8,9
动漫,63945,创意彩绘葫芦，原创设计，可以玩游戏的葫芦,筹集结束,5000,60,1,10,28.00,36,2,否,项目结束后30天发送回报,1,2,吉林省长春市,2014-12-25 00:00,19325,5,19
动漫,63460,设计师蒙子：为成立软陶真人公仔设计工作室，我需要更专业的学习,筹集结束,6000,0,0,5,50.00,31,1,否,项目结束后100天发送回报,0,1,NOTFOUND,2014-12-14 00:00,25716,6,15
动漫,63613,【插画师】黑眸——新手妈妈创业，为梦想而坚持,筹集结束,1500,353,4,6,24.00,19,4,否,项目结束后5天发送回报,0,1,NOTFOUND,2014-12-21 00:00,19653,8,11
动漫,63138,《跑酷青岛》----青岛味儿十足的跑酷！,筹集结束,100000,10,1,7,10.00,41,3,是,项目结束后20天发送回报,0,3,NOTFOUND,2014-10-16 00:00,61847,8,61
动漫,62578,上海美影经典动漫大电影地铁卡纪念册限量众筹,筹集成功,10000,11734,35,6,10.00,26,44,是,项目结束后15天发送回报,0,1,NOTFOUND,2014-09-18 00:00,227125,43,738
