项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
影视,68747,毕业电影Xylaria，和伦敦艺术大学学生们一起感受父女之爱,筹集成功,10000,41000,102,6,100.00,20,104,是,项目结束后50天发送回报,0,1,NOTFOUND,2016-04-12 00:00,182312,103,306
影视,68027,中国第一档深度体育文化节目——说个球,筹集结束,20000,0,0,4,100.00,10,0,是,项目结束后30天发送回报,0,1,NOTFOUND,2016-01-20 00:00,13788,1,3
影视,68147,《30&#39;s，环球影像》，寻求深度合作,筹集成功,800000,3021000,69,3,1000.00,9,69,否,不确定,0,1,NOTFOUND,2015-11-28 00:00,25140,78,1
影视,67962,青春表“白”,筹集结束,6000,0,0,4,10.00,12,0,否,项目结束后40天发送回报,0,1,NOTFOUND,2015-11-08 00:00,8567,NOTFOUND,2
影视,67786,上海戏剧学院-微电影《用一支舞的时间，想你》,筹集结束,5000,100,2,4,50.00,13,2,否,项目结束后20天发送回报,1,1,上海市市辖区,2015-09-30 00:00,77264,6,137
影视,66637,你我皆行者，传递你的正能量！,筹集结束,5000,339,12,5,2.00,24,15,是,项目结束后60天发送回报,0,1,广西壮族自治区河池市,2015-07-20 00:00,17948,43,21
影视,65589,首部金融微电影--SAIF魔戒,筹集成功,30000,31194.88,93,10,30.00,31,95,是,项目结束后20天发送回报,14,1,上海市,2015-03-26 00:00,41480,94,28
影视,65182,中国化石之旅 ——吐鲁番沙漠里的超级鄯善龙,筹集结束,150000,0,0,8,100.00,18,0,否,不确定,0,1,NOTFOUND,2015-03-30 00:00,14275,NOTFOUND,1
影视,64382,电影《灰色记忆》首映礼,筹集结束,20000,0,0,4,20.00,22,1,是,不确定,1,2,北京市市辖区,2015-01-06 00:00,17548,4,38
影视,62679,拼搏成就梦想，草根创业励志微电影《追日者的中国梦》,筹集结束,100000,20816,23,8,25.00,15,28,是,项目结束后50天发送回报,1,2,NOTFOUND,2015-01-26 00:00,27602,30,45
影视,63252,向单身说再见，再也不要当光棍。,筹集结束,20000,1700,6,10,2.00,29,23,是,项目结束后30天发送回报,3,1,NOTFOUND,2014-11-14 00:00,343180,81,564
影视,62949,美丽中文 ：1000个汉字的演变故事,筹集结束,8000,90,5,6,10.00,28,8,是,项目结束后50天发送回报,0,1,NOTFOUND,2014-09-28 00:00,194170,8,179
影视,62819,《爱在擎天》沪上MBA青涩爱情微电影,筹集成功,5000,6548,52,5,30.00,41,68,是,项目结束后30天发送回报,0,1,NOTFOUND,2014-09-29 00:00,118774,56,96
影视,62800,好莱坞风格动作喜剧短片《血色盗窃》,筹集成功,20000,21215,12,10,5.00,22,20,是,不确定,0,1,NOTFOUND,2014-09-12 00:00,187814,14,192
影视,62636,全民体验式个人微电影影像馆，每个人都可以当电影主角,筹集结束,30000,398,1,6,98.00,23,2,是,项目结束后30天发送回报,0,1,NOTFOUND,2014-10-03 00:00,134299,4,144
影视,62144,和孩子们一起拍摄校园生活电影，共同完成农村孩子演员梦！,筹集结束,5000,520,3,6,10.00,11,6,是,项目结束后90天发送回报,0,1,NOTFOUND,2014-08-29 00:00,27796,4,20
影视,62091,行走的力量——我要将梦想照进现实——打破枷锁,筹集结束,5000,935,24,6,11.00,16,25,否,项目结束后60天发送回报,0,1,NOTFOUND,2014-07-26 00:00,102480,25,119
影视,61993,NOTFOUND,筹集成功,150000,238049.88,513,6,9.00,17,545,否,项目结束后30天发送回报,1,1,NOTFOUND,2014-07-30 00:00,549479,522,484
影视,61607,校园青春励志剧微电影《奔跑》,筹集结束,32000,0,0,3,100.00,12,3,是,不确定,0,1,NOTFOUND,2014-06-24 00:00,26019,NOTFOUND,4
影视,61406,《拍客传奇》，自传式微电影，我是如何成为一名拍客的,筹集结束,20000,334,11,5,59.00,13,12,是,项目结束后30天发送回报,0,3,NOTFOUND,2014-06-18 00:00,51789,11,65
影视,61379,《失恋漫游记》——治愈系微电影,筹集成功,1200,1468.6,16,4,9.80,13,18,是,项目结束后30天发送回报,0,1,NOTFOUND,2014-06-10 00:00,67650,17,83
影视,61244,微电影《心界》,筹集成功,1200,1645,51,2,0.00,18,54,是,不确定,1,1,NOTFOUND,2014-07-11 00:00,134144,51,143
影视,61196,互动型网络民俗节目,筹集结束,14000,20,2,4,0.00,11,2,否,不确定,0,1,NOTFOUND,2014-07-17 00:00,151786,2,227
影视,60919,初中辍学打工拍客电影梦,筹集结束,25000,0,0,6,0.00,12,2,是,项目结束后30天发送回报,0,3,NOTFOUND,2014-06-21 00:00,93721,NOTFOUND,215
影视,60209,青春励志微电影《藏族女孩梦的地方》,筹集结束,38670,0,0,4,0.00,23,0,是,不确定,0,1,NOTFOUND,2014-05-17 00:00,26572,NOTFOUND,19
影视,60205,新媒体电影《试爱》,筹集结束,30000,70,3,5,0.00,14,23,否,项目结束后60天发送回报,1,2,北京市市辖区,2014-05-11 00:00,41444,4,28
影视,59956,《跟着老爹学做饭》视频,筹集结束,100000,850,6,4,0.00,10,14,是,项目结束后98天发送回报,0,1,NOTFOUND,2014-02-26 00:00,137899,7,NOTFOUND
影视,59877,北京电影学院学生筹拍微电影《散打》（毕业作品）,筹集结束,10000,1160,14,4,0.00,12,16,是,项目结束后0天发送回报,0,1,NOTFOUND,2014-02-26 00:00,88911,14,1
影视,59915,东方一鸣搞笑脱口秀第二季作品,筹集结束,8000,120,1,3,0.00,11,1,是,项目结束后18天发送回报,0,1,NOTFOUND,2014-01-22 00:00,22564,1,NOTFOUND
影视,59893,国内首部跨境反传销微电影《我的传销之旅》,筹集结束,20000,3811,30,4,0.00,19,34,是,项目结束后50天发送回报,0,1,NOTFOUND,2014-03-03 00:00,114430,33,11
影视,59864,筹拍一部关于人性救赎的微电影——《人质》,筹集结束,15000,170,8,9,0.00,13,10,是,项目结束后65天发送回报,1,1,NOTFOUND,2014-02-23 00:00,384630,8,5
影视,59856,24小时微电影计划,筹集结束,60000,320,2,3,0.00,16,4,是,不确定,0,1,NOTFOUND,2014-04-22 00:00,140226,2,5
影视,59693,拍摄现实题材微电影《牵狗的女人》,筹集结束,30000,1100,2,3,0.00,11,2,否,项目结束后100天发送回报,1,1,NOTFOUND,2013-12-28 00:00,29157,2,6
