项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
活动,69224,金泫雅粉丝见面会【广州站】,筹集成功,100000,100090,84,9,45.00,22,88,是,项目结束后30天发送回报,0,1,北京市市辖区,2016-07-16 00:00,613612,129,714
活动,68940,与你相约盛夏——为乐公益“500Hz团队”暑期乡村夏令营,筹集成功,1200,1505,69,5,10.00,24,74,是,项目结束后14天发送回报,0,1,四川省雅安市,2016-06-11 00:00,34926,77,41
活动,68681,十八分钟，让你看见另一个世界,筹集成功,5000,6918,72,5,29.00,18,81,否,项目结束后10天发送回报,0,1,江西省赣州市,2016-03-05 00:00,52085,86,25
活动,62748,为贫困儿童送上一本书，建立一个图书馆,筹集成功,15000,18240,9,4,15.00,24,16,否,项目结束后60天发送回报,1,6,四川省成都市,2015-09-27 00:00,29408,17,28
活动,67517,【TeaMore】一个以宣传茶文化为宗旨的公益性组织,筹集成功,7000,7836,24,5,39.00,15,26,否,项目结束后30天发送回报,0,1,浙江省杭州市,2015-09-02 00:00,33173,32,19
活动,67099,App推广框架知识培训以及顾问服务众筹,筹集成功,5000,49119.88,157,3,100.00,13,158,否,不确定,0,1,NOTFOUND,2015-07-18 00:00,225020,231,192
活动,67078,尼泊尔音乐行动：音乐公益是我们的信仰,筹集成功,40000,40121.19,199,6,2.00,19,203,否,项目结束后30天发送回报,0,1,广东省广州市,2015-08-08 00:00,74570,190,78
活动,69115,龙游凯马国际学校校刊《一树花开》众筹,筹集成功,20000,20167,165,4,10.00,24,165,否,项目结束后10天发送回报,17,1,浙江省衢州市,2016-07-02 00:00,44520,131,37
活动,69104,华南小虎，嗷嗷待哺；华南理工，必定成功！,筹集成功,20000,24202.99,232,4,50.00,25,236,否,项目结束后10天发送回报,0,2,广东省广州市,2016-06-22 00:00,29252,231,28
活动,69073,大地野食 │我想和你一起在土地上体验四季的变化,筹集结束,10000,150,3,5,50.00,31,3,是,项目结束后15天发送回报,0,1,上海市市辖区,2016-07-03 00:00,20234,10,20
活动,69036,萌到爆的鸭星人来袭！,筹集结束,60000,0,0,4,30.00,16,0,否,不确定,0,1,上海市市辖区,2016-06-21 00:00,9523,NOTFOUND,NOTFOUND
活动,68981,华南虎啸，踏平沙暴！,筹集成功,10000,10400,67,4,50.00,36,69,是,项目结束后10天发送回报,0,2,广东省广州市,2016-05-02 00:00,12886,64,12
活动,68978,百廿交大 情聚亚沙-上海交大“安泰思源”出征腾格里沙漠,筹集成功,30000,30026.89,233,2,20.00,17,237,是,不确定,0,1,NOTFOUND,2016-05-06 00:00,28590,231,33
活动,68842,东华飞鹰 逐梦沙五,筹集成功,10000,10016,68,6,50.00,21,71,是,项目结束后60天发送回报,0,1,上海市市辖区,2016-05-01 00:00,19893,65,22
活动,68829,【无关距离和时间】送车票给异地恋的情侣们，让爱情如影随形,筹集结束,2000,0,0,5,10.00,17,0,否,项目结束后25天发送回报,0,1,江苏省淮安市,2016-04-27 00:00,7585,6,9
活动,68836,寻找最美毕业季,筹集结束,30000,100,1,4,100.00,22,2,是,项目结束后30天发送回报,2,1,上海市市辖区,2016-04-23 00:00,8768,3,3
活动,68666,浦外电音节——我们想让更多人了解电子音乐，并与我们一同热爱！,筹集成功,2000,3218.82,58,5,10.00,12,60,否,不确定,0,1,上海市市辖区,2016-03-02 00:00,20214,69,29
活动,67424,2万公里的远征，骑行欧亚大陆,筹集成功,50000,50108.92,88,6,49.00,39,95,是,项目结束后15天发送回报,3,1,安徽省合肥市,2016-03-29 00:00,65046,90,57
活动,68433,把自然带回家，留住心中的童话,筹集结束,10000,298,6,5,10.00,21,11,否,项目结束后20天发送回报,0,1,江苏省连云港市,2016-02-12 00:00,13678,25,28
