项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
游戏,69023,"90后的传奇,80后的旧忆",筹集结束,66666,12950,15,7,50.00,27,17,是,项目结束后3天发送回报,0,1,浙江省温州市,2016-06-01 00:00,104085,30,300
游戏,68429,甜心蛋糕手机APP------我们的目标是做走向世界的小游戏,筹集结束,5000,31,2,5,5.00,21,5,否,项目结束后7天发送回报,0,1,广东省中山市,2016-03-12 00:00,14274,8,3
游戏,67988,《异境传说》日系二次元动作卡牌游戏——艾诺尔物语,筹集结束,20000,0,0,8,10.00,11,0,否,项目结束后30天发送回报,0,1,NOTFOUND,2015-11-28 00:00,11991,3,NOTFOUND
游戏,66504,乱世造武魂，成就你的英雄梦！,筹集结束,6000,0,0,5,50.00,14,1,是,项目结束后5天发送回报,0,1,NOTFOUND,2015-06-24 00:00,11593,NOTFOUND,2
游戏,63395,中国首款两人联网闯关飞行射击游戏——《雷电雄鹰》,筹集结束,20000,0,0,4,8.00,13,3,是,不确定,0,2,NOTFOUND,2014-11-29 00:00,32544,2,12
游戏,63289,NOTFOUND,筹集结束,500000,105038.3,1924,5,9.90,20,1960,是,项目结束后50天发送回报,0,1,NOTFOUND,2014-11-23 00:00,366628,2515,745
游戏,63183,《三国志style》---水墨风热血三国,筹集结束,100000,40,2,5,20.00,14,2,是,项目结束后20天发送回报,0,3,NOTFOUND,2014-10-21 00:00,50061,3,47
游戏,63104,NOTFOUND,筹集成功,1000000,1036056,8056,8,0.00,11,0,是,不确定,0,1,NOTFOUND,2014-09-30 00:00,1402625,8484,4477
游戏,62877,从学渣到创业者！屌炸天手游《战术大师》，向《英雄无敌》致敬,筹集结束,50000,846,18,10,10.00,28,21,是,项目结束后60天发送回报,0,1,NOTFOUND,2014-10-28 00:00,196331,19,140
游戏,62045,百日众筹，分享荣誉——《共和国之辉》作者邀您共圆梦想,筹集结束,600000,15458.06,19,7,20.00,16,22,否,项目结束后120天发送回报,1,1,NOTFOUND,2014-11-02 00:00,76502,20,98
游戏,62132,星球探险家贴吧服务器租赁筹资,筹集成功,600,1355,30,4,10.00,26,36,是,不确定,2,1,北京市市辖区,2014-08-09 00:00,82934,34,28
游戏,61066,创新手游《斗地主赢房姐》最后冲刺！,筹集结束,60000,0,0,4,0.00,11,1,否,项目结束后30天发送回报,0,2,NOTFOUND,2014-07-13 00:00,46793,3,59
游戏,59744,html5 MMRPG 多人在线游戏,筹集结束,5000,50,1,1,0.00,11,2,否,不确定,0,1,NOTFOUND,2014-03-15 00:00,45689,2,1
