项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
科技,67787,大江东去浪淘尽，数风流人物，谁还不用“智救宝”！！！,筹集结束,6000,1091,13,4,388.00,13,13,否,项目结束后10天发送回报,1,1,上海市市辖区,2016-01-31 00:00,81232,20,77
科技,69183,死磕细节 做一款会智能断电的移动电源,筹集结束,1500,0,0,4,88.00,14,0,否,项目结束后30天发送回报,0,1,浙江省绍兴市,2016-07-16 00:00,10404,3,9
科技,69059,听力宝听力检测仪,筹集成功,10000,10137,64,3,99.00,18,70,否,项目结束后15天发送回报,0,1,湖北省武汉市,2016-07-12 00:00,74694,73,29
科技,68678,无论会不会画画，都可以做动画,筹集结束,90000,76,4,6,25.00,18,4,是,不确定,0,1,黑龙江省哈尔滨市,2016-04-16 00:00,29615,11,6
科技,68254,科灵智洁淋浴舱,筹集结束,500000,0,0,9,299.00,32,0,否,项目结束后30天发送回报,0,1,NOTFOUND,2015-12-25 00:00,9246,4,5
科技,68263,帮帮账——中小企业财税服务一站式管家,筹集结束,100000,198,3,5,99.00,18,3,是,不确定,0,1,上海市,2016-01-07 00:00,10629,8,4
科技,68219,魔幻数据线，集畅连键盘鼠标游戏柄相机打印机手机互充存储于一身,筹集结束,5000,58,1,5,58.00,31,2,否,项目结束后30天发送回报,0,1,NOTFOUND,2015-12-31 00:00,10123,3,4
科技,68111,分体式电动滑板（豪豪迈创新电动滑板）,筹集结束,10000,153,22,4,2199.00,29,22,是,项目结束后30天发送回报,0,1,NOTFOUND,2015-11-27 00:00,13002,21,3
科技,62862,开放农场——植物成长指南，以植物为基础的分享型社区,筹集成功,1000000,1165000,168,2,5000.00,11,168,否,项目结束后50天发送回报,0,1,NOTFOUND,2015-11-26 00:00,45830,171,8
科技,68100,airbaby电视宝宝-引爆您的电视未来,筹集结束,100000,0,0,6,169.00,36,0,否,项目结束后30天发送回报,0,1,四川省成都市,2015-12-05 00:00,9511,3,9
科技,67741,股视,筹集结束,2000000,415,18,5,199.00,12,18,否,不确定,0,1,四川省成都市,2015-12-29 00:00,19965,14,9
科技,67510,小M指纹识别智能手环,筹集结束,300000,0,0,9,399.00,30,0,否,项目结束后30天发送回报,0,1,NOTFOUND,2015-09-11 00:00,10505,3,3
科技,67324,3D食品打印机——美食创客的新玩具,筹集结束,100000,0,0,4,1599.00,16,0,是,项目结束后30天发送回报,0,1,湖北省武汉市,2015-08-29 00:00,44314,14,42
科技,66391,DIT智能物联空气净化器,筹集结束,50000,1,1,3,1499.00,20,1,否,项目结束后30天发送回报,0,1,北京市市辖区,2015-09-06 00:00,10996,1,1
科技,67038,领欧智能家庭安全卫士,筹集结束,20000,3807,20,9,59.00,40,27,否,项目结束后30天发送回报,0,1,上海市市辖区,2015-08-29 00:00,92907,38,152
科技,66108,一款可以DIY多功能蓝牙耳机,筹集结束,1000,129,1,4,129.00,17,2,否,项目结束后10天发送回报,1,2,广东省深圳市,2015-06-29 00:00,40702,14,19
科技,66753,斯迈特便携式多功能灭蚊器,筹集结束,500000,0,1,4,398.00,8,2,否,项目结束后15天发送回报,0,1,NOTFOUND,2015-07-29 00:00,11959,5,NOTFOUND
科技,66742,智能盆栽：你的家庭农场 中学生创业项目,筹集成功,2999,3228,56,4,19.00,19,58,是,项目结束后30天发送回报,1,1,NOTFOUND,2015-06-23 00:00,32852,69,11
科技,65697,库房物流管理系统——物联网智能时代的选择,筹集结束,2000000,162,6,5,27.00,26,8,否,项目结束后90天发送回报,0,1,广东省中山市,2015-07-10 00:00,16840,21,638
科技,66216,Edo教育套件 让中小学生培养创新精神 创造未来,筹集结束,1000000,0,0,4,100.00,13,0,否,项目结束后90天发送回报,0,1,北京市,2015-07-10 00:00,12099,6,5
科技,66031,Vonate——中学生创业公益项目,筹集成功,999,2035,26,4,9.00,16,29,否,项目结束后30天发送回报,0,1,NOTFOUND,2015-06-28 00:00,39325,56,34
科技,65996,可图形编程的LCM,筹集结束,100000,0,0,3,100.00,14,1,否,项目结束后90天发送回报,0,1,NOTFOUND,2015-06-23 00:00,13126,1,1
科技,65415,声色HiFi水晶透明蓝牙4.0音箱，手工锻造！奢华极品！,筹集结束,3000,59,1,4,59.00,18,2,否,项目结束后20天发送回报,0,1,广东省深圳市,2015-05-20 00:00,14427,8,2
科技,65917,达龙云电脑——为自由而生,筹集成功,20000,20469,186,9,29.00,31,202,否,项目结束后45天发送回报,1,1,上海市市辖区,2015-05-23 00:00,172641,384,245
科技,65653,好人App：观看广告将成为一种公益,筹集结束,20000,415,12,5,2.00,24,18,否,项目结束后15天发送回报,0,1,上海市市辖区,2015-05-22 00:00,36027,23,35
科技,65233,让乐高动起来—凶悍的暴龙复活了！,筹集结束,30000,17949,183,7,9.00,26,185,是,项目结束后40天发送回报,0,1,广东省广州市,2015-03-24 00:00,61203,111,83
科技,65309,NOTFOUND,筹集成功,100000,6326945,2555,8,1999.00,25,2560,否,项目结束后15天发送回报,0,1,上海市市辖区,2015-03-26 00:00,1229285,3785,860
科技,65285,菲星智能行车记录导航仪终端,筹集结束,5000,0,0,3,699.00,22,0,否,项目结束后25天发送回报,0,1,NOTFOUND,2015-03-07 00:00,15858,6,3
科技,65243,北斗平安校园卡，为孩子保驾护航！,筹集结束,50000,726,11,4,10.00,26,18,是,项目结束后35天发送回报,5,1,广东省惠州市,2015-03-22 00:00,144756,39,104
科技,65256,股票池全析,筹集结束,5000,698,6,2,58.00,14,19,否,不确定,0,1,上海市市辖区,2015-04-05 00:00,21943,17,50
科技,64976,暴表——送给父母最好的礼物！,筹集成功,500000,593951.86,139,5,488.00,30,170,否,项目结束后90天发送回报,2,1,NOTFOUND,2015-05-03 00:00,280557,219,238
科技,64956,全宅手机控：智能家居系统整体输出，只为提升您的生活品质！,筹集结束,100000,36,8,8,10.00,33,17,是,不确定,2,1,广东省广州市,2015-03-15 00:00,44964,13,26
科技,65153,【炒股产品从未如此贴心】股票云提醒手机APP,筹集成功,3000,4396,14,5,39.00,11,41,否,不确定,0,1,NOTFOUND,2015-03-29 00:00,85241,51,35
科技,65006,智能防溺监测系统臂环,筹集结束,100000,0,0,5,699.00,16,0,是,项目结束后30天发送回报,0,1,NOTFOUND,2015-02-20 00:00,15260,4,10
科技,64821,金丝燕三角洲3D打印机——为创意生活而生,筹集成功,50000,74967.8,66,6,10.00,42,88,是,项目结束后20天发送回报,0,1,山东省东营市,2015-01-30 00:00,264670,97,161
科技,64809,速立方3D打印机-创造成就梦想,筹集结束,100000,3699,1,4,69.00,23,2,否,项目结束后30天发送回报,0,1,浙江省金华市,2015-02-17 00:00,17652,13,4
科技,64602,90°直角科技-全球首款蓝牙温控智能羽绒服,筹集结束,200000,4,4,4,398.00,24,7,否,项目结束后30天发送回报,0,1,上海市,2015-02-12 00:00,20699,21,7
科技,64699,车用应急工具套装——更周到的保护 更唯美的设计 更全面的功能,筹集结束,200000,1636,35,8,10.00,26,36,否,项目结束后60天发送回报,0,1,广东省深圳市,2015-02-12 00:00,516114,73,194
科技,63534,释云GPS定位卡：把卫星装进口袋，贴身保护儿童安全!,筹集结束,500000,17033.56,334,9,299.00,33,376,是,项目结束后30天发送回报,0,2,NOTFOUND,2015-02-20 00:00,585855,102,142
科技,64337,FansCo（智能手环）闪，每一次闪动，只为了更好地提醒,筹集结束,20000,468,24,7,39.00,16,30,否,项目结束后10天发送回报,1,1,北京市市辖区,2015-02-02 00:00,31191,31,38
科技,64568,Coaster 智能杯垫,筹集结束,10000,2387,13,4,179.00,31,20,否,项目结束后30天发送回报,0,1,上海市市辖区,2015-01-10 00:00,296301,43,153
科技,64548,卫生间流水声模拟装置,筹集结束,15000,0,1,1,47.00,13,1,否,项目结束后60天发送回报,0,1,广东省深圳市,2015-02-07 00:00,16882,2,4
科技,64549,全球首款水上娱乐飞机,筹集成功,5000000,10472000,289,7,1000.00,13,298,否,不确定,0,1,上海市市辖区,2015-02-06 00:00,659553,453,732
科技,64413," 宜家安智能药盒 — 最智能的电子药盒，最贴心的服药管家",筹集结束,10000,396,4,5,99.00,21,9,否,项目结束后45天发送回报,0,1,重庆市市辖区,2015-01-21 00:00,66735,18,50
科技,64259,第三代鼠标：三维控制鼠标   玩三维游戏的神器！,筹集结束,300000,622,21,4,2.00,24,23,否,项目结束后90天发送回报,0,1,广东省深圳市,2015-02-26 00:00,24557,35,44
科技,63046,NOTFOUND,筹集成功,125,640.6,120,9,2.00,23,124,否,项目结束后30天发送回报,7,4,上海市市辖区,2014-12-10 00:00,155019,158,284
科技,64264,过年带回家的父母用药介护机器人,筹集成功,20000,978439,191,6,266.00,22,297,否,项目结束后20天发送回报,2,1,北京市市辖区,2015-01-21 00:00,413722,233,266
科技,63608,sensc纯手工锻造HIFI2.0高品质桌面音响剔透水晶质感,筹集成功,999,3439,11,3,299.00,19,41,否,项目结束后15天发送回报,1,2,广东省深圳市,2014-12-27 00:00,235038,75,184
科技,62907,智慧沙袋－动作智能打分｜最好的户外力量训练设备｜减肥神器,筹集成功,5000,5031,16,4,249.00,21,18,是,项目结束后30天发送回报,0,1,NOTFOUND,2014-11-24 00:00,27057,16,13
科技,63892,阿拉丁神灯，换你心愿！,筹集结束,10000,0,1,4,35.00,29,6,否,项目结束后7天发送回报,0,1,NOTFOUND,2014-11-28 00:00,27543,10,17
科技,63628,颠覆传统鼠标！三主键人机工学创新鼠标，卓越设计，舒适体验,筹集结束,70000,3599,51,12,2.00,29,73,否,项目结束后45天发送回报,1,1,NOTFOUND,2014-12-06 00:00,299340,99,216
科技,63518,PAI智能健康追踪器2代——全球最性感的配饰,筹集成功,5000,5133,18,4,169.00,38,35,是,项目结束后7天发送回报,1,1,NOTFOUND,2014-11-24 00:00,222801,78,135
科技,63323,释云GPS定位卡：专业定位，贴身保护儿童安全,筹集成功,10000,19556,145,6,99.00,34,256,否,项目结束后30天发送回报,0,2,NOTFOUND,2014-11-27 00:00,710881,326,292
科技,63263,土豆，为你爱的音乐不断续杯,筹集结束,10000,222,20,5,28.00,34,33,否,不确定,0,1,NOTFOUND,2014-11-17 00:00,182299,232,93
科技,63177,超级智能腕表 让你的生活炫酷起来,筹集结束,5000,0,0,4,369.00,40,4,是,项目结束后10天发送回报,0,1,NOTFOUND,2014-10-12 00:00,22561,20,12
科技,62962,LBSocial-乐标社交，首个线上团队众包制作的App,筹集结束,20000,90,5,5,10.00,14,9,否,不确定,0,1,NOTFOUND,2014-11-10 00:00,122520,31,69
科技,63059,快娱路由 中小商户O2O营销神器,筹集结束,10000,599,1,3,599.00,31,2,否,项目结束后7天发送回报,0,1,NOTFOUND,2014-10-03 00:00,41318,18,24
科技,61901,全球首款智能艺术家居☆青花瓷☆,筹集结束,5000,0,0,7,50.00,50,1,否,项目结束后40天发送回报,0,2,NOTFOUND,2014-10-18 00:00,18290,3,7
