项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
设计,68543,坚持手作到世界尽头，唤醒全宇宙的少女心,筹集结束,10000,4158,20,5,50.00,49,22,否,项目结束后10天发送回报,0,1,上海市市辖区,2016-03-16 00:00,418242,70,390
设计,68471,JINKE 极简铝制铅笔  专注于做一支最佳体验的极简铅笔,筹集成功,3000,3115,27,3,39.00,13,41,否,项目结束后5天发送回报,0,1,北京市市辖区,2016-02-26 00:00,26659,40,28
设计,69206,香炉以默 福谓佑之,筹集结束,2000,0,0,6,45.00,26,0,否,项目结束后5天发送回报,0,1,福建省福州市,2016-07-23 00:00,7670,1,NOTFOUND
设计,69067,一个奶爸，把喜欢的 &quot;手工制木&quot; 变成工作，内有我叫MT惊喜,筹集结束,2000,322,3,5,29.00,23,3,否,项目结束后30天发送回报,0,1,NOTFOUND,2016-07-22 00:00,33901,9,8
设计,68761,一张布的铅华，寻找城市的落脚点,筹集结束,20000,15,1,6,15.00,35,2,否,项目结束后15天发送回报,0,1,浙江省杭州市,2016-05-09 00:00,10324,3,9
设计,68600,刻体字 | 字体传承与再设计,筹集结束,20000,160,3,6,45.00,38,5,是,项目结束后15天发送回报,0,1,广东省广州市,2016-03-19 00:00,13232,9,25
设计,68257,神界艺术——大神的成长之路，艺术分享学习交流社区,筹集结束,50000,0,0,4,233.00,16,0,否,项目结束后50天发送回报,0,1,NOTFOUND,2016-02-03 00:00,8854,3,NOTFOUND
设计,68320,【乘物游心香器】待一炷香燃尽，一叶扁舟载你神游物外,筹集结束,5000,0,0,5,168.00,30,0,否,项目结束后3天发送回报,0,1,浙江省杭州市,2015-12-24 00:00,9224,2,NOTFOUND
设计,68246,金丝玉--沙漠的眼泪,筹集结束,500,0,0,4,3.00,20,0,否,项目结束后7天发送回报,0,1,NOTFOUND,2015-12-17 00:00,8431,1,NOTFOUND
设计,68282,woodhome，木家，让家中充满乐趣,筹集成功,800000,1565000,43,2,5000.00,12,43,否,不确定,0,1,福建省,2015-12-15 00:00,18513,45,3
设计,68269,“拿去”，免费拿闲置，五折算什么！让你的闲置流动起来,筹集成功,1200000,1845000,28,2,1000.00,10,28,否,项目结束后50天发送回报,0,1,北京市,2015-12-11 00:00,17110,31,2
设计,68155,陌黎原创手绘围巾，让花朵在颈间绽放,筹集结束,1000,0,0,10,98.00,22,1,否,项目结束后10天发送回报,0,1,NOTFOUND,2015-12-04 00:00,8522,3,3
设计,67605,木头人文玩达人召集令——收藏级佛珠认养漂流计划！！！,筹集结束,5000,572,4,11,58.00,36,7,否,项目结束后20天发送回报,1,10,四川省成都市,2015-11-27 00:00,11569,5,5
设计,62973,SoraJewelry 珠宝创业 ：每一个姑娘都可以优雅时尚,筹集成功,1000000,2260000,126,3,5000.00,13,126,否,项目结束后20天发送回报,0,1,NOTFOUND,2015-11-27 00:00,39649,134,3
设计,68118,壹份可触摸的记忆,筹集结束,10000,3,2,5,56.00,28,3,否,项目结束后5天发送回报,1,1,山东省烟台市,2015-11-26 00:00,9403,4,6
设计,68035,长得帅的漂亮的都喜欢小叶紫檀哦，气质不够，当然就用文玩来凑咯,筹集结束,3000,180,1,9,128.00,46,3,否,项目结束后10天发送回报,0,1,四川省成都市,2015-11-11 00:00,10700,9,NOTFOUND
设计,67768,单身宅必备！一个纸箱，就是一个私人电影院,筹集成功,50000,513600,411,4,168.00,11,413,否,项目结束后50天发送回报,1,1,NOTFOUND,2015-11-04 00:00,112504,422,33
设计,67907,在喧哗的都市找回属于自己的内心回忆,筹集结束,500,0,0,4,29.90,25,0,否,项目结束后10天发送回报,0,1,NOTFOUND,2015-11-01 00:00,8999,1,NOTFOUND
