项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
音乐,67702,《狠男人吴陌川》四碟精选集众筹,筹集结束,60000,0,0,6,50.00,15,0,是,项目结束后30天发送回报,0,1,北京市,2015-10-19 00:00,10070,3,8
音乐,65585,《春暖花开》爱心专辑,筹集结束,3000,0,0,4,10.00,41,0,是,项目结束后30天发送回报,0,1,NOTFOUND,2015-04-15 00:00,12316,2,2
音乐,62294,智能音乐软件－在家学音乐的好帮手，爸妈的救星，学习的良伴,筹集结束,5000,250,4,4,50.00,33,11,是,项目结束后50天发送回报,1,1,NOTFOUND,2014-09-11 00:00,175958,9,163
音乐,62437,给我个麦堆，我是后民谣人陈小虎,筹集结束,6000,200,2,4,30.00,16,3,否,项目结束后50天发送回报,0,1,NOTFOUND,2014-09-04 00:00,97784,4,97
音乐,61721,NOTFOUND,筹集成功,100000,101000,105,2,100.00,16,106,是,项目结束后50天发送回报,1,1,NOTFOUND,2014-08-13 00:00,171473,108,176
音乐,61356,爵士上海-吾拾的愿望,筹集结束,10000,300,7,6,50.00,17,9,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-07-06 00:00,139625,8,315
音乐,61445,《非常意外》音乐创意祝福传递平台,筹集结束,46000,100,1,7,2.00,17,4,否,项目结束后25天发送回报,0,1,NOTFOUND,2014-07-17 00:00,37453,2,57
音乐,61266,NOTFOUND,筹集成功,50000,172911,4049,2,0.00,14,4056,是,项目结束后30天发送回报,0,1,NOTFOUND,2014-05-28 00:00,1227520,4050,241
音乐,60078,尤克里里音乐教室,筹集结束,5000,300,1,9,0.00,12,2,否,项目结束后10天发送回报,0,1,NOTFOUND,2014-06-15 00:00,52313,2,11
音乐,59919,为农民工圆原创专辑音乐梦,筹集结束,30000,3100,13,6,0.00,13,14,是,项目结束后100天发送回报,0,3,NOTFOUND,2014-02-10 00:00,27997,14,9
音乐,59736,《盲音》 现代音乐及当代艺术推广音乐会、展览 ,筹集成功,1000,3000,1,4,0.00,17,3,是,不确定,0,1,NOTFOUND,2013-12-24 00:00,54187,1,10
