项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
书籍,20058845,《和干眼症一起创业》批量出版,筹款中,35000.00,208.00,2,2,76.00,33,0,19,2017/04/09,否,1,2,"淘宝-,,"
书籍,20055755,网球名将张帅画册，全网首发,制作中,10000.00,10946.00,54,7,49.00,14,0,51,2017/01/23,否,13,30,"淘宝-,,"
书籍,10092169,第一本民宿设计实战指南,项目成功,10000.00,30684.00,222,3,108.00,31,2,470,2017/01/22,否,60,20,"淘宝-,,"
书籍,20055324,《我是卧底之高考英语完形填空》教辅书里程碑,制作中,5000.00,31903.00,829,2,35.00,14,0,847,2017/02/28,否,108,30,"淘宝-,,"
书籍,20056007,《同学，你会考试吗》，让您高效学习、轻松驾驭考试,制作中,10000.00,39468.00,1306,5,18.00,12,5,718,2017/02/12,否,1000,5,"淘宝-,,"
书籍,20055618,AR开心樱桃学国学之弟子规,筹款中,100000.00,2880.00,110,5,258.00,15,0,179,2017/03/15,是,5,20,"-,,"
书籍,20058449,蚊子会电商白皮书实战干货之年终总结,制作中,100000.00,138044.00,1066,7,36.00,6,0,203,2017/03/06,是,749,3,"淘宝-,,"
书籍,20049469,云思维大百科图书众筹,项目成功,20000.00,74665.00,871,4,75.00,14,1,791,2017/02/25,否,836,30,"淘宝-,,"
书籍,20052482,一秒半击败持刀歹徒，以一敌十的实战短棍术教程,项目成功,20000.00,152458.00,1382,3,89.00,36,0,7189,2016/12/30,否,100,30,"淘宝-,,"
书籍,20058000,有故事的720°儿童VR眼镜,制作中,100000.00,677463.20,2108,7,14.90,23,0,946,2017/03/11,是,168,10,"淘宝-,,"
书籍,20054851,新春民俗儿童礼物 绘本玩具APP 裸眼3D投影魔盒,项目成功,50000.00,166842.00,305,6,20.00,29,0,3774,2017/01/18,是,81,15,"淘宝-,,"
书籍,20050131,李小龙无敌寸劲拳，一拳打飞人，保护女神撩妹神技,项目成功,20000.00,157406.00,21344,4,69.00,33,0,2716,2016/11/20,否,432,30,"淘宝-,,"
书籍,20051889,猫空X手帐达人，把小日子收进手帐里,项目成功,5000.00,54976.00,657,4,60.00,17,0,635,2016/11/24,否,100,10,"淘宝-,,"
