项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
公益,20058505,开学啦！为孤儿娃娃新学期加油,筹款中,10000.00,8370.00,393,5,10.00,7,0,35,2017/04/06,否,332,3,"淘宝-,,"
公益,20055665,8块钱，为藏区大山里的孩子送去新春礼物。,筹款中,12000.00,12218.00,555,6,10.00,4,0,64,2017/04/16,否,424,15,"淘宝-,,"
公益,20058228,为高龄独居老人送便利包,筹款中,10000.00,20980.00,623,5,10.00,9,0,59,2017/03/31,否,493,3,"淘宝-,,"
公益,20058342,“不一样也一样”守护自闭症儿童公益活动,筹款中,10000.00,14980.00,469,4,10.00,7,0,55,2017/03/23,是,240,7,"淘宝-,,"
公益,20056225,救助尘肺病农民工,筹款中,10000.00,17140.00,847,3,10.00,7,0,113,2017/03/22,否,719,3,"淘宝-,,"
公益,20057641,给山区孩子派个支教老师,制作中,14000.00,31507.90,1221,5,9.90,7,2,128,2017/03/11,是,1021,20,"淘宝-,,"
公益,20057516,关爱失独老人春季运动会，送健康，送快乐,筹款中,10000.00,1560.00,79,5,10.00,6,0,19,2017/04/18,否,71,30,"淘宝-,,"
公益,20056585,老有所依，医有所伴，关爱失独，让爱延续,筹款中,10000.00,10530.00,410,5,10.00,5,0,54,2017/04/12,否,343,30,"淘宝-,,"
公益,20057819,助养贫困家庭失能老人,筹款中,10000.00,15880.00,800,5,10.00,8,0,60,2017/03/20,否,698,15,"淘宝-,,"
公益,20057602,爱心手拉手，共建中国梦。,筹款中,10000.00,22300.00,1237,6,10.00,20,0,97,2017/03/20,否,1040,3,"淘宝-,,"
公益,20057354,8块钱，为藏区孤寡老人送一天爱心餐食,筹款中,12000.00,67410.00,2756,6,10.00,5,0,225,2017/04/09,否,2201,15,"淘宝-,,"
公益,20057429,给贫困儿童的新年礼包,制作中,10000.00,28380.00,1432,5,10.00,10,7,77,2017/02/25,否,1237,3,"淘宝-,,"
公益,20058285,爱佑新生-病患孤儿医疗养护项目,筹款中,200000.00,6900.00,96,3,50.00,5,0,27,2017/06/05,否,84,5,"-,,"
公益,20057293,关爱特困失能老人,筹款中,10000.00,25770.00,1066,6,10.00,9,0,80,2017/05/30,否,739,30,"-,,"
公益,20057014,新春暖心行动温暖失能老人,筹款中,10000.00,4410.00,233,5,10.00,12,0,24,2017/04/21,否,179,30,"-,,"
公益,20057526,我在城市里当小“农夫”,筹款中,15000.00,1410.00,51,8,5.00,23,0,99,2017/04/18,否,38,7,"淘宝-,,"
公益,20056476,给山区孩子买个篮球 我们一起愉快玩耍吧,制作中,10000.00,14240.00,517,7,10.00,7,0,52,2017/02/13,否,401,30,"淘宝-,,"
公益,20057781,爱心捐赠，情满贫困生,筹款中,10000.00,19040.00,685,6,10.00,1,0,66,2017/03/16,否,519,15,"淘宝-,,"
公益,20057270,给困境老人筹身衣、修道门—为老人遮风寒,制作中,15000.00,70670.00,3059,5,10.00,9,0,217,2017/02/28,否,2202,15,"淘宝-,,"
公益,20055944,辞旧迎新送温暖——给孤寡老人送爱心年夜饭,项目成功,10000.00,50140.00,2277,5,10.00,7,7,148,2017/02/10,否,1646,30,"淘宝-,,"
公益,20056995,送给孩子们一堂快乐的体育课,制作中,10000.00,10224.00,276,5,10.00,10,0,38,2017/02/16,否,198,30,"淘宝-,,"
公益,20056157,给特困孤老送年货,项目成功,10000.00,48600.00,2245,5,10.00,10,10,129,2017/02/16,否,1922,3,"淘宝-,,"
公益,20058491,慢飞天使助力-帮助特殊孩子康复,筹款中,10000.00,1070.00,39,6,10.00,6,0,29,2017/04/11,否,32,30,"-,,"
公益,20056971,温暖老人心，困境空巢老人助养,制作中,16000.00,74820.00,3442,6,10.00,8,0,182,2017/03/05,否,2902,10,"淘宝-,,"
公益,20055878,为孤寡老人送温暖,项目成功,10000.00,34510.00,1760,4,10.00,6,10,145,2017/02/02,否,1523,10,"淘宝-,,"
公益,20057267,关爱老人——暖心煤,项目成功,10000.00,10680.00,354,6,10.00,1,0,30,2017/02/23,否,275,15,"淘宝-,,"
公益,20051796,新年送温暖，关怀暖人心,制作中,13000.00,13130.00,530,5,10.00,1,0,37,2017/02/02,否,411,15,"淘宝-,,"
公益,20054398,不让幸福断裂在老年,项目成功,15000.00,20660.00,1034,6,10.00,7,0,72,2017/02/02,是,906,3,"淘宝-,,"
公益,20049603,爱心守护孤儿健康成长,项目成功,10000.00,23170.00,582,5,20.00,10,1,57,2017/02/02,是,451,30,"淘宝-,,"
公益,20051192,这个寒冬温暖如春，让我们携手送山区孩子一丝温暖。,项目成功,10000.00,10090.00,437,4,10.00,4,7,93,2017/01/27,否,369,15,"淘宝-,,"
公益,20057093,送孤儿新春圆梦红包,项目成功,30000.00,30290.00,731,5,20.00,6,2,70,2017/02/23,是,566,30,"淘宝-,,"
公益,20054829,送给留守儿童一个温暖冬季,项目成功,10000.00,11730.00,535,5,10.00,7,6,162,2017/01/19,否,458,3,"淘宝-,,"
公益,20054336,为困难家庭发放春节温暖包,项目成功,10000.00,23900.00,930,4,10.00,2,0,158,2017/01/19,否,760,30,"淘宝-,,"
公益,20053376,【枣安·关怀家】关怀困境儿童的成长之路,筹款中,10000.00,6370.00,26,3,98.00,7,0,50,2017/03/14,否,14,30,"淘宝-,,"
公益,20052853,传承技艺：年画送福,项目成功,50000.00,52256.00,1237,8,29.00,11,0,209,2017/01/13,否,366,20,"淘宝-,,"
公益,20049384,助力尘肺病劳模顺畅呼吸,项目成功,11000.00,12480.00,530,3,10.00,4,1,78,2017/01/02,否,423,3,"淘宝-,,"
公益,20054339,爱是你和我  为孤寡困境老人点燃冬天里的一把火,项目成功,12000.00,40620.00,1978,6,10.00,8,0,175,2017/02/18,否,1519,15,"淘宝-,,"
公益,20054124,大爱无疆，同庆新年,项目成功,10000.00,23400.00,971,5,10.00,1,0,252,2017/01/13,否,773,15,"淘宝-,,"
公益,20053035,"帮帮咱的爹和娘,帮助农村空巢老人走出困境。",项目成功,10000.00,17210.00,714,4,10.00,16,6,140,2017/01/01,否,591,15,"淘宝-,,"
公益,20050876,用爱心让强直性脊柱炎患者挺起脊梁,制作中,5000.00,19880.00,641,5,10.00,4,7,124,2017/02/28,否,508,30,"淘宝-,,"
公益,20052275,温暖冬日为老添衣,项目成功,10000.00,20600.00,752,5,10.00,9,6,188,2016/12/30,否,615,3,"淘宝-,,"
公益,20053474,裁为四季扇团团似明月,项目成功,5000.00,5060.00,99,5,40.00,7,0,35,2016/12/19,否,15,10,"淘宝-,,"
公益,20056481,“缘伴”脑瘫，爱是不放弃,项目成功,10000.00,15760.00,848,4,10.00,9,0,53,2017/02/16,否,743,15,"淘宝-,,"
公益,20050912,守护失亲娃娃,项目成功,10000.00,23360.00,770,5,10.00,9,5,215,2016/12/09,否,601,3,"淘宝-,,"
公益,20054592,2017与导盲犬一同成长,项目成功,10000.00,10990.00,321,8,10.00,4,0,97,2017/02/10,否,196,1,"淘宝-,,"
公益,20048851,老人们的清晰世界,项目成功,5000.00,6355.00,292,5,10.00,5,0,98,2016/12/05,否,204,30,"淘宝-,,"
公益,20048423,视力障碍者的音乐梦,项目成功,5000.00,9310.00,425,4,10.00,9,0,145,2016/12/06,否,355,30,"淘宝-,,"
公益,20049562,帮助孤儿的寄养父母，维系孩子温暖的家,项目成功,15000.00,32130.00,743,5,20.00,8,1,274,2016/11/21,否,534,30,"淘宝-,,"
公益,20049531,用爱心为老人驱散寒冬,项目成功,10000.00,16250.00,222,3,50.00,6,3,165,2016/11/20,是,167,7,"淘宝-,,"
公益,20053668,关爱留守儿童，给孩子一份营养餐,项目成功,13000.00,13530.00,329,4,30.00,18,2,82,2017/01/23,否,276,20,"淘宝-,,"
公益,10091078,用心去爱---《艺术江豚》2017年公益台历,项目成功,8000.00,12819.00,387,8,10.00,18,0,191,2016/12/18,是,226,7,"淘宝-,,"
公益,20047805,点燃爱心之火，让爱传递整个校园,项目成功,10000.00,20250.00,679,6,10.00,1,1,164,2016/10/30,否,475,30,"淘宝-,,"
公益,20048550,微光计划，助力听障艺术学生,制作中,1000.00,3010.00,610,10,139.00,10,0,144,2016/11/14,否,5,10,"淘宝-,,"
公益,20050580,流浪小猫爱心助养,制作中,15000.00,29060.00,793,7,20.00,6,0,272,2017/03/01,否,585,15,"-,,"
公益,20048465,用双手成就未来,项目成功,10000.00,10100.00,294,6,10.00,1,0,74,2016/11/19,否,212,15,"淘宝-,,"
公益,20047731,天凉了，给农村留守儿童加衣,项目成功,10000.00,43710.00,2172,6,10.00,7,4,1018,2016/10/23,否,1864,3,"淘宝-,,"
公益,20050384,爱笑流浪动物保护中心筹款,项目成功,5000.00,29830.00,1008,4,10.00,4,0,672,2017/01/14,是,611,10,"淘宝-,,"
公益,20048130,关爱留守老母亲,项目成功,10000.00,37290.00,1625,5,10.00,6,5,665,2016/10/28,否,1357,3,"淘宝-,,"
公益,20047475,铅防活动周 公益行动,项目成功,10000.00,10067.00,1079,0,0.00,5,1,98,2016/10/22,是,NOTFOUND,NOTFOUND,"淘宝-,,"
公益,20045933,9元，就能为藏区孤寡老人送一天的爱心餐,项目成功,12000.00,56420.00,2378,6,10.00,12,0,816,2016/10/21,否,1803,10,"淘宝-,,"
公益,20045828,爱心助力青海孤儿成为未来的唐卡画师,项目成功,15000.00,17020.00,720,6,5.00,11,1,210,2016/10/04,否,624,30,"淘宝-,,"
公益,20045673,给流浪狗狗一次饱饭,项目成功,10000.00,42840.00,1344,5,15.00,7,2,571,2016/10/09,否,982,15,"淘宝-,,"
公益,20046034,为凉山生辉特殊教育学校重建厕所,项目成功,5000.00,25320.00,703,7,10.00,2,1,196,2016/10/13,否,562,30,"淘宝-,,"
公益,10091195,给藏区的毛孩子一个能回的家，不再挨饿受冻怕挨打,项目成功,12000.00,17760.00,597,7,10.00,17,0,1189,2016/10/12,否,376,15,"淘宝-,,"
公益,20044539,画好月圆——带上爱心月饼过中秋,项目成功,9900.00,14509.00,111,4,5.00,2,0,76,2016/09/09,否,27,30,"淘宝-,,"
公益,10091111,眼盲心不盲，用行动传递爱,项目成功,10740.00,12998.00,371,6,12.00,1,0,102,2016/09/25,否,249,15,"淘宝-,,"
公益,20044266,开学季！中国第一本长江江豚科普摄影书《江豚淘淘》,项目成功,8000.00,8285.00,617,8,10.00,15,0,73,2016/10/06,是,571,5,"淘宝-,,"
公益,10090858,爱心助养，让孤残老人走出灰暗晚年,项目成功,10000.00,32470.00,1377,5,10.00,4,3,413,2016/09/22,否,1142,3,"淘宝-,,"
公益,20044007,车库酒之父图内文携陈妍希陈晓助公益，圣爱美隆酿美酒,项目成功,100000.00,133813.00,571,15,99.00,56,0,1389,2016/10/02,是,11,30,"淘宝-,,"
