项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
其他,20051276,车之安多功能汽车靠枕,筹款中,100000.00,27652.00,122,3,108.00,17,4,7946,2017/04/01,是,74,5,"淘宝-4.7,4.7,4.8"
其他,20057895,鸵鸟枕二代——午睡手枕休闲旅途神器,筹款中,50000.00,53347.00,514,4,36.00,14,0,725,2017/03/17,否,150,10,"淘宝-4.5,4.5,4.6"
其他,20057562,是精美的纯手工布艺花 也是专用的香料袋,筹款中,30000.00,848.00,16,4,38.00,11,0,73,2017/04/04,否,3,20,"淘宝-,,"
其他,20057343,IMMT电动指甲刀，闭着眼睛也能剪,筹款中,50000.00,2198620.00,26322,16,69.00,10,0,14595,2017/03/22,否,3173,45,"淘宝-5.0,5.0,5.0"
其他,20055620,0添加、0致敏、煦语纯棉柔巾给宝宝健康和柔软,筹款中,50000.00,1017860.00,5230,6,59.00,23,0,10292,2017/04/08,否,200,7,"淘宝-5.0,5.0,5.0"
其他,20058253,新型无边框大视野辅助镜,筹款中,20000.00,160072.60,7687,2,6.80,16,0,2520,2017/04/12,否,3000,15,"淘宝-4.8,4.8,4.8"
其他,20058027,可以呵护颈椎的热水袋,筹款中,20000.00,10090.00,310,3,29.00,0,0,1201,2017/03/29,是,200,3,"-4.8,4.8,4.8"
其他,20056165,永泰和生命逃生器-四合一便捷破窗器,制作中,50000.00,113860.00,1570,4,58.00,20,4,1912,2017/03/09,是,0,5,"淘宝-5.0,5.0,5.0"
其他,20055970,小天鹅干衣机-抗霾行动必备干货,制作中,100000.00,244914.00,243,9,998.00,11,1,1468,2017/02/18,否,-147,30,"天猫-4.8,4.8,4.8"
其他,20057083,年终特惠送给儿童不一样的春节礼物-北京萌版绢人,制作中,50000.00,92252.00,1166,9,19.80,7,0,859,2017/02/28,否,500,18,"淘宝-5.0,5.0,5.0"
其他,20057389,VA绿色驱虫户外野餐垫，安全环保,筹款中,10000.00,50101.00,342,15,99.00,26,6,415,2017/03/20,是,50,30,"-4.8,4.8,4.9"
其他,20057831,小云日记变装马克杯猫咪杂物辑,筹款中,20000.00,745.00,12,4,29.00,11,0,56,2017/03/13,否,6,7,"-4.8,4.8,4.8"
其他,20057346,国大师朱炳仁首创金铜铭文鸡缸杯,筹款中,50000.00,81382.00,187,1,280.00,13,0,388,2017/03/16,否,NOTFOUND,30,"淘宝-,,"
其他,20055728,【手工雕刻】-精雕细刻关公,制作中,50000.00,90062.00,162,4,298.00,10,0,263,2017/02/20,否,50,35,"-4.7,4.7,4.7"
其他,20056613,神奇的鸵鸟枕 旅行围脖枕头 办公室午睡枕,制作中,30000.00,33965.00,348,3,39.00,12,0,423,2017/01/27,否,285,10,"淘宝-4.5,4.5,4.6"
其他,20057201,低脂肪、低热量的零食，让狗狗健康一点,项目成功,5000.00,6361.02,328,5,9.90,12,0,60,2017/02/06,是,73,4,"淘宝-4.8,4.8,4.8"
其他,20057187,耐威克泰迪专用粮系列,项目成功,20000.00,30371.70,343,5,49.90,17,0,97,2017/02/07,是,142,3,"淘宝-4.8,4.8,4.8"
其他,20057322,旅行居家省心必备神器：迷你控温熨斗直男也能操控自如,制作中,80000.00,613620.30,5555,7,19.90,32,0,5513,2017/03/09,是,3317,15,"-,5.0,5.0"
其他,20056762,手工制作 镶银石楠木烟斗,项目成功,50000.00,60040.00,38,5,1580.00,32,0,132,2017/02/12,是,11,30,"淘宝-5.0,5.0,5.0"
其他,20057260,原装进口百利得意鸭肉猫粮 敬请期待,项目成功,10000.00,10335.00,39,1,265.00,14,0,7,2017/02/07,否,39,7,"淘宝-4.9,4.9,4.9"
其他,20057289,超多口味超美味的彩虹猫罐头等你来,项目成功,10000.00,10788.00,93,1,116.00,16,0,21,2017/02/07,否,93,7,"淘宝-4.9,4.9,4.9"
其他,20055960,智能4.0黑科技钢氢杯,制作中,88888.00,1021036.00,2862,4,268.00,24,10,3843,2017/03/07,是,50,10,"-4.8,4.8,4.9"
其他,20056088,鸿木斋制香檀香沉香,制作中,50000.00,56330.00,1150,16,23.00,19,0,430,2017/02/28,否,410,1,"-4.9,4.9,4.9"
其他,20057024,【传承】即是摆件又是香具的德化陶瓷,制作中,50000.00,128468.00,796,5,68.00,27,1,472,2017/02/20,否,51,15,"淘宝-5.0,5.0,5.0"
其他,20056571,解放猫咪天性 选择适口性好的猫粮,项目成功,10000.00,12909.00,65,2,148.00,7,0,33,2017/02/05,否,39,7,"淘宝-4.9,4.9,4.9"
其他,20056616,猫咪成长必需，干湿搭配增重发腮,项目成功,10000.00,14852.00,85,3,116.00,9,0,57,2017/02/05,否,53,7,"淘宝-4.9,4.9,4.9"
其他,20056579,猫咪的选择 健康营养猫粮,项目成功,10000.00,17804.00,103,2,158.00,7,0,45,2017/02/06,否,92,7,"淘宝-4.9,4.9,4.9"
其他,20054982,具备健康抗菌的超级毛巾,筹款中,50000.00,24950.00,335,4,48.00,34,6,468,2017/03/23,否,140,30,"-,5.0,5.0"
其他,20056311,【匠心木雕】阿弥陀三尊，新春将到，提前送福,制作中,50000.00,191639.00,2981,5,29.00,10,0,1094,2017/02/24,否,1999,5,"淘宝-5.0,5.0,5.0"
其他,20055793,百年黑檀  实木茶盘  一块木头的艺术之旅,项目成功,50000.00,60950.00,130,6,228.00,19,0,224,2017/01/15,否,43,5,"淘宝-5.0,5.0,5.0"
其他,20056272,向电热毯说拜拜！竹纤睡眠魔毯，冬天睡得温暖又健康,项目成功,50000.00,161200.00,107,5,1280.00,9,5,6567,2017/01/28,是,1,30,"淘宝-5.0,5.0,5.0"
其他,20055663,智能控温暖身手环，新年的第一份礼物,制作中,50000.00,1219092.80,10270,9,59.00,8,0,3779,2017/01/16,否,499,30,"淘宝-5.0,5.0,5.0"
其他,20057315,渐霏爱宠为猫咪带来健康质优美味的体验,项目成功,10000.00,15542.00,38,2,288.00,12,0,41,2017/02/06,否,27,7,"-4.9,4.9,4.9"
其他,20055811,四大名陶之建水紫陶：根艺石瓢壶,项目成功,50000.00,52386.00,97,6,69.00,22,0,177,2017/01/29,否,10,30,"淘宝-5.0,5.0,5.0"
其他,20056583,漂洋过海来爱你 来之不易的渴望六种鱼狗粮,项目成功,30000.00,30786.00,64,3,259.00,14,0,88,2017/02/04,否,38,4,"淘宝-4.9,4.9,4.9"
其他,20055856,黄杨木雕刻小沙弥小释迦牟尼车摆桌摆玩偶把件,项目成功,50000.00,110519.80,412,8,56.00,12,2,414,2017/02/17,是,104,12,"淘宝-4.9,4.9,4.9"
其他,20056748,香道  太行山万年崖柏倒流香,制作中,50000.00,143877.40,889,10,21.80,16,0,403,2017/02/09,否,188,5,"淘宝-4.8,4.8,4.9"
其他,20055051,上海礼物大礼盒，重塑经典，复兴海派文化,项目成功,10000.00,125894.00,101,8,169.00,10,4,233,2017/01/23,否,30,16,"淘宝-4.8,4.8,4.8"
其他,20054820,DIY金属拼装玩具模型（你没有玩过的模型）,项目成功,50000.00,52146.00,312,9,38.00,12,0,271,2017/01/29,否,179,30,"淘宝-4.8,4.8,5.0"
其他,20056555,为小朋友准备的新年礼物，同道大叔十二星座萌物礼盒,制作中,5000.00,5404.00,33,13,88.00,18,0,31,2017/01/20,否,8,1,"天猫-4.9,4.9,4.8"
其他,20055191,欧美潮流婴儿纸箱床，给宝宝一个独立的酣睡空间,项目成功,50000.00,153554.00,207,6,58.00,19,5,3411,2017/02/06,否,94,10,"淘宝-5.0,5.0,5.0"
其他,20055089,汪汪喵天然狗粮,项目成功,100000.00,367794.00,2506,6,99.00,13,0,2133,2017/01/13,是,5,30,"淘宝-5.0,5.0,5.0"
其他,20049532,上海海湾国家森林公园,项目成功,100000.00,107900.00,1771,6,60.00,14,2,5572,2017/01/10,是,1087,16,"淘宝-4.8,4.8,4.8"
其他,20054068,几度了无线蓝牙智能柔性体温贴,制作中,100000.00,111061.00,506,10,88.00,9,0,1552,2017/02/12,是,99,45,"-5.0,5.0,5.0"
其他,20053296,洗匠 四翼星际 车载手机支架 创新四点同步稳固夹持,项目成功,50000.00,60924.00,1349,6,36.00,18,0,582,2017/02/09,是,100,5,"天猫-4.8,4.8,4.8"
其他,20054203,禅意—紫砂小沙弥香炉,项目成功,50000.00,111979.00,857,6,89.00,13,0,472,2016/12/31,否,658,5,"淘宝-5.0,5.0,5.0"
其他,20052984,智能家居APP数据监测——婴幼儿温湿度监测仪,项目成功,100000.00,163368.00,690,5,59.00,18,0,2002,2017/02/02,否,188,30,"-5.0,5.0,5.0"
其他,20054827,颠覆传统的洗车神器 易洗车便携式洗车器家用二合一,项目成功,100000.00,1138156.00,3314,6,199.00,30,0,5732,2017/01/23,是,39,30,"-5.0,5.0,5.0"
其他,20053948,签下这片青山绿野，10年免费住,项目成功,100000.00,1482418.00,281,6,499.00,28,0,5391,2017/01/07,否,86,3,"淘宝-5.0,5.0,5.0"
其他,20053401,电动蓝光红酒开瓶器,项目成功,20000.00,26828.00,191,8,88.00,16,5,321,2017/01/12,否,111,30,"淘宝-4.7,4.7,4.7"
其他,20053580,碳纤维能量加热护颈，健康养生，温暖一个冬天！,项目成功,50000.00,61800.00,164,3,150.00,13,0,2520,2017/01/13,否,146,30,"-4.8,4.8,4.8"
其他,20054052,朱炳仁铜 鸡年新作鸡祥如意 抑菌铜碗+萌鸡摆件,项目成功,50000.00,58006.00,170,7,70.00,5,0,337,2017/01/17,否,4,15,"天猫-4.8,4.8,4.8"
其他,20055015,非遗锡雕大龙虾,项目成功,50000.00,82180.00,21,4,2980.00,24,6,2230,2017/01/21,是,3,35,"-5.0,5.0,5.0"
其他,20055389,偏口斋手雕象牙果---传承发扬民间传统手工艺文化,项目成功,50000.00,51771.00,395,5,88.00,23,9,410,2017/01/23,否,277,20,"-4.8,4.8,4.8"
其他,20052855,传承千年的手工艺 宜兴原矿全手工紫砂壶【灵猴拜寿】,项目成功,50000.00,68304.00,166,2,399.00,15,0,235,2017/02/02,否,97,15,"淘宝-4.9,4.9,4.9"
其他,20050752,实木儿童床尾梯护栏床男孩女孩床松木加加宽床松木床,项目成功,5000.00,7034.00,13,5,458.00,15,0,1410,2017/01/08,否,2,60,"-5.0,5.0,5.0"
其他,20054611,匠心|用中国四大发明之印刷术，制作藏书票,项目成功,10000.00,30850.00,145,3,168.00,27,0,423,2016/12/24,是,74,2,"天猫-4.9,4.9,4.9"
其他,20052705,北非摩洛哥塔吉锅，无涂层铸铁微压煲仔锅,制作中,50000.00,51084.00,258,1,198.00,11,0,284,2017/01/03,否,258,30,"淘宝-,,"
其他,20051880,2017年一定旺，招财镇宅之物-天然砗磲贝壳果盘,项目成功,10000.00,29544.40,1191,3,8.80,19,0,248,2016/12/23,否,1058,30,"淘宝-4.8,4.8,4.8"
其他,20051264,Fashionway｜服装设计新革命，让设计更简单,项目成功,10000.00,125052.00,1483,6,68.00,22,0,1627,2016/12/23,否,43,30,"淘宝-4.9,4.9,5.0"
其他,20050777,嘉炖新陶养生饭煲【健康生活每一炖】,项目成功,50000.00,55414.00,17,11,99.00,11,1,3242,2016/12/22,否,1,3,"淘宝-4.8,4.8,4.8"
其他,20052481,时尚旅游X东风雷诺众筹好时光,项目成功,10000.00,102663.00,1037,4,99.00,12,0,424,2016/12/06,否,349,30,"淘宝-,,"
其他,20052850,中国风棉麻瑜伽服,项目成功,50000.00,53840.00,83,6,138.00,25,0,305,2016/12/31,否,10,15,"-,4.8,4.8"
其他,20052531,热带雨林的一千零一夜,制作中,100000.00,264666.00,90,7,99.00,20,0,617,2017/01/09,否,28,60,"-5.0,5.0,5.0"
其他,20054247,景德镇茶具秘制古宣釉倾心手作再现-富春山居图,项目成功,60000.00,61032.00,10,7,158.00,38,0,94,2017/01/06,否,2,39,"-4.9,4.9,4.8"
其他,20052196,穹顶下，水龙头需要一个安全套，请慎对自己及家人健康,项目成功,50000.00,61424.00,706,4,68.00,23,0,1385,2016/12/25,是,526,30,"-,,"
其他,20052468,干了这杯雪山 征服加拿大冰川,项目成功,100000.00,113413.00,81,6,99.00,19,0,254,2017/01/09,否,39,60,"-4.9,4.9,4.9"
其他,20050314,鸿木斋始创海黄药合香 黄花梨天然线香 薰香,项目成功,50000.00,131232.00,460,7,50.00,11,4,591,2016/12/15,否,254,3,"淘宝-4.9,4.9,4.9"
其他,20051697,旅行，去看看自己欧洲庄园的土地,项目成功,100000.00,1432978.00,5053,7,2.00,20,0,6537,2016/12/28,是,3732,60,"天猫-4.9,4.9,4.8"
其他,20050983,三不琉璃小和尚,项目成功,20000.00,21790.00,110,3,88.00,15,0,2345,2017/01/02,否,19,20,"-4.8,4.8,4.8"
