项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
农业,20058997,【树上现摘现发】新鲜烟台大樱桃,筹款中,50000.00,185432.00,1402,4,119.00,16,2,1103,2017/04/06,否,833,10,"淘宝-,,"
农业,20058814,【果子精粹】西北农林教授授权培育圣女果,筹款中,10000.00,97835.60,3254,6,19.90,17,0,173,2017/03/14,否,661,5,"淘宝-,,"
农业,20058883,初春的第一抹茶香 芳羽安吉白茶邀您品鉴,筹款中,50000.00,89981.00,821,5,49.00,14,0,239,2017/04/06,否,255,5,"淘宝-,,"
农业,20058923,春天的美味，临安高山纯野生小笋,筹款中,10000.00,67071.10,1223,2,49.90,16,0,210,2017/03/27,否,1089,5,"淘宝-,,"
农业,20058903,众筹时令生鲜长江三鲜之一：长江刀鱼,筹款中,10000.00,29698.00,96,4,268.00,13,0,52,2017/03/19,否,77,3,"淘宝-,,"
农业,20058856,青岛现挖生蚝4斤,筹款中,10000.00,72873.40,1107,3,58.60,7,0,390,2017/03/14,否,971,15,"淘宝-,,"
农业,20058832,鲜槐花 稍纵即逝的美味全年3天品味期,筹款中,50000.00,57589.00,2034,4,16.00,10,0,218,2017/04/03,否,517,3,"淘宝-,,"
农业,20058824,品山珍野味，尝深山野生百花菜,筹款中,50000.00,32069.00,1396,4,9.90,12,0,50,2017/04/03,否,10,3,"淘宝-,,"
农业,20056639,手工采摘晾晒·千岛湖天然桃胶,项目成功,10000.00,63076.60,1752,4,28.80,1,0,536,2017/02/18,否,1276,1,"淘宝-,,"
农业,20058822,【舌尖上的美食】阎良甜瓜的甜美“变身”,筹款中,50000.00,195311.30,5459,5,29.80,14,2,305,2017/04/01,否,1472,20,"-,,"
农业,20058810,3月新蜜 金堂县农家土蜂蜜,制作中,10000.00,100170.00,1767,8,36.00,16,8,216,2017/03/11,否,838,5,"淘宝-,,"
农业,20057554,流传千年手作麻城肉糕，清香滑腻、唇齿流芳,项目成功,10000.00,44446.00,1513,4,9.90,10,0,369,2017/02/18,否,10,1,"淘宝-,,"
农业,20057511,妈妈自制手工马鲛鱼丸，潮汕传统名点,项目成功,10000.00,46912.00,503,6,48.00,6,0,273,2017/02/18,否,132,3,"淘宝-,,"
农业,20058775,芸芸众“果”，先熟者当属樱桃 米易小樱桃,筹款中,50000.00,106133.00,1106,4,59.00,11,0,249,2017/04/01,否,617,10,"-,,"
农业,20058862,踏青吃烧烤-来自澳洲小鲜肉带骨牡蛎羊排,筹款中,10000.00,14712.10,182,5,69.90,13,0,89,2017/03/13,否,134,15,"-,,"
农业,20058823,【挑逗你的味蕾】北海道牧家Bocca气球布丁,筹款中,10000.00,38701.00,365,7,82.00,15,0,241,2017/03/17,否,125,15,"-,,"
农业,20056669,泰国树上成熟金枕头去核冻榴莲肉空运到你手,制作中,10000.00,293773.00,2477,8,75.00,10,0,943,2017/02/17,否,613,5,"淘宝-,,"
农业,20057459,手工炒制 传承盐帮风味,制作中,10000.00,70271.00,1303,7,38.80,7,0,1646,2017/02/19,是,841,1,"淘宝-,,"
农业,20057433,大连扇贝裙海鲜手工下饭菜礼盒,项目成功,10000.00,52817.00,603,2,69.00,17,0,163,2017/02/17,否,411,1,"淘宝-,,"
农业,20057476,陕北香甜酒醉枣 手工窖藏三月的新鲜红枣,项目成功,10000.00,218052.00,2025,6,46.00,14,0,875,2017/02/17,否,890,1,"淘宝-,,"
农业,20057517,【百年老字号】老同盛生纯手工制作五仁油茶,项目成功,10000.00,206429.90,7153,8,9.90,10,0,398,2017/02/17,否,927,3,"淘宝-,,"
农业,20058794,鲜活烧制 出口级蒲烧鳗鱼,制作中,10000.00,16720.00,135,3,44.00,9,0,64,2017/03/11,否,10,3,"-,,"
农业,20057468,潮汕正宗手打牛肉丸/牛筋丸 古法顺丰包邮,项目成功,10000.00,288451.00,4004,6,65.00,10,0,1734,2017/02/17,是,1987,1,"-,,"
农业,20057491,来自遥远新疆的美味纯手工制作烤包子,制作中,12000.00,25637.20,369,4,58.80,9,0,254,2017/02/17,否,262,3,"-,,"
农业,20057558,【纯手工炒制辣子鸡】好吃会上瘾，现做现发,项目成功,10000.00,29233.20,1112,6,15.80,6,4,304,2017/02/17,否,873,2,"淘宝-,,"
农业,20057703,逛生态农场探寻农家山野美味,制作中,10000.00,520189.00,6520,6,36.00,12,0,170,2017/02/17,否,3332,20,"-,,"
农业,20057748,来自韩国的新鲜蟹棒，内含真正蟹腿肉,制作中,10000.00,246050.00,1091,7,24.00,13,0,356,2017/02/18,否,225,20,"-,,"
农业,20057543,800年纯正广东清远鸡 更有溯源之旅等您,项目成功,10000.00,19922.70,344,7,9.90,9,0,122,2017/02/17,否,271,1,"淘宝-,,"
农业,20057514,手工精制桑葚 桑葚之乡的国家地标保护产品,制作中,10000.00,159086.00,3220,7,11.00,20,0,1322,2017/02/17,是,987,3,"淘宝-,,"
农业,20057484,以陈酿美酒制作糕点的神秘技艺,项目成功,20000.00,32821.00,453,5,55.00,15,0,206,2017/02/17,是,291,15,"-,,"
农业,20057467,多利带您体验有机生活，新鲜蔬菜周周有,项目成功,10000.00,33222.00,34,4,79.00,8,0,202,2017/02/17,是,18,1,"-,,"
农业,20056204,【蜗牛生鲜】众筹生态农场享天然土产,项目成功,10000.00,411348.20,2218,5,19.90,14,0,829,2017/01/05,否,1312,5,"淘宝-,,"
农业,20056271,【蜗牛生鲜】众筹新西兰牧场享冬季进补食材,项目成功,10000.00,53451.10,471,7,89.90,11,0,386,2017/01/05,否,387,5,"淘宝-,,"
农业,20057621,徽菜食材之魅力 跟着骨灰吃货来一同探索,制作中,10000.00,27710.40,223,12,24.90,33,0,137,2017/02/17,是,27,3,"淘宝-,,"
农业,20057460,正宗西湖龙井2017新茶 邀您来茶园亲自品鉴,制作中,10000.00,69175.00,504,7,59.00,14,0,314,2017/02/17,否,20,70,"-,,"
农业,20056121,【蜗牛生鲜】得利斯林间散养优质黑山猪五花肉口感鲜嫩,项目成功,10000.00,56319.80,775,2,49.80,9,0,212,2017/01/05,是,311,5,"淘宝-,,"
农业,20057430,重庆火锅特色辣卤鸭脖 手工现卤现卖,项目成功,10000.00,49463.00,939,4,49.00,17,0,141,2017/02/17,否,643,1,"淘宝-,,"
农业,20056436,不同凡响鸡蛋，深山放养的野鸡蛋做蒸蛋口感丝滑,项目成功,50000.00,51590.80,267,5,39.80,23,7,247,2017/01/17,否,100,3,"淘宝-,,"
农业,20056127,【蜗牛生鲜】来自四川金堂的高山脐橙 现摘现发,项目成功,10000.00,105214.20,4069,4,18.80,16,2,491,2017/01/05,否,1482,5,"淘宝-,,"
农业,20056377,【蜗牛生鲜】 阿坝高原牦牛—来自雪域高原的馈赠,项目成功,10000.00,84626.00,709,6,66.00,21,0,560,2017/01/05,是,341,5,"淘宝-,,"
农业,20057553,"拒绝速成量产,选择有机就是投资自己将来",制作中,10000.00,25895.00,425,6,19.00,48,0,288,2017/02/17,是,99,40,"-,,"
农业,20056244,【蜗牛生鲜】加拿大鲜活大龙虾 产地直达国内顺丰包邮,制作中,10000.00,123983.00,797,4,139.00,12,0,653,2017/01/05,是,428,7,"淘宝-,,"
农业,20056259,【蜗牛生鲜】舌尖上的中国之富平名优特产九眼莲藕,项目成功,10000.00,26545.00,499,3,36.80,13,0,127,2017/01/05,否,364,5,"淘宝-,,"
农业,20056196,【蜗牛生鲜】“原产地直供”   正宗贵溪紫山药,项目成功,10000.00,52096.30,1319,3,29.90,12,0,313,2017/01/05,否,997,5,"淘宝-,,"
农业,20057454,法国鲜活绿翡翠生蚝 打飞的到您家,制作中,10000.00,66604.00,389,5,119.00,17,4,239,2017/02/17,否,205,7,"-,,"
农业,20056126,【蜗牛生鲜】现货正宗四川丑柑不知火柑包邮,制作中,10000.00,253201.70,7103,4,29.90,13,0,698,2017/01/05,否,4925,5,"-4.5,,"
农业,20056291,【蜗牛生鲜】中国松露之乡采挖世界三大珍肴之一鲜松露,项目成功,10000.00,128460.00,880,3,120.00,13,0,563,2017/01/05,是,801,5,"淘宝-,,"
农业,20056301,【蜗牛生鲜】西班牙伊比利亚黑毛猪肋排,项目成功,10000.00,66468.00,552,5,69.00,11,0,157,2017/01/05,否,307,7,"淘宝-,,"
农业,20056266,【蜗牛生鲜】相遇春天的美味，临安天目山雷笋,制作中,10000.00,52260.00,1078,2,45.00,13,0,297,2017/01/05,否,699,50,"淘宝-,,"
农业,20056218,【蜗牛生鲜】从未被污染的天然味道梅州金柚沙田柚,项目成功,10000.00,30252.90,1236,2,22.00,14,2,203,2017/01/05,否,1065,3,"-,,"
农业,20056304,【蜗牛生鲜】东海野生小黄鱼鲜味足蒜瓣肉,制作中,10000.00,25110.00,568,5,23.00,14,0,152,2017/01/05,否,338,5,"淘宝-,,"
农业,20055615,【蜗牛生鲜】 冰岛十年野生淡干红极海参50g,项目成功,10000.00,35107.00,120,3,77.00,11,1,110,2016/12/27,否,91,5,"淘宝-,,"
农业,20055799,【蜗牛生鲜】秭归中华红血橙，中华名果，现摘现发,制作中,10000.00,131966.40,3173,3,28.80,17,0,612,2016/12/27,否,2039,5,"淘宝-,,"
农业,20054543,新春祈愿早餐--高邮咸鸭蛋,项目成功,50000.00,88280.00,843,7,10.00,17,10,1382,2017/01/12,否,5,2,"淘宝-,,"
农业,20056288,【蜗牛生鲜】阿拉斯加极地雪蟹,项目成功,10000.00,75744.00,603,3,95.00,17,0,320,2017/01/05,否,259,5,"淘宝-,,"
农业,20056284,【蜗牛生鲜】新疆阿克苏冰糖心苹果，现摘现发,制作中,10000.00,160329.40,2810,4,49.80,1,0,642,2017/01/05,否,2070,3,"淘宝-,,"
农业,20055951,【蜗牛生鲜】智利进口sweet heart车厘子,制作中,10000.00,542526.00,5475,4,78.00,14,0,838,2016/12/27,否,3047,10,"淘宝-,,"
农业,20055632,【蜗牛生鲜】生态大草原的健康美味：内蒙散养羔羊肉,项目成功,10000.00,23370.00,254,4,69.00,17,0,169,2016/12/27,否,151,5,"淘宝-,,"
农业,20056117,【蜗牛生鲜】一鸽胜九鸡 没有自行采食的乳鸽,项目成功,10000.00,75452.00,669,4,88.00,9,2,202,2017/01/05,否,395,5,"-,,"
