项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
动漫,20057572,【逗岛X伊泰莲娜】正版 原创设计爱逗手链|项链,筹款中,6000.00,2477.00,13,3,139.00,24,0,62,2017/04/01,否,7,60,"淘宝-,,"
动漫,20057595,一本属于我的动画片,筹款中,80000.00,25285.00,297,3,85.00,17,10,1182,2017/04/13,否,293,30,"淘宝-,,"
动漫,20058489,【逗岛×海陆通】正版丨爱逗充电，满格出行,筹款中,50000.00,4628.00,52,3,89.00,14,0,147,2017/04/01,是,52,30,"淘宝-,,"
动漫,20058644,长草颜团子卡通创意智能小夜灯,筹款中,100000.00,113860.00,480,8,58.00,10,0,605,2017/03/23,是,105,7,"淘宝-,,"
动漫,20057842,【逗岛×张小盒】拉杆箱盒我一起去旅行,筹款中,50000.00,4943.00,8,5,499.00,11,0,78,2017/03/29,是,1,30,"淘宝-,,"
动漫,20057580,【匠致心品×漫藤】萌趣石英手表,筹款中,10000.00,15587.34,108,6,99.00,8,4,347,2017/03/15,否,50,20,"淘宝-,,"
动漫,20057814,逗岛—COCLEAN守护天使空气净化器,筹款中,50000.00,58523.00,88,3,329.00,14,0,197,2017/05/01,否,87,30,"淘宝-,,"
动漫,20058351,限量款 初音未来马克杯M1701款,筹款中,20000.00,29068.00,266,3,98.00,11,0,132,2017/03/28,否,165,6,"淘宝-,,"
动漫,20057143,【许愿娃娃】正版搪胶公仔 — 遇见心中的美好,制作中,10000.00,98526.00,888,6,38.00,6,0,226,2017/02/22,否,206,30,"淘宝-,,"
动漫,20057856,囧囧书包 与爱随行 呵护成长,制作中,35000.00,42392.00,566,4,59.00,22,0,1205,2017/02/22,否,266,1,"淘宝-,,"
动漫,20057449,漫能×《画江湖之不良人》官方正版双层反向直杆晴雨伞,筹款中,10000.00,40350.00,376,12,89.00,15,2,867,2017/03/15,否,100,30,"淘宝-,,"
动漫,20057020,《双月之城》正版官方授权周边 新年首发 米炭出品,制作中,5000.00,5561.00,55,7,28.00,5,0,102,2017/03/01,否,20,30,"淘宝-,,"
动漫,20059067,《画江湖之不良人》官方正版龙泉剑模型摆件,筹款中,10000.00,9878.00,76,5,119.00,14,0,166,2017/04/10,否,56,35,"淘宝-,,"
动漫,20058304,火影《忍者之魂》青春纪念版首饰,筹款中,100000.00,6784.00,43,4,99.00,23,0,255,2017/03/27,是,10,40,"淘宝-,,"
动漫,20056993,迪士尼乳胶枕，保护颈椎带来静音舒适好睡眠,制作中,50000.00,434390.70,4384,3,19.90,20,0,6113,2017/02/21,否,2292,10,"淘宝-,,"
动漫,20056983,迪士尼正版授权—《疯狂动物城》主题系列黄金首饰,项目成功,100000.00,765880.00,358,11,880.00,5,7,11476,2017/02/16,是,119,15,"淘宝-,,"
动漫,20055895,哆来咪AR儿歌涂涂乐,筹款中,100000.00,5693.00,91,3,19.50,16,0,124,2017/03/21,是,54,20,"淘宝-,,"
动漫,20058522,初音未来众筹活动 正版周边首发 为您献礼,筹款中,50000.00,38342.40,320,9,76.00,25,0,426,2017/04/10,否,13,30,"-,,"
动漫,20054431,迪士尼45头高档家庭餐具,项目成功,10000.00,10479.00,21,1,499.00,10,4,101,2017/01/17,否,21,5,"淘宝-,,"
动漫,20055859,冷兔官方邮品众筹,项目成功,10000.00,10590.00,100,4,88.00,0,0,263,2017/01/19,否,70,10,"淘宝-,,"
动漫,20055962,艾漫原创出品 激萌柯基 柯PP抱枕 柯PP鼠标垫,制作中,20000.00,21118.00,316,3,48.00,5,0,288,2017/02/12,否,21,50,"淘宝-,,"
动漫,20055208,梁阿渣与蠢室友的那些事  官方正版周边,筹款中,50000.00,9459.00,33,11,188.00,16,0,96,2017/04/11,否,3,30,"-,,"
动漫,20055802,新年[喜物]福袋限量领，过个幸福祥和年,项目成功,50000.00,823156.00,1581,5,169.00,27,0,10012,2017/01/22,否,848,30,"淘宝-,,"
动漫,20055457,2017野兽派任性周历手记&杯垫套装 新年伴手礼,项目成功,50000.00,109986.00,1594,3,69.00,16,0,3070,2017/01/19,否,1594,30,"淘宝-,,"
动漫,20055430,UP喵潮生活记忆枕---感受零压力睡眠,项目成功,20000.00,176677.30,2365,4,19.90,12,0,374,2017/01/13,否,67,10,"淘宝-,,"
动漫,20055007,《画江湖之不良人 》龙泉青瓷与国漫的跨界,项目成功,50000.00,64828.00,306,6,128.00,19,0,169,2017/01/06,否,26,30,"淘宝-,,"
动漫,20054666,这个冬天有你在 囧囧抱枕温暖问世,项目成功,30000.00,30415.00,402,7,35.00,12,0,1096,2016/12/28,否,63,1,"淘宝-,,"
动漫,20056396,一款可以解放 双手的卡通手机壳,项目成功,10000.00,10237.00,83,5,79.00,17,0,94,2017/02/05,否,69,7,"淘宝-,,"
动漫,20055453,“仓央嘉措”官方正版定制周边,项目成功,20000.00,20632.00,138,5,88.00,11,3,174,2017/01/28,否,61,20,"淘宝-,,"
动漫,20056561,飞碟说正版周边兔表弟贴心暖手枕和呆萌兔表弟毛绒公仔,项目成功,10000.00,10204.00,76,3,89.00,1,0,30,2017/02/09,否,18,10,"-,,"
动漫,20053012,长草颜团子移动电源暖手宝，萌化成冬天里的温暖,项目成功,100000.00,106992.00,814,4,78.00,15,0,3447,2017/01/02,是,323,7,"淘宝-,,"
动漫,20053612,樱桃小丸子2017年明信片台历众筹,项目成功,2000.00,5520.00,92,1,60.00,0,0,256,2016/12/25,否,91,5,"淘宝-,,"
动漫,20054135,《你的名字》X漫踪  官方正版授权周边发布,制作中,10000.00,813269.00,9621,13,49.00,10,0,12293,2016/12/17,否,39,7,"淘宝-,,"
动漫,20053875,长草颜团子 2017新年台历礼包萌新首发,项目成功,20000.00,75192.00,2047,2,36.00,24,0,1330,2016/12/28,否,1547,10,"淘宝-,,"
动漫,20052995,Won Teddy泰迪熊 正版新品周边 少女心满满,制作中,10000.00,10897.00,79,9,45.00,5,0,263,2016/12/31,否,46,50,"淘宝-,,"
动漫,20055713,长草颜团子 百变公仔软萌首发,制作中,50000.00,53472.00,444,8,48.00,24,1,2322,2017/02/06,是,127,30,"淘宝-,,"
动漫,20053198,遥控安睡灯 接吻鱼小夜灯 投影灯,项目成功,10000.00,10488.00,276,6,38.00,0,0,305,2016/12/30,否,174,3,"淘宝-,,"
