项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
影音,20056882,沐焰出品官方正版授权《孤芳不自赏》品茗杯,项目成功,30000.00,30720.00,6,5,1800.00,16,0,32,2017/02/10,否,0,10,"淘宝-,,"
影音,20056420,【纯手工】大闹天竺匠心手作开心过年,制作中,20000.00,25501.00,271,7,36.00,29,0,136,2017/02/05,否,9,30,"淘宝-,,"
影音,20057833,古装言情剧《孤芳不自赏》官方衍生珠宝首饰,筹款中,50000.00,499.00,1,12,499.00,13,0,48,2017/04/03,否,1,45,"淘宝-,,"
影音,20054794,《夏花秋实》五色石南叶原创音乐大碟,制作中,13800.00,328884.00,2543,3,88.00,1,2,2531,2017/01/26,否,441,50,"淘宝-,,"
影音,20054193,【送电影票】Martbe·大闹天竺萌猴暖手充电宝,项目成功,100000.00,509912.00,3824,4,108.00,23,0,6593,2017/01/15,否,563,15,"淘宝-,,"
影音,20058726,《一条狗的使命》X漫踪 官方正版授权周边,筹款中,20000.00,645.00,15,4,35.00,15,0,46,2017/04/03,否,10,30,"淘宝-,,"
影音,20052767,【纯手工的独特】国家博物馆的现代新生饰物,项目成功,10000.00,16159.00,108,5,58.00,32,0,382,2016/12/23,否,53,20,"淘宝-,,"
影音,20052913,性心理师36堂课：Max你的性福力,项目成功,10000.00,181864.00,554,4,66.00,6,0,713,2016/11/30,否,454,10,"淘宝-,,"
影音,20052682,专属编码为爱定制 天猫魔盒萌趣趣礼盒定制版,项目成功,20000.00,27375.00,54,5,365.00,8,0,260,2016/12/08,否,16,10,"淘宝-,,"
影音,20052199,投资界与《非你莫属》大咖36计搞定老板,项目成功,10000.00,23040.00,876,4,25.00,10,0,3264,2016/11/30,否,851,10,"淘宝-,,"
影音,20052474,微表情神探姜振宇教你职场情场读心术,项目成功,10000.00,23127.00,363,4,49.00,5,0,2224,2016/12/01,否,241,10,"淘宝-,,"
影音,20051812,首档全程直播秀 为梦想代言 打造明星主播 苏拉文雅,项目成功,3000.00,57850.00,16010,4,5.00,9,0,85,2016/12/16,否,5203,30,"淘宝-,,"
影音,20051914,首档全程直播秀 为梦想代言 打造明星主播 妮妮,项目成功,3000.00,50768.00,11552,4,5.00,9,0,81,2016/12/16,否,510,30,"淘宝-,,"
影音,20055524,风雅集古风音乐专辑典藏精修,制作中,20000.00,26040.00,186,1,140.00,1,0,516,2017/02/26,是,184,35,"-,,"
影音,20057040,一只会“飞”的陆空两用变形鼠标 大闹天竺&开芯飞鼠,制作中,30000.00,37344.00,356,5,89.00,19,0,769,2017/03/02,是,213,45,"-,,"
影音,20057803,西游伏妖篇AR笔记本,筹款中,20000.00,132.00,2,3,66.00,0,0,39,2017/03/28,否,0,15,"淘宝-,,"
影音,20051924,首档全程直播秀 为梦想代言 打造明星主播,项目成功,3000.00,48090.00,11060,4,5.00,9,0,57,2016/12/16,否,201,30,"淘宝-,,"
影音,20053846,户外旅行移动K歌蓝牙麦克风,项目成功,100000.00,115201.00,607,5,99.00,1,0,884,2017/01/09,否,156,10,"淘宝-,,"
影音,20052549,迪士尼正版授权疯狂动物城儿童餐具5件套,项目成功,1000.00,2537.00,43,1,59.00,14,2,94,2016/12/25,否,43,7,"淘宝-,,"
影音,20049897,【国家博物馆】纯手工刺绣带来的独特视觉美学,项目成功,10000.00,21622.00,128,5,86.00,33,0,452,2016/11/21,否,20,30,"淘宝-,,"
影音,20049550,Rnningman跑男官方原版跑鞋,项目成功,100000.00,389789.00,871,18,409.00,11,0,1458,2016/11/27,否,30,30,"淘宝-,,"
影音,20045053,为恒大六连霸喝彩：官方定制系列产品震撼上市,项目成功,200000.00,393565.00,1906,20,39.00,50,0,1252,2016/11/23,是,200,30,"淘宝-,,"
影音,20051660,PEACEMINUSONE权志龙倾力打造蓝牙耳机,制作中,1000000.00,1535352.00,1554,3,988.00,1,0,12234,2016/12/16,否,1156,60,"淘宝-,,"
影音,20049538,沉睡在海底上千万年-8A玉化砗磲吊坠,项目成功,50000.00,67392.60,335,7,9.90,32,0,523,2016/11/22,否,100,5,"淘宝-,,"
影音,20049166,HBO&宅电舍《权力的游戏》联名长袖众筹巨献,项目成功,5000.00,6929.00,81,15,79.00,20,0,169,2016/11/21,否,28,25,"淘宝-,,"
影音,20049773,被遗忘的时光 蔡琴《不了情》黑胶唱片&佛山演唱会,项目成功,50000.00,64978.00,42,9,559.00,16,0,141,2016/11/29,是,27,15,"淘宝-,,"
影音,20048383,Adidas Tblar 男鞋小椰子休闲板鞋,项目成功,10000.00,23970.00,30,2,799.00,17,0,417,2016/10/11,否,15,15,"淘宝-,,"
影音,20050181,英雄再临 蝙蝠侠炫酷旅行保温杯,项目成功,10000.00,15471.00,158,9,49.00,30,0,1478,2016/12/04,否,41,5,"淘宝-,,"
影音,20050322,[国博授权文房四宝]非遗传承人手工打造,项目成功,20000.00,24265.00,12,6,699.00,23,0,123,2016/11/21,是,5,30,"淘宝-,,"
影音,20057935,王金金限量定制唱吧麦克风大礼包淘宝众筹,筹款中,200000.00,53476.00,156,3,199.00,2,0,307,2017/03/22,否,78,30,"-,,"
影音,20046506,什么？这款暴走薯片在国内找不到？,项目成功,10000.00,160610.10,3150,0,0.00,6,0,1595,2016/10/09,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,20045834,【非遗传承人手工打造文房用品】国博授权再现稀世国宝,项目成功,30000.00,101893.00,52,6,699.00,30,0,417,2016/10/20,是,14,45,"淘宝-,,"
影音,20046105,【纯手工的独特】 国博正版授权手工刺绣饰物,项目成功,6000.00,68876.00,377,5,98.00,29,2,1782,2016/10/03,否,93,30,"淘宝-,,"
影音,20046040,PH7 X 中国国家博物馆 以古典展示美,项目成功,3000.00,44864.00,152,9,247.00,8,0,1115,2016/10/04,否,32,60,"淘宝-,,"
影音,20048453,心时纪·鸟巢大型国风主题演唱会 纪念DVD,项目成功,200000.00,720327.00,4683,4,109.00,4,0,3680,2016/11/16,否,2285,45,"淘宝-,,"
影音,20045787,国家博物馆雨伞天堂伞以匠心贺国礼 不容青史尽成灰,制作中,20000.00,253356.00,1964,5,129.00,14,0,5866,2016/10/14,否,134,60,"淘宝-,,"
影音,20046398,雪糕无线充电宝 一酷到底  梦龙跨界合作单品,项目成功,50000.00,51590.00,210,6,99.00,15,0,2178,2016/10/10,否,4,3,"淘宝-,,"
影音,20044832,写意窗饰，艺术家居-梵高正版授权数码印花窗帘,制作中,1000.00,8642.00,29,4,298.00,33,0,227,2016/09/11,是,7,20,"淘宝-,,"
影音,20048582,《魏岁纪年录》三国原创音乐故事专辑,项目成功,10000.00,203710.00,1355,2,98.00,6,1,939,2016/11/01,是,567,60,"淘宝-,,"
影音,20044138,青云志官方授权海盗船银饰原创设计正版剧款银手链众筹,项目成功,10000.00,34471.00,89,9,359.00,17,0,265,2016/09/15,是,87,40,"淘宝-,,"
影音,10092028,PH7 X 梵高 以杏花为名打造银饰艺术,项目成功,3000.00,37415.00,125,5,167.00,7,0,1077,2016/09/11,否,12,45,"淘宝-,,"
影音,10090760,盗墓笔记电影官方授权 七星盗笔鲁班锁十年之约U盘印,项目成功,20000.00,89746.00,212,7,299.00,19,0,942,2016/09/02,是,61,60,"淘宝-,,"
影音,20046833,【幸运石X幻城】正版周边众筹,项目成功,10000.00,12324.00,78,3,98.00,11,0,290,2016/10/14,是,7,30,"-,,"
影音,20046149,《九条命》联合三浅陶社电影官方合作款,项目成功,50000.00,69239.00,541,7,99.00,23,0,879,2016/10/09,否,276,15,"-,,"
影音,10090769,盗墓笔记电影官方授权 正宗的盗墓笔记本配巫师面具笔,项目成功,20000.00,63146.00,267,3,168.00,25,0,667,2016/09/01,是,4,60,"淘宝-,,"
影音,10090766,盗墓笔记电影官方授权 老九门信物铜钱手链吊坠徽章,项目成功,20000.00,22946.00,168,3,58.00,19,0,676,2016/09/01,是,21,60,"淘宝-,,"
影音,10090777,盗墓笔记电影官方授权 三叔钦点黑金古刀伞 配吴邪包,项目成功,20000.00,182550.00,805,3,198.00,28,0,3291,2016/09/01,是,653,60,"淘宝-,,"
影音,20050154,相爱穿梭千年2官方周边首发，赢发布会门票,项目成功,10000.00,102346.00,1191,5,45.00,20,0,130,2016/11/20,否,114,30,"-,,"
影音,10091210,《盗墓笔记》吴邪 张起灵系列明信片&邮折&邮册,项目成功,5000.00,5355.00,54,9,15.00,4,0,66,2016/09/01,否,1,35,"淘宝-4.9,4.9,4.9"
影音,10091245,《花样男团》官方周边——邀你赴一场神秘东欧之旅,项目成功,10000.00,50445.00,356,4,25.00,12,0,58,2016/08/29,是,0,30,"淘宝-,,"
影音,10087088,《十三亿分贝》官方周边众筹——唱响乡音计划,项目成功,10000.00,47147.00,482,15,40.00,15,0,167,2016/08/29,否,14,30,"淘宝-,,"
影音,10091247,《半妖倾城》官方周边产品妖力启动,项目成功,10000.00,51358.00,686,6,68.00,19,0,66,2016/08/29,是,215,30,"淘宝-,,"
影音,20045888,十八纸国画凳，致敬山水国画大师,项目成功,10000.00,27950.00,250,5,99.00,31,0,866,2016/09/29,否,149,45,"淘宝-,,"
影音,10089267,晨光携手 摇滚藏獒 电影旅行笔记本套装,项目成功,5000.00,5162.00,58,4,89.00,13,0,156,2016/08/15,否,58,10,"淘宝-,,"
影音,10088335,乐事吴亦凡款定制笑脸包,项目成功,1990.00,17951.00,29,3,69.00,9,0,372,2016/07/24,是,13,10,"淘宝-,,"
影音,20046178,电视剧微微一笑很倾城官方授权耳机周边,项目成功,10000.00,13036.80,281,4,9.90,8,0,285,2016/10/02,否,142,15,"淘宝-,,"
影音,10090953,《最强女团》以梦想之名邀你放飞青春,项目成功,45000.00,51535.00,215,6,109.00,8,0,3152,2016/09/12,否,125,15,"淘宝-,,"
影音,10087897,晨光携手梵高旅行笔记本套装-向艺术巨匠致敬！,项目成功,10000.00,41871.00,396,4,99.00,14,0,1592,2016/09/06,否,2000,60,"淘宝-,,"
影音,10086820,HIPANDA&赏金猎人 联合跨界合作,项目成功,10000.00,10080.00,35,6,188.00,9,2,174,2016/07/12,否,9,10,"淘宝-,,"
影音,10085457,黑暗骑士：蝙蝠侠仲夏之夜杯壶系列,项目成功,10000.00,13351.30,202,7,9.90,8,0,2331,2016/07/25,否,37,10,"淘宝-,,"
影音,20044330,小别离官方衍生品，小别离剧中同款服饰,项目成功,10000.00,10364.00,39,9,178.00,1,0,102,2016/09/16,否,7,7,"淘宝-,,"
影音,10080639,经典永恒致敬梵高-MGS曼古银,项目成功,10000.00,32414.00,73,7,298.00,15,0,1085,2016/07/20,否,19,10,"淘宝-,,"
影音,10079857,激扬十年，青春回荡，魔兽电影正版邮品众筹,项目成功,5000.00,13529.00,79,0,0.00,2,0,137,2016/06/16,否,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10082181,HBO&宅电舍《权力的游戏》联名T恤众筹巨献,项目成功,10000.00,14994.00,126,8,119.00,13,0,188,2016/07/04,否,75,30,"淘宝-,,"
影音,10086877,黄小蕾 蕾女LADY LEI 蝙蝠守护系列勇敢来袭,项目成功,10000.00,13506.00,59,5,188.00,7,0,111,2016/08/17,是,23,20,"淘宝-,,"
影音,10079687,HIPANDA&陈梓童 联合跨界合作,项目成功,10000.00,14261.00,50,8,198.00,8,1,196,2016/05/30,否,17,10,"淘宝-,,"
影音,10077828,STAYREAL最潮魔兽联名 限时众筹开启,项目成功,50000.00,1201937.00,6393,16,69.00,54,0,3198,2016/05/20,否,1200,30,"淘宝-,,"
影音,10077762,《御华万里》历史向古风专辑_暑期众筹专场,项目成功,10000.00,235620.00,1460,2,108.00,4,0,1368,2016/05/31,是,161,3,"淘宝-,,"
影音,10090788,堂皇&《幻城》联合出品纯棉3D数码印花四件套刃雪城,项目成功,5000.00,27118.00,82,6,299.00,20,1,4421,2016/08/31,是,26,30,"淘宝-,,"
影音,10082086,《魔兽世界》官方授权 魔吻首饰原创设计饰品,项目成功,20000.00,88462.00,154,5,289.00,11,0,1022,2016/07/04,是,83,25,"淘宝-,,"
影音,10073327,暗杠独立专辑 【一念。】,项目成功,222222.00,428548.00,3646,2,88.00,0,0,1819,2016/07/23,是,3354,80,"淘宝-,,"
影音,20044167,《青云志》官方授权美瑶专属明信片&定制餐具&单肩包,项目成功,1000.00,1695.00,32,9,19.90,8,0,73,2016/09/14,是,20,30,"-,,"
影音,10073034,《魔兽》电影正版授权手办,项目成功,50000.00,87030.00,312,0,0.00,15,0,1772,2016/05/16,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10089317,香飘飘×《老九门》定制款奶茶 官方授权为盗墓迷而生,项目成功,20000.00,47879.00,811,8,9.90,15,0,1083,2016/08/18,否,118,15,"-,,"
影音,10072445,梦想的青春不迷茫—PH7,项目成功,5000.00,7303.00,40,6,99.00,4,0,520,2016/05/16,否,3,60,"淘宝-,,"
影音,10064388,找寻遗失的千古功法，一本让你内外兼修的健身秘籍,项目成功,20000.00,143109.00,1511,5,69.00,20,1,3296,2016/06/11,是,818,30,"淘宝-,,"
影音,10069648,电影《谁的青春不迷茫》X 零听圆目 眼茫茫3D眼罩,项目成功,5000.00,5385.00,64,7,39.90,0,2,740,2016/05/01,否,22,7,"淘宝-,,"
影音,10069812,《蝙蝠侠大战超人》守护黑夜 蝙超信号灯蓝牙音响,项目成功,10000.00,200186.00,502,6,299.00,17,0,876,2016/04/30,是,340,7,"淘宝-,,"
影音,10069064,《蝙蝠侠大战超人：正义黎明 》电影邮品火热来袭,项目成功,5000.00,6022.00,53,0,0.00,1,1,138,2016/05/03,否,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10069788,魔吻首饰蝙蝠侠和超人系列首饰,项目成功,50000.00,121898.00,199,10,199.00,22,0,620,2016/05/11,是,21,25,"淘宝-,,"
影音,10065735,说好会再见的，不是吗？张国荣《缘分》主题活动众筹,制作中,10000.00,11112.00,38,4,20.00,13,0,127,2016/03/30,否,30,2,"淘宝-,,"
影音,10079224,《弦外之音》- 金弦首张个人专辑,项目成功,100000.00,362076.00,2217,3,108.00,5,0,1333,2016/06/22,是,682,60,"淘宝-,,"
影音,10066455,蝙蝠侠系列骑士精神保温杯、玻璃杯、马克杯套装,项目成功,10000.00,54768.40,676,8,9.90,5,1,2976,2016/04/15,否,116,5,"淘宝-,,"
影音,10069863,歪歪兔的幼小衔接自我管理故事,项目成功,10000.00,10960.00,80,3,99.00,14,2,87,2016/05/01,否,40,30,"淘宝-,,"
影音,10070729,幻城官方周边定制版暴风vr眼镜——体验幻城世界,项目成功,117000.00,135713.00,2333,4,39.00,13,0,2595,2016/05/01,否,2316,30,"淘宝-,,"
影音,10060609,《寻ME·独偶》原创音乐主题故事汇“寻ME”二专,项目成功,50000.00,229719.00,1481,0,0.00,8,2,1660,2016/03/16,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10087338,墨明棋妙原创音乐团队十周年汉元素纪念开衫众筹,项目成功,180000.00,260932.20,2221,11,1.99,2,1,1683,2016/07/27,否,781,40,"-,,"
影音,10075137,奇然音乐专辑《奇23》,项目成功,100000.00,787575.00,10775,2,33.00,1,0,7060,2016/06/01,否,7777,60,"-,,"
影音,10056632,HIPANDA你好熊猫&陈赫 牵手系列产品巨献,项目成功,5000.00,112098.00,416,8,98.00,6,1,950,2016/01/09,否,25,15,"淘宝-,,"
影音,10053526,爱情公寓《你的月亮我的心》网络电台众筹,项目成功,100000.00,100663.00,1240,0,0.00,12,0,1000,2016/01/17,否,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10055554,得力携手万万没想到大电影 官方授权跨界新品,项目成功,50000.00,57229.00,828,9,29.00,19,3,367,2016/01/16,是,200,10,"淘宝-,,"
影音,10053559,《西游记之孙悟空三打白骨精》独家授权周边抢先发售,制作中,10000.00,22680.00,62,5,99.00,13,0,174,2016/01/12,是,10,7,"淘宝-,,"
影音,10052821,星球大战黑暗战士凯洛·伦青铜雕像,项目成功,1977.00,5638.00,5638,1,0.00,8,2,3761,2015/12/14,否,5638,30,"淘宝-,,"
影音,10049319,河图音乐专辑《NL不分》,制作中,383838.00,1893680.00,18210,4,55.00,4,0,14982,2015/11/30,否,871,60,"淘宝-,,"
影音,10059769,西游记之三打白骨精周边衍生品,项目成功,20000.00,47378.00,357,5,48.00,20,3,281,2016/03/11,是,110,30,"淘宝-,,"
影音,10048752,泰勒·斯威夫特潮牌新品众筹 演唱会合影机会等你来,项目成功,10000.00,66362.00,490,0,0.00,12,0,825,2015/11/06,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10045748,再遇梵高—PH7，致敬不朽的大师,项目成功,20000.00,58037.00,270,8,129.00,23,0,784,2015/11/12,否,43,45,"淘宝-,,"
影音,10046281,梵高/朱炳仁铜 首饰系列 125周年纪念版正版授权,项目成功,10000.00,11760.00,87,5,80.00,7,0,295,2015/11/13,否,34,30,"淘宝-,,"
影音,10066426,《次元·宅心集》主题音乐大碟,项目成功,10000.00,93012.00,625,3,88.00,6,0,884,2016/04/26,是,66,40,"淘宝-,,"
影音,10046286,梵高/朱炳仁铜 文具系列 125周年纪念版正版授权,项目成功,10000.00,40336.00,307,4,72.00,9,0,434,2015/11/13,是,155,30,"淘宝-,,"
影音,10047401,TOMIC/特美刻梵高纪念版<高档保温杯/居家壶>,项目成功,100000.00,133757.00,756,7,99.00,24,0,1201,2015/11/13,否,87,40,"淘宝-,,"
影音,10045598,再遇梵高-天堂伞-让不朽的艺术更长久,项目成功,20000.00,311755.00,2785,12,99.00,15,0,3355,2015/11/13,否,795,60,"淘宝-,,"
影音,10063904,《天雨流芳》晃儿第二张音乐大碟,项目成功,50000.00,147906.00,1494,1,99.00,4,2,771,2016/03/31,否,1496,60,"淘宝-,,"
影音,10062753,官方Q版角色手办，带苏苏、小霸王、邪邪、深深等回家,项目成功,300000.00,1400214.00,1897,7,198.00,4,0,1613,2016/04/04,否,92,30,"-,,"
影音,10045427,JmGO坚果P1炫彩生活版 随身智能投影仪,项目成功,100000.00,4230721.00,5587,6,1999.00,39,0,13501,2015/11/12,是,226,3,"淘宝-,,"
影音,10045907,《蚁人》Ant-Man迷你英雄主题饰品系列,项目成功,20000.00,27686.00,165,0,0.00,17,0,350,2015/11/10,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10044451,晨光携手梵高博物馆 官方限量“超梵”文具套装,项目成功,100000.00,186111.00,1836,4,89.00,18,0,1762,2015/10/23,否,500,45,"淘宝-,,"
影音,10058974,【星球大战：原力觉醒】独家授权时尚组合包,项目成功,10000.00,11396.00,44,3,129.00,7,0,164,2016/02/08,否,33,30,"淘宝-,,"
影音,10075061,上海滩音乐剧官方纪念品,项目成功,10000.00,11299.00,101,6,58.00,17,0,197,2016/06/04,否,39,30,"-,,"
影音,10045755,荷兰梵高博物馆授权版画，再现大师作品，值得收藏！,项目成功,20000.00,232118.00,302,16,139.00,41,0,1237,2015/11/13,否,41,30,"-,,"
影音,10044460,荷兰梵高博物馆授权版画，忠于原作，值得收藏！,项目成功,20000.00,219391.00,393,15,139.00,40,0,838,2015/10/23,否,145,30,"-,,"
影音,10044466,雷柏梵高定制版无线鼠标,项目成功,69000.00,77005.00,1105,4,69.00,1,0,1072,2015/10/23,否,678,30,"淘宝-,,"
影音,10044516,杏花初开 全棉帆布印花布艺餐桌布,项目成功,11800.00,112867.00,1913,1,59.00,11,0,1755,2015/10/22,否,1905,20,"淘宝-,,"
影音,10044507,【佳彩天颜】梵高名画系列之数字油画—0基础绘画,项目成功,10000.00,48910.00,1210,10,29.00,14,0,946,2015/10/23,否,233,30,"淘宝-,,"
影音,10044514,【渴望生活 致敬梵高】 多喜爱家纺抱枕专场,项目成功,10000.00,301808.00,3422,10,49.00,4,0,2782,2015/10/23,否,536,30,"淘宝-,,"
影音,10044529,杏树花开，写意窗饰-梵高正版授权数码印花艺术窗帘,项目成功,5000.00,89605.00,248,12,226.00,13,3,1212,2015/10/23,否,50,30,"淘宝-,,"
影音,10047417,再遇梵高 ame数码手机壳平板保护壳,项目成功,12000.00,39139.00,891,14,29.00,17,0,702,2015/11/13,否,98,30,"淘宝-,,"
影音,10044205,【正版授权】【梵高经典】ame手机/平板保护系列,项目成功,12000.00,67400.00,1834,17,29.00,11,2,1411,2015/10/23,否,73,30,"淘宝-,,"
影音,10044541,梵高名画系列宠物服饰,项目成功,20000.00,34398.00,882,12,39.00,22,1,1116,2015/10/23,否,67,20,"淘宝-,,"
影音,10044564,【正版授权】【梵高经典】ame笔记本电脑保护套系列,项目成功,15000.00,24303.00,259,12,79.00,12,1,665,2015/10/23,否,193,15,"淘宝-,,"
影音,10044384,印象梵高————致敬大师,项目成功,20000.00,222677.00,1153,12,88.00,11,0,1836,2015/10/23,否,100,25,"淘宝-,,"
影音,10044401,LOVO乐我家纺 梵高 盛开的杏树 全棉贡缎四件套,项目成功,50000.00,667007.00,1733,3,299.00,7,0,3910,2015/10/23,否,100,30,"淘宝-,,"
影音,10044553,TOMIC/特美刻梵高纪念版（保温杯/居家壶）,项目成功,100000.00,340777.00,2137,16,89.00,29,0,2827,2015/10/23,否,300,40,"淘宝-,,"
影音,20040490,碟中谍5富朗达定制款苹果6/6pls无线快充套装,项目成功,10000.00,44160.00,283,7,60.00,27,5,1033,2015/09/19,否,42,20,"淘宝-,,"
影音,10044452,再遇梵高-天堂伞，向热烈而又癫狂的灵魂致敬！,项目成功,20000.00,988541.00,7849,12,99.00,14,0,9413,2015/10/22,否,1999,60,"淘宝-,,"
影音,20040834,来自谍中谍5-神秘国度的定制双肩女包优哈全球首发,项目成功,10000.00,25616.00,284,5,79.00,11,0,804,2015/09/24,是,39,10,"淘宝-,,"
影音,20040611,周大福x《三城记》定制玉佩—献给挚爱的你,项目成功,82700.00,86490.00,10,7,4500.00,2,0,289,2015/09/18,是,0,25,"淘宝-,,"
影音,20040811,《碟中谍5》官方定制 – emie能量刀锋移动电源,项目成功,100000.00,113215.00,245,6,279.00,11,0,838,2015/09/19,否,33,45,"淘宝-,,"
影音,10040330,来自碟中谍5-神秘国度的创意手枪雨伞 全球首发,项目成功,69600.00,74758.00,1151,4,58.00,16,0,1276,2015/09/28,是,1021,25,"淘宝-,,"
影音,10036278,碟中谍5限量定制伞首发，致敬经典,项目成功,20000.00,35153.00,338,0,0.00,20,0,453,2015/09/23,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10044550,【Ijarl 致敬梵高】高端餐具打造餐桌上的艺术,项目成功,50000.00,555081.00,6790,13,29.90,17,4,6217,2015/10/23,否,1016,30,"-,,"
影音,20040602,碟中谍5 飞机玩偶全宇宙首发 震撼来临,项目成功,48000.00,48788.00,716,3,48.00,17,1,448,2015/09/29,是,415,25,"淘宝-,,"
影音,20040356,《碟中谍5》官方正版授权周边玻璃杯、保温杯,项目成功,10000.00,30504.00,535,15,2.00,11,1,504,2015/10/03,是,31,30,"淘宝-,,"
影音,10044517,"娶豪车回家!仅500席,梦想照进现实!",项目成功,20000.00,159291.00,109,2,1399.00,5,1,705,2015/10/30,是,41,30,"-,,"
影音,20040437,《碟中谍5：神秘国度》汤姆克鲁斯特工主题饰品系列,项目成功,10000.00,30868.00,123,0,0.00,18,2,359,2015/09/27,是,NOTFOUND,NOTFOUND,"淘宝-,,"
影音,10039265,HIPANDA GD国内首次代言系列产品钜献,项目成功,10000.00,24076.00,32,11,268.00,5,0,173,2015/08/31,是,1,15,"淘宝-,,"
