项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
游戏,20047902,三国杀”一舞倾城“貂蝉手办,制作中,200000.00,515862.00,2112,3,888.00,24,0,3663,2016/11/12,否,67,15,"天猫-4.8,4.8,"
游戏,10063272,降落在手机上的《雷霆战机》专属定制游戏周边,项目成功,30000.00,33545.90,460,3,59.90,5,0,615,2016/04/03,否,175,45,"淘宝-4.7,4.7,4.7"
游戏,10039780,有“芯”真好 M6V纪念盘限量版,项目成功,100000.00,100110.00,290,3,199.00,13,0,354,2015/10/03,否,20,30,"天猫-4.8,4.8,4.7"
游戏,29859,三国杀官方授权邮品限量首发,项目成功,6000.00,6834.00,63,0,0.00,2,0,173,2015/07/28,否,NOTFOUND,NOTFOUND,"淘宝-,,"
游戏,20055983,抵抗焦虑减压神器 解压骰子烦躁魔方方块玩具,制作中,10000.00,57416.00,1144,6,42.00,17,0,3392,2017/01/27,否,500,4,"淘宝-4.5,4.5,4.6"
游戏,20056598,减压魔方二代——抗压力手痒烦躁骰子,筹款中,20000.00,49400.00,475,4,69.00,20,0,1071,2017/03/24,否,200,1,"淘宝-4.5,4.5,4.6"
游戏,20631,无户外不青春 我的马拉松 我的帐篷节,项目成功,20000.00,21816.00,173,0,0.00,25,0,125,2015/05/13,否,NOTFOUND,NOTFOUND,"淘宝-,,"
游戏,20048817,《少年三国志》官方手办众筹首发,制作中,450000.00,482244.00,1196,9,28.00,4,4,1115,2016/11/22,否,387,30,"淘宝-4.9,4.9,4.9"
游戏,20058600,清源游侠传——中国武侠风集换式卡牌游戏,筹款中,20000.00,18720.00,388,2,30.00,4,2,272,2017/04/03,否,34,10,"淘宝-5.0,5.0,5.0"
游戏,6851,移动游戏实体化《Neroshima》众筹汉化,项目成功,20000.00,33861.00,807,5,5.00,10,3,189,2015/02/21,否,628,60,"淘宝-5.0,5.0,5.0"
游戏,20045929,Otlive 末日求生主题桌游,制作中,10000.00,201730.00,382,6,338.00,11,10,1197,2017/01/07,是,69,150,"淘宝-5.0,5.0,5.0"
游戏,10045014,罗技G633 RGB7.1 环绕声游戏耳机,项目成功,100000.00,162539.00,261,3,499.00,4,0,1686,2015/11/13,是,33,30,"-4.8,4.8,4.8"
游戏,4615,卡牌游戏扛鼎之作三国杀TCG《阵面对决》公开赛,项目成功,100000.00,102060.00,142,0,0.00,7,0,33,2015/01/06,否,NOTFOUND,NOTFOUND,"淘宝-,,"
游戏,4062,唐伯虎點秋香——爱，就大声说出来！助您表白的桌游！,项目成功,10000.00,10048.00,58,5,5.00,20,0,46,2014/12/14,是,6,15,"淘宝-5.0,5.0,5.0"
游戏,2747,“多元智能魔方”创新亲子互动教育桌面游戏,项目成功,15000.00,15410.00,68,11,10.00,24,0,113,2014/11/27,否,10,60,"淘宝-4.9,4.9,4.9"
游戏,2120,《锦鲤》中文版：东方风韵，桌游界的小清新！,项目成功,5000.00,14526.00,188,7,3.00,9,10,152,2014/10/24,否,17,10,"-4.8,4.8,4.9"
游戏,10478,《齐柏林飞艇》鏖战苍穹！,项目成功,7000.00,29311.00,299,9,39.00,20,10,120,2015/03/11,否,124,30,"-4.8,4.8,4.9"
游戏,23504,《锦树》——卧梅幽闻花，桌游界的小清新又来了！,项目成功,5000.00,25385.00,290,10,10.00,9,7,216,2015/06/15,否,43,30,"-4.8,4.8,4.9"
游戏,14532,PM2.5爆表 远离雾霾 51长假带上帐篷去踏青,项目成功,50000.00,51117.00,250,5,23.80,23,0,616,2015/04/18,否,15,5,"淘宝-4.7,4.7,4.8"
游戏,1246,[私人定制]《DOTA2》屠夫手办 尺寸史无前例,项目成功,5000.00,14723.00,49,0,0.00,0,0,132,2014/08/14,否,NOTFOUND,NOTFOUND,"淘宝-,,"
游戏,14667,让愚人节更“有味”，史上最逗比的玩味整蛊,项目成功,2000.00,2782.00,60,8,69.00,14,0,173,2015/03/29,是,1,2,"-4.9,4.9,4.9"
游戏,818,《狩魔猎人》——经典电游The Witcher实体版,项目成功,30000.00,41326.00,132,5,298.00,14,0,143,2014/10/02,是,114,180,"淘宝-4.9,4.9,4.9"
游戏,624,魔戒中文版基础版噩梦套牌POD,项目成功,16000.00,19940.00,144,0,0.00,17,2,28,2014/07/10,否,NOTFOUND,NOTFOUND,"淘宝-4.9,4.9,4.9"
游戏,20045774,《魔域》战神竞技场 胆色俱全！热血开黑！,制作中,100000.00,428860.00,5333,9,50.00,7,0,360,2016/10/11,否,4732,10,"-4.8,4.8,4.7"
游戏,1516,有爱又有策略的原创桌游《MIAO!决战旺星》,项目成功,18000.00,18168.00,96,8,10.00,15,0,123,2014/09/14,否,6,45,"-5.0,5.0,5.0"
游戏,243,夏达《子不语》改编手游1元点赞,项目成功,40000.00,76661.30,2126,4,9.90,2,0,376,2014/05/30,否,706,30,"淘宝-,,"
