项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
科技,20058705,海信590升风冷无霜静音冰箱,筹款中,100000.00,21392.00,8,4,1999.00,12,0,544,2017/03/17,否,1,30,"淘宝-,,"
科技,20058970,喜马拉雅蓝牙智能降噪耳机 B6  诠释音乐之美！,筹款中,100000.00,865259.00,1241,4,688.00,20,0,1456,2017/04/08,否,200,20,"淘宝-,,"
科技,20058846,不用电池的自行车灯，自发电尾灯，极简安全,筹款中,100000.00,110858.30,2996,7,25.90,8,0,792,2017/04/08,否,200,30,"淘宝-,,"
科技,20058620,宝宝跟鼻涕说拜拜~棒米电动吸鼻器,筹款中,200000.00,2150870.00,5848,6,228.00,16,0,11100,2017/04/07,否,100,30,"淘宝-,,"
科技,20059006,VR暴风魔镜新品小Q，有魔性的小耳朵！,筹款中,200000.00,14817.00,167,3,88.00,17,2,1439,2017/03/31,否,157,10,"淘宝-,,"
科技,20058948,Loona 人工智能魔镜,筹款中,100000.00,652738.00,261,6,1888.00,15,0,5697,2017/04/18,否,5,10,"淘宝-,,"
科技,20058866,初栀---容量切换苹果专用背夹充电宝,筹款中,100000.00,11278.00,72,9,119.00,20,0,2272,2017/04/09,是,10,30,"淘宝-,,"
科技,20058623,SWEET智能音响香薰机，当香薰遇见音乐,筹款中,100000.00,117522.00,410,8,15.00,10,0,2108,2017/04/20,否,12,10,"-,,"
科技,20058785,海尔9公斤智能消毒洗衣,筹款中,100000.00,68137.00,63,3,999.00,2,0,532,2017/04/05,否,50,30,"淘宝-,,"
科技,20058701,骆力克 概念便携式双喇叭蓝牙音箱,筹款中,100000.00,4044.00,23,4,168.00,9,0,134,2017/04/11,否,22,30,"淘宝-,,"
科技,20058327,改变开车陋习——您的智能语音驾驶助手,筹款中,100000.00,1644754.00,13668,6,99.00,21,0,2658,2017/04/14,否,5000,30,"淘宝-,,"
科技,20058935,微鲸智能投影K1，限量发售陈伟霆签名版,筹款中,100000.00,66751.00,703,7,2399.00,24,0,1553,2017/04/08,否,12,30,"-,,"
科技,20058859,便携式智能MINI按摩器，全新按摩体验！,筹款中,100000.00,416424.30,12175,3,19.90,11,0,3023,2017/04/06,是,10377,25,"淘宝-,,"
科技,20058421,真无霜！容声249L双门风冷冰箱,筹款中,100000.00,26485.00,15,4,1699.00,9,0,149,2017/03/23,否,-176,20,"淘宝-,,"
科技,20058466,AtoBot S：人工智能行车记录仪,筹款中,100000.00,173304.00,296,2,559.00,32,0,1841,2017/04/12,否,100,30,"淘宝-,,"
科技,20057765,全自动擦地机器人，告别擦地烦恼,筹款中,100000.00,78120.00,29,4,1680.00,15,0,5301,2017/04/02,是,17,10,"淘宝-,,"
科技,20058723,im幻响 糖三角蓝牙音响 让生活更甜一点,筹款中,100000.00,107153.00,935,9,69.00,26,0,512,2017/04/11,否,100,20,"淘宝-,,"
科技,20058400,分离式双耳无线耳机 隐形藏入你的耳朵,筹款中,100000.00,318891.00,1209,8,239.00,23,0,7873,2017/04/03,否,100,25,"淘宝-,,"
科技,20058587,"搭健康智能空气净化器-杀灭病菌,消除异味",筹款中,100000.00,423022.00,718,8,469.00,24,0,415,2017/04/02,是,411,30,"淘宝-,,"
科技,20058732,iYoee用手机更换音乐的车载U盘,筹款中,100000.00,362920.00,396,3,198.00,20,0,677,2017/04/09,否,302,30,"淘宝-,,"
