项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
设计,20058618,#不贴片更好用#，纳米无磁车载支架,筹款中,100000.00,225058.00,1636,4,68.00,11,0,644,2017/04/15,是,926,15,"淘宝-5.0,5.0,5.0"
设计,20058779,Mr.Box表情帝收纳柜，主人的收纳神器,筹款中,50000.00,51356.00,505,2,49.00,33,0,550,2017/04/01,否,416,15,"淘宝-5.0,5.0,5.0"
设计,20058444,写石派许愿狐造型铅笔,筹款中,50000.00,2521.00,29,8,79.00,3,0,649,2017/04/04,否,11,30,"淘宝-5.0,5.0,5.0"
设计,20058765,禅语无声 拥有崖柏 拥有奇迹,筹款中,50000.00,35344.40,104,11,29.90,13,0,181,2017/04/16,否,26,3,"淘宝-5.0,5.0,5.0"
设计,20058797,浪莎芙蓉裤，磁疗暖宫,筹款中,50000.00,428476.00,1674,3,68.00,14,0,511,2017/04/08,否,266,30,"淘宝-5.0,5.0,5.0"
设计,20054733,执箸定制礼品筷子7.8mm环保健康,筹款中,30000.00,13928.90,491,5,16.90,10,0,635,2017/03/30,是,10,30,"淘宝-,,"
设计,20058393,简壶－原创原矿全手工紫砂壶功夫茶壶,筹款中,50000.00,12085.00,29,9,48.00,12,0,664,2017/04/21,否,1,30,"淘宝-5.0,5.0,5.0"
设计,20058320,【水泥+陶瓷】烟灰缸 |原创设计干湿分离,筹款中,60000.00,12786.00,94,8,66.00,13,6,2229,2017/04/06,否,66,60,"淘宝-5.0,5.0,5.0"
设计,20057936,一款能缓解颈椎疲劳，加深睡眠的羽绒枕头。,筹款中,100000.00,68889.50,407,6,39.90,61,2,1730,2017/04/09,否,225,30,"淘宝-,,"
设计,20048392,USB智能快充折叠插线板,筹款中,100000.00,88265.00,683,16,49.00,29,1,716,2017/04/08,否,37,30,"淘宝-5.0,5.0,5.0"
设计,20057348,S925银齿轮戒指,筹款中,50000.00,16020.00,13,4,880.00,15,0,735,2017/03/30,是,4,7,"天猫-4.8,4.8,4.7"
设计,20055634,国家玉雕大师设计 传承玉文化,筹款中,50000.00,99438.00,84,8,98.00,28,0,4994,2017/03/25,否,22,30,"天猫-4.8,4.8,4.8"
设计,20058360,传世绝版孤品--四大名陶 荣昌陶,筹款中,50000.00,350842.00,463,6,65.00,10,0,4527,2017/04/03,是,7,60,"淘宝-5.0,5.0,5.0"
设计,20056716,法国BAG++时尚智能桶包,筹款中,50000.00,53589.00,126,3,299.00,24,2,911,2017/03/24,是,111,7,"淘宝-4.6,4.6,4.6"
设计,20057012,我与爱情有个约定 14K玫瑰金系列之 单车爱情,筹款中,50000.00,30030.00,65,12,298.00,24,0,1273,2017/03/28,否,8,5,"天猫-4.8,4.8,4.8"
设计,20057038,一【箱】呈现  放飞激情！,筹款中,50000.00,50680.00,26,6,1880.00,10,0,2175,2017/04/22,否,16,30,"天猫-4.8,4.8,4.8"
设计,20057656,MARSEVEN 设计师原创羽毛点翠首饰,筹款中,50000.00,53660.00,99,8,118.00,18,0,782,2017/03/23,是,59,30,"淘宝-5.0,5.0,5.0"
设计,20057200,早起鸡－入眠唤醒灯、闹钟、贪睡、延时关灯,筹款中,90000.00,20217.00,143,7,129.00,9,0,971,2017/03/23,是,100,30,"淘宝-4.9,4.9,4.9"
设计,20057907,【护颈手机支架】护颈专家释放颈椎压力,筹款中,100000.00,128676.00,588,4,118.00,25,0,1021,2017/04/02,否,84,15,"天猫-4.9,4.9,4.8"
设计,20058508,【曾经我有一只可爱的小狗】纯银宠物萌狗戒,筹款中,50000.00,27742.00,116,5,128.00,25,0,198,2017/04/02,否,17,5,"天猫-4.8,4.8,4.8"
设计,20057413,一把颠覆传统理念的神奇多功能剪刀,筹款中,50000.00,59190.00,570,6,69.00,22,0,2306,2017/03/26,是,500,7,"淘宝-4.6,4.6,4.7"
设计,20058057,【爱情的牙齿】一款让人爱到无法自拔的爱情项链,筹款中,50000.00,43642.00,72,6,78.00,20,0,169,2017/03/23,否,15,5,"天猫-4.8,4.8,4.8"
设计,20057771,可以改变你认知的明火直烧陶瓷汤锅，既是锅又是碗,筹款中,50000.00,906566.00,1814,9,58.00,15,1,1670,2017/03/21,是,408,5,"淘宝-4.8,4.8,4.8"
设计,20057190,2017年贺岁礼物 生肖小鸡吊饰,筹款中,50000.00,3658.00,19,3,128.00,15,0,154,2017/03/18,否,9,30,"淘宝-4.5,4.5,4.7"
设计,20057715,志远壶，原创原矿全手工紫砂壶功夫茶壶,筹款中,50000.00,258198.00,1178,4,20.00,7,0,1229,2017/04/02,否,209,30,"淘宝-,,"
设计,20056217,龙泉宝剑 中华老字号沈广隆 冷月汉武剑,筹款中,50000.00,861558.00,1207,3,255.00,20,0,12669,2017/04/07,是,885,30,"淘宝-5.0,5.0,5.0"
