项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
公益,159880,“走近院士 放飞梦想”——校园赠书众筹活动,已成功,88000,88888,19546,10,1.00,8,22,329,是,181,16656,项目成功结束后立即发货,北京,已经结束
公益,199606,慰问受阅领队机部队,已成功,30000,30022,2983,4,10.00,8,8,38,是,60,2916,项目成功结束后10天内,上海,已经结束
公益,144301,格萨尔王藏文化技艺园爱心众筹,已成功,100000,300150,2803,6,10.00,16,4,187,否,271,1741,项目成功结束后立即发货,四川 甘孜,已经结束
公益,15483,最需要帮助的地方总是寂静无声，杜呷寺的孩子等候一顿饱饭,已成功,200000,291003,2130,6,20.00,15,6,202,是,622,795,项目成功结束后立即发货,四川 甘孜,已经结束
公益,430087,共育新生命的金种子,已成功,25000,43942,2093,5,100.00,14,8,98,是,2005,60,项目成功结束后15天内,北京,已经结束
公益,606862,享“皇家贡品”，悟“养生之道”——搜菇黑鸡枞众筹第二季,已成功,100000,1471844,1886,8,8.00,10,1,59,是,373,583,项目成功结束后立即发货,皇家贡品 养生之道,已经结束
公益,441682,“好友营”助学减灾关爱洪水灾区困境儿童公益行动,已成功,18000,18971,1860,7,2.00,6,5,131,否,8,550,项目成功结束后立即发货,重庆,已经结束
公益,373102,让我们众筹一台给咱爸妈的话剧-“爱不迟疑”骨质疏松防治主题话剧北京首演公益众筹,已成功,40000,40415,1492,3,1.00,1,8,32,否,76,104,项目成功结束后立即发货,北京,已经结束
公益,345733,《中国院士》纪录片新媒体公映,已成功,20000,22332,1432,6,10.00,8,10,21,是,150,23,项目成功结束后60天内,北京,已经结束
公益,432478,保护孩子，为校园去毒！我众筹支持老爸实验室！,已成功,50000,91565,1272,7,10.00,5,10,99,是,643,204,项目成功结束后立即发货,浙江 杭州,已经结束
