项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
其他,1199,爱情保险,已成功,5200000,6211933,6459,4,520.00,0,3,173,否,0,3744,项目成功结束后7天内,北京,已经结束
其他,153064,ONE-BONE骨传导蓝牙耳机,已成功,50000,837069,6349,7,1.00,19,6,857,否,4,3694,项目成功结束后15天内,广东 深圳,已经结束
其他,158362,tosee智能烟嘴,已成功,50000,341888,5450,8,1.00,9,4,14,是,455,4988,项目成功结束后10天内,北京,已经结束
其他,404590,人人影视字幕组重出江湖----人人词典APP,已成功,800000,803433,4976,4,100.00,13,14,522,否,3078,1629,项目成功结束后90天内,江苏 南京,已经结束
其他,109396,全球限量——个性化微信图文编辑器,已成功,5000,5372,3440,0,1.00,4,17,467,否,100,3340,项目成功结束后立即发货,北京,已经结束
其他,91864,一元众筹，给梦想插上翅膀！（二期）,已成功,699,23147,2579,0,9.00,1,7,420,否,9,2570,项目成功结束后7天内,北京,已经结束
其他,133834,GEEKERY无线运动激励耳机——美国队长经典复刻版,已成功,50000,1240433,2259,4,299.00,1,22,1428,是,8,30,项目成功结束后15天内,广东 深圳,已经结束
其他,21446,清新卡——共享你的手机流量,已成功,2000,19406,2226,5,1.00,11,3,427,是,1,2076,项目成功结束后15天内,北京,已经结束
其他,22531,刷刷手环——你走路，我买单，全球首款智能支付手环,已成功,50000,425851,1959,8,10.00,32,3,2170,是,2,200,项目成功结束后23天内,北京,已经结束
其他,79618,一元众筹，给梦想插上翅膀！,已成功,699,1435,1337,0,1.00,2,4,217,否,43,1294,项目成功结束后立即发货,北京,已经结束
其他,170086,奥克斯充电神器：十分钟续航一整天,已成功,500000,776709,1315,7,3.00,13,9,384,否,14,457,项目成功结束后20天内,广东 东莞,已经结束
其他,630372,北师大实验中学IGEM2017：拯救月熊，生物合成熊去氧胆酸,众筹中,50000,66521,1166,2,200.00,1,0,166,是,1095,NOTFOUND,项目成功结束后10天内,北京,53天
其他,183025,慕森智能迷你椭圆机,已成功,50000,50603,1159,5,1.00,1,6,36,否,11,1058,项目成功结束后30天内,北京,已经结束
其他,316702,济南大学四万师生一起开家最有爱的水果零食店,已成功,30000,38589,1100,7,5.00,23,23,170,是,22,124,项目成功结束后30天内,山东 济南,已经结束
其他,338272,余姚女人应该拥有的完美去处／mandala life蔓式生活,已成功,50000,100549,1041,4,1.00,16,9,21,是,5,811,项目成功结束后69天内,浙江 宁波,已经结束
其他,3373,元宵在口 红包在手——和众筹一起闹元宵,已成功,1000,1016,1016,0,1.00,4,3,18,否,0,1016,项目成功结束后4天内,北京,已经结束
其他,3406,心跳加速 情人专场——和众筹一起过情人节,已成功,1000,1013,1013,3,1.00,3,3,18,否,0,50,项目成功结束后立即发货,北京,已经结束
其他,159289,上班族专属手环 ！腰颈肩腿总动员 超High的体感游戏 虚拟现实,已成功,10000,51377,995,4,1.00,10,9,168,是,2,549,项目成功结束后15天内,福建 厦门,已经结束
其他,3733,筹建拉萨沙发客空间——免费接待旅行者（第二期）,已成功,150000,174800,949,7,50.00,3,3,116,否,0,44,项目成功结束后30天内,上海,已经结束
其他,154366,空调一秒变智能——远程开关 智能控温,已成功,100000,554594,903,3,79.00,11,6,42,否,788,50,项目成功结束后3天内,北京,已经结束
其他,18635,takee1全息手机——定制专属你的全息世界！,已成功,1000000,3763600,821,3,0.00,8,3,895,是,0,500,项目成功结束后40天内,广东 深圳,已经结束
其他,209722,一台无噪音永不需关机的电脑主机,已成功,50000,74223,728,3,1.00,6,7,190,是,10,639,项目成功结束后30天内,广东 深圳,已经结束
其他,131509,郑州（首届）国际创新创业大会暨全球众筹峰会之众筹之夜,已成功,100000,124870,698,7,1.00,7,4,39,否,8,300,项目成功结束后立即发货,河南 郑州,已经结束
其他,434707,战拖本：一款专治拖延症的本子,已成功,5000,13514,682,3,1.00,9,5,20,是,85,155,项目成功结束后立即发货,北京,已经结束
其他,77419,motlun摩天轮防雾霾口罩,已成功,5000,15977,665,4,1.00,9,4,351,否,3,284,项目成功结束后7天内,北京,已经结束
其他,124288,拖鞋哥考研游学大理夏令营正式报名,已成功,150000,257398,616,3,68.00,14,9,117,否,2,577,项目成功结束后30天内,福建 厦门,已经结束
其他,13284,Transcend 3.0 第三代智能双叠电移动电源,已成功,20000,33670,594,3,30.00,14,3,498,否,0,524,项目成功结束后15天内,广东 深圳,已经结束
