项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
农业,126121,一人一元，寻找身边放心大米,已成功,200000,202287,8944,6,1.00,11,5,318,否,31,581,项目成功结束后立即发货,北京,已经结束
农业,157543,《不知名茶3》长白山脉已被我们承包，只差你这个森林之王,已成功,500000,3209912,3249,7,1.00,10,4,260,否,11,1018,项目成功结束后20天内,北京,已经结束
农业,140815,【黑鸡枞教父众筹】聆听吃出的健康传奇,已成功,100000,2052718,2665,5,98.00,23,4,97,是,102,1828,项目成功结束后30天内,北京,已经结束
农业,252445,舌尖上的五常稻花香米，“三株稻”品质良心米（众筹第二期）,已成功,100000,494469,1968,8,5.00,32,5,66,否,42,124,项目成功结束后30天内,黑龙江 哈尔滨,已经结束
农业,251368,舌尖上的五常稻花香米，“三株稻”品质良心米,已成功,100000,566326,1940,8,6.00,13,6,216,否,20,999,项目成功结束后立即发货,黑龙江 哈尔滨,已经结束
农业,171970,千岛湖淳鱼增殖放流众筹,已成功,200000,214340,1896,5,1.00,10,4,272,否,39,615,项目成功结束后立即发货,浙江 杭州,已经结束
农业,466894,柚见中秋 邮爱回家,已成功,50000,107115,1501,4,29.00,18,0,51,是,16,321,项目成功结束后10天内,广东 梅州,已经结束
农业,20353,【县长众筹】 永和核桃圆孩子书屋梦,已成功,150000,866675,1364,6,5.00,22,7,238,否,0,175,项目成功结束后7天内,山西 临汾,已经结束
农业,193234,每个童年都是限量版--和吴秀波一起为爱子手绘定制限量版尼雅干红,已成功,50000,57104,1221,4,1.00,2,5,121,否,3,982,项目成功结束后立即发货,北京,已经结束
农业,160876,全民从粮【有畝地】,已成功,50000,51597,1201,4,1.00,19,8,96,否,17,1000,项目成功结束后立即发货,北京,已经结束
农业,182590,99%中国人没有尝过的正山小种,已成功,100000,103936,1184,6,1.00,9,4,56,是,14,1101,项目成功结束后立即发货,浙江 杭州,已经结束
农业,530683,传说，江湖上有一种酒叫兄弟！,已成功,100000,100242,1102,4,1.00,1,23,33,否,19,178,项目成功结束后15天内,四川 德阳,已经结束
农业,204892,生长在铁矿石上的板栗，缘于燕山山脉原生态！,已成功,100000,101259,1083,6,1.00,18,5,100,否,5,258,项目成功结束后3天内,河北 承德,已经结束
农业,263128,品鲜，品新米，口口留香！,已成功,100000,103804,1057,3,10.00,6,10,91,否,7,778,项目成功结束后15天内,北京,已经结束
农业,298225,一种习惯从¥1开始,已成功,50000,50122,974,5,1.00,5,9,111,是,32,777,项目成功结束后15天内,河南 开封,已经结束
农业,602578,创意食品 军人品质,已成功,20000,21357,741,3,1.00,11,12,88,是,63,215,项目成功结束后30天内,江苏 苏州,已经结束
农业,344446,大山的气息，一份天然的松香,已成功,1000,1416,734,3,1.00,11,10,19,否,2,4,项目成功结束后10天内,云南 楚雄,已经结束
农业,335830,为未来众筹国际有机枸杞林地,已成功,50000,51109,721,5,1.00,13,10,62,否,12,35,项目成功结束后30天内,青海 西宁,已经结束
农业,2058,众志成橙感恩季——赣南脐橙原产地直供第二季,已成功,240000,262514,674,6,86.00,0,3,75,否,0,341,项目成功结束后10天内,江西 赣州,已经结束
农业,335257,【一江莲】桐木关制茶，回馈新老客户,已成功,50000,50428,670,4,2.00,10,16,61,否,41,55,项目成功结束后5天内,浙江 杭州,已经结束
农业,363226,自然之珍，水果之王——枇杷众筹第三季,已成功,1000,1238,629,2,1.00,7,11,40,否,1,7,项目成功结束后10天内,四川 成都,已经结束
农业,216208,彩蛋，为孩子打造的创意鸡蛋,已成功,100000,104631,624,3,1.00,20,10,127,否,39,192,项目成功结束后30天内,河南 郑州,已经结束
农业,609937,蒙都年羊 福禄吉祥,已成功,26700,27643,619,2,1.00,20,1,7,是,38,6,项目成功结束后立即发货,河北 石家庄,已经结束
农业,551887,做有底线的枸杞，我才不要转基因,已成功,2000,40313,615,3,25.00,15,5,58,否,63,81,项目成功结束后立即发货,甘肃 白银,已经结束
农业,363943,他从荷兰留学回来，带回了属于中国人的华夫饼,已成功,22300,23303,608,4,6.00,6,6,35,否,22,1,项目成功结束后60天内,上海,已经结束
农业,183874,“巨刚众酒”第叁季：中国最好的纯手工冬酿陈年绍兴黄酒,已成功,99000,455313,603,4,99.00,17,4,139,否,5,301,项目成功结束后立即发货,北京,已经结束
农业,338689,【腾冲极边小蜜人蜂蜜】因教育因孩子而产生的蜂蜜,已成功,50000,54960,595,5,28.00,13,10,130,是,48,183,项目成功结束后2天内,云南 保山,已经结束
农业,615778,从外企辞职、北大休学，他做了中国最牛的红糖厂,已成功,20000,92218,589,5,46.00,20,9,120,是,42,273,项目成功结束后立即发货,云南 玉溪,已经结束
农业,283000,『湘柳绿』湘西黄金茶---来自古寨白云间的稀有茶源,已成功,100000,103461.01,586,5,26.00,3,10,114,是,4,398,项目成功结束后立即发货,湖南 湘西,已经结束
农业,169828,《易武味道》——带你探寻真正的易武普洱的味道,已成功,3000,5964,584,5,1.00,2,6,49,否,4,533,项目成功结束后7天内,北京,已经结束
农业,241237,【电商扶贫】掀开红色的神秘面纱邂逅真正的我,已成功,10000,56901,575,5,9.00,9,9,133,是,1,10,项目成功结束后5天内,甘肃 陇南,已经结束
农业,404455,传奇一般的人生，需要一杯春茶,已成功,10000,51000,566,3,1.00,18,7,32,否,3,162,项目成功结束后5天内,福建 泉州,已经结束
农业,215938,和写逸来场改变人生的茶局吧,已成功,20000,29537,558,8,1.00,21,10,104,否,9,500,项目成功结束后20天内,上海,已经结束
农业,404065,企美有机初产柴鸡蛋，您与宝宝共享的第一枚鸡蛋。,已成功,100000,100006,558,5,2.00,10,9,45,否,7,376,项目成功结束后3天内,河北 邯郸,已经结束
农业,78082,【不知名茶】100块钱，和90后一起包1000座茶山,已成功,20000,1079351,549,4,1.00,11,3,78,是,12,229,项目成功结束后立即发货,北京,已经结束
