项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
娱乐,829,2013快乐男声主题电影,已成功,5000000,5074780,39561,5,40.00,0,3,757,否,0,19,项目成功结束后180天内,北京,已经结束
娱乐,160363,《花千骨》同人明信片众筹,已成功,80000,105843,6321,1,1.00,0,4,17,否,0,1083,项目成功结束后30天内,湖北 武汉,已经结束
娱乐,159406,“车模展”邀万人支持,已成功,10000,10001,5199,1,1.00,7,4,13,否,0,5101,项目成功结束后立即发货,北京,已经结束
娱乐,120421,谭维维“维所欲为”北京演唱会门票&福利众筹,已成功,100000,101148,3172,6,1.00,2,4,27,否,5,2868,项目成功结束后20天内,北京,已经结束
娱乐,1129,刘思涵《拥抱你》Live巡回音乐会 上海站,已成功,280000,281485,1041,9,20.00,0,3,64,否,0,246,项目成功结束后立即发货,上海,已经结束
娱乐,47305,张赫宣翻唱专辑《点赞》限量众筹！,已成功,30000,60383,1032,4,58.00,3,3,67,否,4,1000,项目成功结束后7天内,北京,已经结束
娱乐,257569,广东广播电视台音乐之声25周年台庆巨献—音乐剧《声梦情缘》,已成功,100000,108809,879,4,50.00,28,10,66,是,39,432,项目成功结束后立即发货,广东 广州,已经结束
娱乐,17039,Girls’Generation 七周年联合应援（深圳站）,已成功,1000000,1032431,802,3,1.00,12,3,14,否,0,21,项目成功结束后10天内,广东 深圳,已经结束
娱乐,27787,拍遍北京城,已成功,200000,312416,694,10,50.00,16,3,12,否,0,325,项目成功结束后20天内,北京,已经结束
娱乐,1412,快男2014新年首场演唱会•南京站,已成功,500000,500880,635,8,180.00,4,3,80,否,0,148,项目成功结束后100天内,湖南 长沙,已经结束
娱乐,301810,《女王驾到》主题曲MV众筹：一起唱出魅力智慧独立女性的心声，精彩生活，快快加入！,已成功,120000,121524,538,2,100.00,30,10,70,否,13,278,项目成功结束后5天内,河南 郑州,已经结束
娱乐,153946,伍佰&China Blue「无尽闪亮的摇滚全经典」巡回演唱会—北京站,已成功,30000,116291,534,6,1.00,3,4,10,否,0,331,项目成功结束后立即发货,北京,已经结束
娱乐,94873,全国首部惊悚爆笑音乐剧《如果有来生》紧急众筹&招商,已成功,90000,100000,501,5,50.00,4,5,3,否,0,195,项目成功结束后立即发货,北京,已经结束
娱乐,158614,全国首部惊悚爆笑音乐剧《如果有来生》营口巡演,已成功,100000,150000,496,2,150.00,4,4,2,否,1,200,项目成功结束后立即发货,辽宁 营口,已经结束
娱乐,588253,短片《优雅的小米》经费筹集,已成功,45000,45159,469,9,1.00,10,1,57,否,100,227,项目成功结束后立即发货,北京,已经结束
娱乐,640230,酷炫智能CS- 唤醒心中封存已久的英雄梦,已成功,30000,30201,453,1,10.00,9,6,20,是,166,236,项目成功结束后立即发货,广东 汕头,已经结束
