项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
艺术,158920,梦想助力再次起航 云南民族传统手工古法普洱茶,已成功,10000,300000,2241,3,1.00,14,4,15,否,0,1800,项目成功结束后5天内,北京,已经结束
艺术,397546,反熵伐纣——首届CULT文化艺术展,已成功,100000,137506,1697,5,50.00,34,16,255,否,29,595,项目成功结束后30天内,上海,已经结束
艺术,111163,金丝楠乌木手串免费认领计划,已成功,20000,44400,1063,6,17.00,15,4,872,否,10,56,项目成功结束后18天内,四川 成都,已经结束
艺术,286129,景观设计行业首次公开课众筹,已成功,1000,2142,1045,1,1.00,17,15,534,否,71,866,项目成功结束后立即发货,广东 广州,已经结束
艺术,558067,萌猫做守卫，玩故宫，我说了算,已成功,10000,65922,882,3,10.00,16,2,9,否,2,100,项目成功结束后立即发货,北京,已经结束
艺术,302767,感恩长辈，健脑巧手保长寿——酸枝木健身长寿保健球,已成功,1000,7006,869,3,7.00,11,9,45,否,0,4,项目成功结束后立即发货,上海,已经结束
艺术,422500,火柴盒两周年创意纪念T众筹,已成功,150000,157389,848,4,99.00,10,7,163,否,57,416,项目成功结束后30天内,上海,已经结束
艺术,443005,西藏遇上普罗旺斯,已成功,100000,101145,606,15,5.00,24,3,98,是,141,175,项目成功结束后90天内,北京,已经结束
艺术,439690,【最后的净土】一次活动，需要支持，不来的，友尽了,已成功,500,11029,512,0,7.00,25,4,25,是,423,89,项目成功结束后3天内,北京,已经结束
艺术,219718,疯狂的石头，出矿价玩翡翠——翡翠众筹,已成功,1000,20404,501,35,1.00,33,26,380,否,7,453,项目成功结束后15天内,广东 深圳,已经结束
艺术,425521,孙做梦第一本DOTA2绘本《见证者》,已成功,39999,68088,499,7,1.00,13,5,191,否,54,177,项目成功结束后5天内,北京,已经结束
艺术,637173,中央戏剧学院毕业作品青春悬疑电影《我听说》,众筹中,80000,21638,454,6,20.00,38,9,127,否,105,NOTFOUND,项目成功结束后150天内,浙江 温州,7天
艺术,160741,复刻《心经》雕版  1元手护古老技艺,已成功,30000,74887,444,4,1.00,8,13,76,是,16,372,项目成功结束后80天内,浙江 杭州,已经结束
艺术,538129,集美大学诚毅学院13级舞蹈学专场晚会《与舞相伴的日子》众筹,已成功,30000,30145,439,4,100.00,7,4,53,否,373,36,项目成功结束后30天内,福建 厦门,已经结束
